rank,target,english,part_of_speech
622,يدفع,pays; pushes,imperfect / present verb
623,تالي,next; following,adjective
624,إقامة,residence; establishment; holding,noun
625,إنتاج,production; output,noun
626,معا,together,adverb
627,أطلق,launched; released; fired; set free,perfect / past verb
628,أنتم,you (masculine plural),pronoun
629,حماية,protection,noun
630,صور,pictures; images; photographed,noun / perfect / past verb
631,يتكلم,speaks; talks,imperfect / present verb
632,إحدى,one; one of (feminine form),numeral / quantifier
633,فوق,above; over,adverb
634,سوى,except; other than; apart from,exceptive / restrictive particle
635,سجل,record; register; recorded/registered,noun / perfect / past verb
636,وحده,alone; by himself/itself,noun
637,نساء,women,noun
638,قصة,story,noun
639,خذ,take!,imperative verb
640,طبيب,doctor; physician,noun
641,مباشرة,directly; direct; immediate,adverb / adjective
642,جمهورية,republic,noun
643,بأس,harm / hardship; might / strength,noun
644,أشهر,months,noun
645,ملك,angel (مَلَك),noun
646,قضاء,judgment / ruling; judiciary; fulfillment / carrying out,noun / verbal noun
647,دراسة,study,noun
648,متأكد,sure; certain; confident,adjective
649,سياسة,politics; policy,noun
650,صعب,was difficult; became hard,perfect / past verb
651,دخل,income; revenue; entered,noun / perfect / past verb
652,يقتل,kills; is killed (voice depends on vocalization/context),imperfect / present verb
653,عالمي,global; worldwide; international,adjective
654,أمم,nations; peoples,noun
655,أمل,hope,noun
656,اعتبار,consideration; regard,noun
657,نهائي,final; definitive,adjective
658,مئة,one hundred; hundred,numeral / quantifying noun
659,تنظيم,organization; regulation; organizing,noun
660,نجاح,success,noun
661,دورة,course; cycle; round; session,noun
662,لعبة,game; toy,noun
663,رد,reply; response; return; replied/returned,noun / perfect / past verb
664,تنمية,development; growth,noun
665,اهتمام,interest; attention; concern,noun
666,إطار,framework; frame,noun
667,أمنية,wish; desire,noun
668,مسؤول,official; person responsible; responsible person,noun
669,قائد,leader; commander; driver,noun
670,مصادر,sources,noun
671,وقع,happened; occurred; fell; was located,perfect / past verb
672,مباريات,matches; games,noun
673,لاحق,subsequent; later; following; followed/caught up with,adjective / perfect / past verb
674,اتصل,contacted; connected; call!/contact!,perfect / past verb / imperative verb
675,محاولة,attempt; try,noun
676,كون,being; existence; formed/created,noun / perfect / past verb
677,أراد,wanted; desired; intended,perfect / past verb
678,إصابة,injury; casualty,noun
679,عشرة,ten; companionship/association (depending on vocalization),numeral / quantifying noun / noun
680,مهما,whatever; no matter what,particle
681,يمثل,represents; constitutes; acts/portrays,imperfect / present verb
682,اختيار,choice; selection,noun
683,شهد,witnessed; observed,perfect / past verb
684,إجراء,procedure; measure; action; carrying out,noun
685,صحيفة,newspaper; journal,noun
686,استمرار,continuation; persistence,noun
687,شمال,north; left side (depending on vocalization),noun
688,فكر,thought; thinking; thought/considered,noun / perfect / past verb
689,شراء,purchase; buying,noun
690,نيابة,prosecution; representation; deputyship (context-dependent),noun
691,موعد,appointment; date; scheduled time,noun
692,ماء,water,noun
693,يتعلق,relates to; concerns; is connected with,imperfect / present verb
694,اجتماعي,social,adjective
695,امرأة,woman,noun
696,أسهم,shares; stocks; contributed/participated,noun / perfect / past verb
697,أجهزة,devices; equipment,noun
698,بدء,beginning; start,noun
699,جلسة,session; meeting,noun
700,لايزال,still is; continues to be (لا يزال),negative-continuative verb expression
701,رسمي,official; formal,adjective
702,تأثير,effect; influence; impact,noun
703,لقب,title; nickname; titled/nicknamed,noun / perfect / past verb
704,فرق,teams/groups; differences,noun
705,هجوم,attack; assault,noun
706,ابنة,daughter,noun
707,يستمر,continues; persists,imperfect / present verb
708,لطيف,nice; kind; gentle; pleasant,adjective
709,يهتم,cares about; is interested in,imperfect / present verb
710,إذ,"when; since; as; because (إذ, context-dependent)",adverb / conjunction
711,أبناء,sons; children,noun
712,غرب,west,noun
713,تأمين,insurance; securing; guarantee,noun
714,يعرض,presents; displays; offers; exposes (depending on form),imperfect / present verb
715,عرب,Arabs,noun
716,صالح,valid; suitable; righteous; good,adjective
717,ملابس,clothes; clothing,noun
718,تحرك,movement; activity; moved,noun / perfect / past verb
719,بدل,substitute; instead of; changed/replaced,noun / perfect / past verb
720,طائرة,airplane; aircraft,noun
721,جماعة,group; community,noun
722,مصدر,source,noun
723,معظم,most; majority of,noun
724,أهلا,welcome!; hello! (أهلًا),greeting expression / noun used adverbially
725,قطع,pieces; parts; cut,noun / perfect / past verb
726,موافقة,approval; agreement; agreeing/suitable (feminine adjective use),noun / adjective
727,أخبار,news; reports,noun
728,محافظة,governorate/province; conservative/preserving (feminine adjective use),noun / adjective
729,خطر,danger; risk,noun
730,صندوق,box; fund,noun
731,جزيرة,island,noun
732,يصدق,is truthful; tells the truth; proves true,verb
733,قوى,forces; powers; strengths,noun
734,دم,blood,noun
735,جائزة,prize; award,noun
736,حكومي,governmental; government,adjective
737,يظهر,appears; shows; demonstrates (depending on form),imperfect / present verb
738,وراء,behind; beyond; after,adverb / preposition
739,حادث,incident; accident; event; spoke/conversed with (verb reading),noun / perfect / past verb
740,نقاط,points; dots,noun
741,انتظار,waiting; expectation,noun
742,قاعدة,rule; base; foundation,noun
743,حظ,luck; fortune,noun
744,مهم,important,adjective
745,تعامل,dealing; interaction; dealt/interacted,noun / perfect / past verb
746,ثقافة,culture,noun
747,إجراءات,procedures; measures; actions,noun
748,قضايا,issues; cases; causes,noun
749,طعام,food,noun
750,سواء,equal; alike; whether...or; equally,adverb / conjunction / adjective
751,يسمح,allows; permits,imperfect / present verb
752,أهداف,goals; objectives,noun
753,يسأل,asks; questions,imperfect / present verb
754,ملعب,stadium; playing field,noun
755,دقائق,minutes,noun
756,فعلا,really; indeed; actually,adverb
757,عسكرية,military,adjective
758,معرض,exhibition; display; fair,noun
759,بقاء,remaining; survival; staying,noun
760,اتصالات,communications; contacts,noun
761,حفل,ceremony; party; event,noun
762,شؤون,affairs; matters,noun
763,حجم,size; volume,noun
764,يرغب,wants; desires; wishes,imperfect / present verb
765,زمن,time; era,noun
766,سلامة,safety; soundness; well-being,noun
767,حي,neighborhood; district,noun
768,حوالي,around; approximately; about,adverb / preposition
769,طرق,roads; ways; knocked,noun / perfect / past verb
770,أسرع,faster; fastest; hasten; hurry,comparative adjective / verb
771,توفير,provision; saving; availability,noun
772,أصحاب,owners; companions; people of,noun
773,استثمار,investment,noun
774,مسؤولية,responsibility,noun
775,كافة,all; entire; all of,noun
776,أدى,led to; performed; fulfilled,perfect / past verb
777,مسلمون,Muslims,noun
778,سباق,race; competition,noun
779,زواج,marriage; wedding,noun
780,يؤكد,confirms; affirms,imperfect / present verb
781,ثقة,trust; confidence,noun
782,تجربة,experience; experiment,noun
783,روح,spirit; soul,noun
784,اعتبر,considered; regarded,perfect / past verb
785,نفط,petroleum; oil,noun
786,تقريبا,approximately; roughly,adverb
787,إنشاء,establishment; creation; construction; composition,noun
788,يقلق,worries; becomes anxious; causes worry (depending on vocalization),imperfect / present verb
789,يتصل,contacts; connects; calls,imperfect / present verb
790,رحلة,journey; trip,noun
791,آنسة,Miss; young lady,noun
792,استمر,continued; continue!,perfect / past verb / imperative verb
793,أسفل,lower; lowest; underneath,adjective / adverb
794,يتعلم,learns; studies,imperfect / present verb
795,جو,weather; atmosphere; air,noun
796,أسلحة,weapons; arms,noun
797,صدر,was issued; was published; came from,perfect / past verb
798,نوم,sleep,noun
799,صناعة,industry; manufacture,noun
800,تحرير,liberation; editing,noun
801,طلاب,students,noun
802,قريبا,"soon; shortly; nearby (قريبًا, context-dependent)",adverb
803,فتى,young man; boy,noun
804,قوي,strong; powerful,adjective
805,رعاية,care; sponsorship; protection,noun
806,تدريب,training; practice,noun
807,وفد,delegation; arrived/came as a delegate,noun / perfect / past verb
808,اتجاه,direction; trend; orientation,noun
809,تناول,eating / consumption; taking; handling / dealing with,noun / verb
810,وقف,endowment (waqf); stopped; stood,noun / perfect / past verb
811,أرسل,sent,perfect / past verb
812,يضم,includes; comprises,imperfect / present verb
813,مرور,passing; traffic; passage,noun
814,شاب,young man; youth; mixed/adulterated (rare verb reading),noun / perfect / past verb
815,خرج,went out; left; exited,perfect / past verb
816,يتوقع,expects; anticipates,imperfect / present verb
817,يقدم,presents; offers; submits,imperfect / present verb
818,نمو,growth; development,noun
819,ثورة,revolution; uprising,noun
820,أموال,money; funds; wealth,noun
821,يكفي,is enough; suffices,imperfect / present verb
822,عاصمة,capital city,noun
823,يهم,matters; concerns; is important to,imperfect / present verb
824,كبرى,major; greater; largest (feminine كبرى),adjective
825,حملة,campaign; group of carriers/bearers (depending on vocalization),noun
826,اقتصاد,economy; economics,noun
827,لغة,language,noun
828,عنوان,address; title; headline,noun
829,كلية,college/faculty; kidney; entirety/totality (depending on vocalization/context),noun
830,عم,paternal uncle; became widespread/general,noun / perfect / past verb
831,قمة,summit; peak,noun
832,تابع,follower/subordinate; followed; continued,noun / perfect / past verb
833,دائرة,circle; department; district,noun
834,أحداث,events,noun
835,بحر,sea,noun
836,مناسب,suitable; appropriate,adjective
837,قرية,village,noun
838,يبلغ,reaches; amounts to; informs/notifies (depending on form),imperfect / present verb
839,انتهاء,ending; completion,noun
840,معنى,meaning; sense,noun
841,يعاني,suffers,imperfect / present verb
842,جاري,current; ongoing,adjective
843,مواد,materials; substances,noun
844,مسألة,issue; matter; question,noun
845,قلق,anxiety; concern; became anxious/worried,noun / perfect / past verb
846,دعوة,invitation; call; advocacy; mission,noun / verbal noun
847,سكان,inhabitants; population,noun
848,أسباب,reasons; causes,noun
849,يتوقف,stops; depends on,imperfect / present verb
850,وصف,description; described,noun / perfect / past verb
851,بلدة,town; small town,noun
852,علاج,medical treatment; therapy; processing,noun
853,أوراق,papers; leaves; documents,noun
854,رب,Lord; master; owner (رَبّ); perhaps/many a (رُبَّ),noun / preposition
855,وسائل,means; methods; media/devices,noun
856,مهرجان,festival,noun
857,تجارة,trade; commerce,noun
858,ضرب,hitting; striking; a strike; hit/struck,noun / verb
859,مقاومة,resistance; opposition,noun
860,يستخدم,uses; is used (voice depends on vocalization),imperfect / present verb
861,مصلحة,interest; benefit; public service/agency (context-dependent),noun
862,أسواق,markets,noun
863,يدعو,calls; invites; advocates,imperfect / present verb
864,سيطرة,control; domination,noun
865,مؤخرا,recently; lately,adverb
866,أساس,basis; foundation,noun
867,نظرة,look; view; glance,noun
868,مجددا,again; anew; once again,adverb
869,مادة,material; substance; article,noun
870,جنس,type; kind; sex/gender,noun
871,أنفس,selves; souls,noun
872,تسجيل,registration; recording,noun
873,أوسط,middle; central; intermediate (أوسط),noun
874,حقق,achieved; realized; investigated/verified (depending on form),perfect / past verb
875,خطاب,speech; address; discourse,noun
876,نجح,succeeded,perfect / past verb
877,تشكيل,formation; composition; shaping,noun
878,سيئة,bad; poor (feminine),adjective
879,بطل,hero; champion,noun
880,يقف,stands; stops,imperfect / present verb
881,يواجه,faces; confronts,imperfect / present verb
882,قرب,approached; came near,perfect / past verb
883,حاكم,ruler; governor; judged/prosecuted,noun / perfect / past verb
884,عقب,after; following; commented/followed up (عَقِب / عَقَّب),adverb / perfect / past verb
885,ظن,thought; belief; assumption; thought/believed,noun / perfect / past verb
886,مر,bitter (مُرّ); passed/went by (مَرَّ),noun / perfect / past verb
887,عشاء,dinner; evening meal (عَشَاء),noun
888,إعداد,preparation; setup,noun
889,فندق,hotel,noun
890,يؤدي,leads to; performs; results in,imperfect / present verb
891,يحضر,attends; is present; prepares/brings (depending on form),imperfect / present verb
892,تحول,transformation; change; changed/transformed,noun / perfect / past verb
893,سريع,fast; quick,adjective
894,يشهد,witnesses; observes,imperfect / present verb
895,سر,secret,noun
896,ظروف,circumstances; conditions,noun
897,فاز,won,perfect / past verb
898,ميت,dead,adjective
899,أثر,effect; trace; impact; affected/influenced,noun / perfect / past verb
900,ضوء,light,noun
901,عمال,workers,noun
902,قدرة,ability; capacity,noun
903,يدري,knows; is aware,imperfect / present verb
904,منع,prevention; prohibition; prevented,noun / perfect / past verb
905,رئيسي,main; principal; primary,adjective
906,ميلاد,birth; birthday,noun
907,إنما,only; merely; nothing but,particle
908,مسابقة,competition; contest,noun
909,دليل,evidence; guide; proof,noun
910,سفر,travel; journey,noun
911,حمل,load; burden (حِمْل),noun
912,تصوير,photography; filming,noun
913,طيران,aviation; flying,noun
914,محطة,station; stop,noun
915,أفراد,individuals; persons,noun
916,سوء,badness; harm; poor/bad condition,noun
917,احترام,respect,noun
918,حساب,account; calculation,noun
919,تطبيق,application; implementation,noun
920,يستحق,deserves; is worth; is entitled to,imperfect / present verb
921,بيئة,environment,noun
922,مقر,headquarters; seat; location,noun
923,فشل,failure; failed,noun / perfect / past verb
924,افعل,do!; act!,imperative verb
925,كبار,senior people; elders; major/important people,noun
926,يتعرف,gets to know; becomes acquainted with; recognizes,imperfect / present verb
927,وفقا,according to; in accordance with (commonly وَفْقًا لِـ),adverbial expression
928,منافسة,competition; rivalry,noun
929,يسعى,seeks; strives,imperfect / present verb
930,يكره,hates; dislikes,imperfect / present verb
931,مواطن,citizen,noun
932,أولاد,boys; sons; children,noun
933,طبيعي,natural; normal,adjective
934,خطوة,step,noun
935,مشاريع,projects,noun
936,شاهد,watched; saw; witnessed,perfect / past verb
937,أصل,origin; root; basis,noun
938,مدارس,schools,noun
939,ثمن,price; value,noun
940,إيجاد,finding; creation; bringing into existence,verbal noun
941,صفقة,deal; transaction,noun
942,يطلق,launches; releases; fires; calls/names (depending on form),imperfect / present verb
943,يقبل,kisses; is kissing (يُقَبِّل),verb
944,يجمع,collects; gathers,imperfect / present verb
945,شديد,severe; strong; intense,adjective
946,أسئلة,questions,noun
947,سن,age; tooth (depending on vocalization),noun
948,تفكير,thinking; thought,noun
949,أسماء,names,noun
950,مستشار,advisor; consultant,noun
951,يقود,leads; drives,imperfect / present verb
952,يتمكن,manages to; is able to,imperfect / present verb
953,جهود,efforts,noun
954,سبق,precedence; lead; preceded,noun / perfect / past verb
955,ضغط,pressure; pressing; pressed,noun / perfect / past verb
956,إشارة,signal; sign; indication,noun
957,متابعة,follow-up; monitoring,noun
958,أصاب,hit; affected; injured,perfect / past verb
959,أخت,sister,noun
960,حذر,caution; warning; cautious,noun / adjective
961,خليج,gulf,noun
962,أسرة,family; household,noun
963,إصلاح,reform; repair; correction,noun
964,حارس,guard; goalkeeper,noun
965,ناحية,side; direction; aspect; from the standpoint of,noun / adverbial expression
966,مرض,illness; disease; fell ill,noun / perfect / past verb
967,فصل,separated; divided; dismissed,verb
968,تغير,change; alteration; changed,noun / perfect / past verb
969,مجنون,crazy; insane,adjective
970,نصر,victory; support; helped/supported,noun / perfect / past verb
971,موجود,present; existing; available; found,adjective / participle
972,أسوأ,worse; worst,noun
973,حلم,dream; forbearance/patience; dreamed,noun / perfect / past verb
974,أندية,clubs,noun
975,جمهور,audience; public; fans,noun
976,صيد,hunting; fishing,noun
977,عادة,habit; custom; usually (in adverbial use),noun / adverbial use
978,مخدرات,drugs; narcotics,noun
979,اتفق,agreed; came to an agreement,perfect / past verb
980,مسرح,theater; theatre; stage,noun
981,تمكن,ability; mastery; managed/was able,noun / perfect / past verb
982,ينبغي,should; ought to; it is appropriate/necessary,imperfect / present verb
983,ألعاب,games,noun
984,قوانين,laws,noun
985,يزيد,increases; adds,imperfect / present verb
986,رياضة,sport; exercise,noun
987,مبلغ,amount; sum of money,noun
988,كتابة,writing,noun
989,خوف,fear,noun
990,شمس,sun,noun
991,ساعد,helped; assisted,perfect / past verb
992,يقل,decreases; becomes less,imperfect / present verb
993,اتخاذ,taking; adoption; making (as in اتخاذ قرار = making a decision),noun
994,حفلة,party; celebration,noun
995,شعور,feeling; sensation,noun
996,يفضل,prefers; is superior/better (depending on vocalization),imperfect / present verb
997,استطاع,was able to; could,perfect / past verb
998,طبيعة,nature; character,noun
999,مقابلة,interview; meeting; encounter; confrontation,noun / verbal noun
1000,ابتعد,moved away; kept away; move away!,perfect / past verb / imperative verb
