rank,source_front,front,paper_pos,camel_pos,camel_roots,camel_glosses,repair_method,confidence,note
288,إذن,إذا,P\PO,conj,,if;whether,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
289,أمور,أمور,N\CN,noun,,the+matter;issue+[def.nom.],exact,high,
290,فوز,فوز,N\CN,noun,,the+victory+[def.gen.],exact,high,
291,أقل,أقل,N\CN,noun,ق ل ل,less;least;smaller;smallest;minimum+[def.acc.],exact,high,
292,أال,ألا,P\PO,conj_sub,,(in order) not to,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
293,شباب,شباب,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
294,حقيقي,حقيقي,ADJ,adj,ح ق ق,the+true;real+[def.gen.],exact,high,
295,كامل,كامل,ADJ,adj,ك م ل,complete;full;integral+[indef.gen.],exact,high,
296,العب,العب,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
297,انتظر,انظر,V\VP | V\VR,verb,ن ظ ر,he;it+look;observe;see,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
298,شركات,شركات,N\CN,noun,ش ر ك,company;corporation+[fem.sg.],exact,high,
299,مما,مما,N\RP,prep,,from,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
300,سابق,سابق,ADJ | V\VP,adj,س ب ق,the+former;previous;preceding+[def.gen.],exact,high,
301,غرفة,غرفة,N\CN,noun,غ ر ف,room;chamber+[fem.sg.],exact,high,
302,مال,مال,N\CN | V\VP,noun | verb,,the+money;capital;funds+[def.gen.] | he;it+lean;bend;incline;be partial;sympathize,exact,high,
303,يجعل,يجعل,V\VI,verb,ج ع ل,make;bring about;appoint+he;it <verb>,exact,high,
304,مشاركة,مشاركة,N\CN,noun,ش ر ك,participation;association+[fem.sg.],exact,high,
305,عزيز,عزيز,ADJ,adj,ع ز ز,dear;precious+my two,exact,high,
306,إله,إله,N\CN,noun,,god;deity+[indef.nom.],exact,high,
307,رؤية,رؤية,N\CN,noun,,vision;sight;view;viewing+[fem.sg.],exact,high,
308,وجه,وجه,N\CN | V\VP,noun | verb,,side;aspect+[def.gen.] | send;direct+he;it <verb> it;them;her,exact,high,
309,ضد,ضد,N\CN,noun,ض د د,contrary;against;opposed;anti-;counter-+[def.acc.],exact,high,
310,خاص,خاص,ADJ,adj,خ ص ص,the+special;specific+[fem.sg.],exact,high,
311,يبقى,يبقى,V\VI,verb,,he;it+remain;last,exact,high,
312,لقاء,لقاء,N\CN,noun,,meeting;encounter;interview+[def.gen.],exact,high,
313,عودة,عودة,N\CN,noun,,the+return+[fem.sg.],exact,high,
314,أكرب,أقرب,N\CN,noun,ق ر ب,soonest;nearer;nearest;more;most likely+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
315,قوات,قوات,N\CN,noun,,the+armed forces+[fem.pl.],exact,high,
316,نقل,نقل,N\CN | V\VP,noun | verb,ن ق ل,transportation;transfer+[def.gen.] | and+transfer;transport;transmit;translate+he;it <verb>,exact,high,
317,يصل,يصل,V\VI,verb,,it;they;she+arrive at;reach;connect,exact,high,
318,إضافة,إضافة,N\CN,noun,,with;by + the+addition;appending+[fem.sg.],exact,high,
319,رأس,رأس,N\CN | V\VP,noun | verb,,head;top+[def.gen.] | he;it+lead;direct,exact,high,
320,حسن,حسن,N\CN | V\VP,noun | verb,ح س ن,good | he;it+improve;decorate,exact,high,
321,فكرة,فكرة,N\CN,noun,ف ك ر,idea;notion;concept+[fem.sg.],exact,high,
322,أخذ,أخذ,N\CN | V\VP,verb | noun,,take;begin+he;it <verb> | and+seizure;taking+[indef.gen.],exact,high,
323,أشار,أشار,V\VP,verb,,and+indicate;mention;cite+he;it <verb>,exact,high,
324,فتاة,فتاة,N\CN,noun,,young girl+[fem.sg.],exact,high,
325,حركة,حركة,N\CN,noun,ح ر ك,movement;activity;organization+[fem.sg.],exact,high,
326,هكذا,هكذا,N\DE,conj,,thus;as such,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
327,قوة,قوة,N\CN,noun,,the+armed forces+[fem.pl.],exact,high,
328,برنامج,برنامج,N\CN,noun,ب ر م ج,programs+[def.gen.],exact,high,
329,حصول,حصول,N\CN,noun,ح ص ل,the+acquisition;obtaining+[def.gen.],exact,high,
330,ذهب,ذهب,N\CN | V\VP,verb | noun,ذ ه ب,take (with)+he;it <verb> | the+gold+[def.gen.],exact,high,
331,يبدأ,يبدأ,V\VI,verb,,start;begin+it;they;she <verb>,exact,high,
332,ذات,ذات,N\CN,noun,,same;self;essence+[def.gen.],exact,high,
333,تحدث,تحدث,N\CN | V\VP,verb | noun,ح د ث,speak;discuss+he;it <verb> | the+discussion;speaking+[def.acc.],exact,high,
334,وصل,وصل,V\VP,verb,,it;they;she+arrive at;reach;connect,exact,high,
335,علم,علم,N\CN | V\VP,noun | verb,ع ل م,the+sciences+[def.gen.] | be known;be found out+he;it <verb>,exact,high,
336,أما,أما,P\PO,part_focus,,as for;concerning,exact,high,
337,أعلن,أعلن,V\VP,verb,ع ل ن,announce;declare+he;it <verb>,exact,high,
338,إطالقا,إطلاق,N\CN,noun,ط ل ق,firing+[def.gen.],fuzzy_repair,medium,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 2).
339,تماما,تماما,N\CN,noun,ت م م,exact;complete+[acc.indef.],exact,high,
340,فرصة,فرصة,N\CN,noun,ف ر ص,holiday+[fem.sg.],exact,high,
341,بحث,بحث,N\CN | V\VP,noun | verb,ب ح ث,the+search;examination;research+[def.gen.] | discuss;search+he;it <verb>,exact,high,
342,يخرج,يخرج,V\VI,verb,خ ر ج,he;it+oust;remove;emit,exact,high,
343,حكم,حكم,N\CN | V\VP,noun | verb,ح ك م,the+judgment;decision+[def.gen.] | it;they;she+rule;govern,exact,high,
344,طفل,طفل,N\CN,noun,ط ف ل,the+children;infants+[def.gen.],exact,high,
345,قضية,قضية,N\CN,noun,,problem;issue+[fem.sg.],exact,high,
346,أعلى,أعلى,N\CN,noun,,highest;heights;peaks,exact,high,
347,ما,بينما,ADV,conj_sub,,while,source_override,unresolved,No sufficiently close same-POS MSA validation candidate.
348,دعم,دعم,N\CN | V\VP,noun | verb,د ع م,to;for + the+support;assistance;endorsement+[def.gen.] | we+support;strengthen,exact,high,
349,حاجة,حاجة,N\CN,noun,,need;thing+[fem.sg.],exact,high,
350,تعال,تعال,V\VR,verb,,you [masc.sg.]+be supported;be provide for;be sustained,exact,high,
351,مجرد,مجرد,N\CN,noun,ج ر د,bare;pure+[def.acc.],exact,high,
352,وزراء,وزراء,N\CN,noun,,minister+[def.nom.],exact,high,
353,هؤالء,هؤالء,N\DE,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
354,عقد,عقد,V\VP,verb,ع ق د,be held;be convened;be concluded+it;they;she <verb>,exact,high,
355,دقيقة,دقيقة,N\CN,noun,د ق ق,minutes+[def.gen.],exact,high,
356,طبع,طبع,N\CN | V\VP,noun | verb,ط ب ع,temperament+[acc.indef.] | print;impress+it;they;she <verb>,exact,high,
357,صورة,صورة,N\CN,noun,,the+pictures;photographs;illustrations;photos+[def.gen.],exact,high,
358,تقدم,تقدم,N\CN | V\VP,verb | noun,ق د م,present;advance+he;it <verb> | the+progress;coming forward+[def.gen.],exact,high,
359,جامعة,جامعة,N\CN,noun,ج م ع,university;league+[fem.sg.],exact,high,
360,عبر,عبر,V\VP,verb,ع ب ر,it;they;she+express,exact,high,
361,اذبه,اذهب,V\VR,verb,ذ ه ب,take (with)+he;it <verb>,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
362,وجد,وجد,V\VP,verb,,he;it+be found;exist,exact,high,
363,قادم,قادم,ADJ,adj,ق د م,the+next;following;future+[fem.sg.],exact,high,
364,يجري,يجري,V\VI,verb,,he;it+occur;happen;take place;flow,exact,high,
365,أسعار,أسعار,N\CN,noun,س ع ر,price;rate+[def.gen.],exact,high,
366,حرب,حرب,N\CN,noun,ح ر ب,the+war;warfare+[def.gen.],exact,high,
367,نقطة,نقطة,N\CN,noun,ن ق ط,point;location;position+[fem.sg.],exact,high,
368,انتخابا,انتخابا,N\CN,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
369,سوق,سوق,N\CN,noun,,market+[def.gen.],exact,high,
370,بناء,بناء,N\CN,noun,,building;structure+[def.acc.],exact,high,
371,تعلم,تعلم,N\CN | V\VP,verb | noun,ع ل م,be known;be found out+he;it <verb> | the+learning;study+[def.gen.] | he;it+study;learn,exact,high,
372,يصبح,يصبح,V\VI,verb,ص ب ح,become;begin;start+he;it <verb>,exact,high,
373,خصو / صا,خصوصا,N\CN,noun,خ ص ص,matter;issue;regard;respect+[acc.indef.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
374,نصف,نصف,N\CN,noun,ن ص ف,half;middle;semi-+[def.gen.],exact,high,
375,ذهاب,ذهاب,N\CN,noun,ذ ه ب,the+going;departure+[def.gen.],exact,high,
376,رأي,رأي,N\CN,noun,,the+opinion;view;idea+[def.gen.],exact,high,
377,يفكر,يفكر,V\VI,verb,ف ك ر,he;it+think;consider;ponder,exact,high,
378,وطني,وطني,ADJ,adj,,the+nationalist+[def.gen.],exact,high,
379,اجتماع,اجماع,N\CN,noun,ج م ع,the+consensus;agreement+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
380,قيمة,قيمة,N\CN,noun,,value;worth+[fem.sg.],exact,high,
381,بالد,بلد,N\CN,noun,ب ل د,the+country;countries+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
382,بداية,بداية,N\CN,noun,,beginning;start+[fem.sg.],exact,high,
383,ذو,ذو,N\CN,noun,,(relatives) of;family,exact,high,
384,مدرسة,مدرسة,N\CN,noun,د ر س,school+[fem.sg.],exact,high,
385,سرعة,سرعة,N\CN,noun,س ر ع,by;with+speed;velocity;promptness+[fem.sg.],exact,high,
386,لما,لما,N\RP | ADV,pron_rel | conj,,what | and;so+when;after,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
387,أعضاء,أعضاء,N\CN,noun,,the+organs+[def.gen.],exact,high,
388,عمر,عمر,N\CN,noun,ع م ر,the+age;life+[def.gen.],exact,high,
389,إسالمي,إسلامي,ADJ,adj,س ل م,the+Islamic;Islamist;Muslim+[fem.sg.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
390,مرحلة,مرحلة,N\CN,noun,ر ح ل,the+phase;stage;round+[fem.sg.],exact,high,
391,بعيد,بعيد,ADJ,adj,ب ع د,remote;distant;far+[acc.indef.],exact,high,
392,يخبر,يخبر,V\VI,verb,خ ب ر,notify;communicate+he;it <verb> us,exact,high,
393,أوضح,أوضح,V\VP,verb,,and+clarify;explain;indicate+he;it <verb>,exact,high,
394,حب,حب,N\CN,noun,ح ب ب,the+love;affection+[def.gen.],exact,high,
395,مالةي,مالي,ADJ,adj,,the+financial;monetary+[fem.sg.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
396,عالقة,عالقة,N\CN,adj,ع ل ق,the+related;connected;relevant+[fem.sg.],exact,unresolved,Multiple equally plausible same-POS MSA repairs.
397,يد,يد,N\CN,noun,,hand+[def.gen.],exact,high,
398,ينظر,ينظر,V\VI,verb,ن ظ ر,he;it+look;observe;see,exact,high,
399,مستقبل,مستقبل,N\CN,noun,ق ب ل,the+future+[def.gen.],exact,high,
400,زوجة,زوجة,N\CN,noun,,wife+his;its,exact,high,
401,جيش,جيش,N\CN,noun,,the+army;troops+[def.gen.],exact,high,
402,مدة,مدة,N\CN,noun,م د د,for;to+period of time;interval+[fem.sg.],exact,high,
403,أهل,أهل,N\CN,noun,,qualified+[def.gen.],exact,high,
404,يعيش,يعيش,V\VI,verb,,he;it+live;exist,exact,high,
405,قول,قول,N\CN,noun,,statement;remark+its;his,exact,high,
406,رقم,رقم,N\CN,noun,ر ق م,record+[def.gen.],exact,high,
407,كتاب,كتاب,N\CN,noun,ك ت ب,book+[def.gen.],exact,high,
408,اقتصاد / ي,اقتصاد/ي,ADJ,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate. Final front is not a single Arabic-script word.
409,مكتب,مكتب,N\CN,noun,ك ت ب,bureau;office;department+[def.gen.],exact,high,
410,نظر,نظر,N\CN | V\VP,noun | verb,ن ظ ر,the+view;look;seeing+[def.gen.] | he;it+look;observe;see,exact,high,
411,زيادة,زيادة,N\CN,noun,,increase;addition+[fem.sg.],exact,high,
412,حل,حل,N\CN | V\VP,noun | verb,ح ل ل,solution;dissolution;cancellation+[indef.gen.] | begin;arrive+it;they;she <verb>,exact,high,
413,بلد,بلد,N\CN,noun,ب ل د,the+country;countries+[def.gen.],exact,high,
414,عائلة,عائلة,N\CN,noun,,family;household+[fem.sg.],exact,high,
415,إعادة,إعادة,N\CN,noun,,return;repetition;re-(doing)+[fem.sg.],exact,high,
416,حد,حد,N\CN,noun,ح د د,stop;halt+[indef.gen.],exact,high,
417,يرجو,يرجو,V\VI,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
418,مؤتمر,مؤتمر,N\CN,noun,,the+conference;convention+[def.gen.],exact,high,
419,باب,باب,N\CN,noun,,door;gate+[def.gen.],exact,high,
420,يفهم,يفهم,V\VI,verb,ف ه م,he;it+understand,exact,high,
421,موضو / ع,موضوع,N\CN,noun,,the+subjects;themes;issues+[def.gen.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
422,واقع,واقع,N\CN,noun,,the+located+[def.gen.],exact,high,
423,مقابل,مقابل,N\CN,noun,ق ب ل,opposite to;corresponding to;vis-a-vis+[def.acc.],exact,high,
424,محكمة,محكمة,N\CN,noun,ح ك م,the+court;tribunal+[fem.sg.],exact,high,
425,كلمة,كلمة,N\CN,noun,ك ل م,word;remark;speech+[fem.sg.],exact,high,
426,يتمنى,يتمنى,V\VI,verb,,we+desire;wish for;hope,exact,high,
427,جهاز,جهاز,N\CN,noun,ج ه ز,apparatus;equipment;appliances+[fem.sg.],exact,high,
428,سمع,سمع,N\CN | V\VP,verb | noun,س م ع,hear;listen+I <verb> | the+hearing+[def.gen.],exact,high,
429,اسعم,اسعم,V\VR,,,,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
430,ترك,ترك,N\CN | V\VP,verb | noun,ت ر ك,leave;quit+he;it <verb> | and+leaving;omission+[def.nom.],exact,high,
431,عربي,عربي,ADJ,adj,ع ر ب,the+Arab+[fem.sg.],exact,high,
432,قيادة,قيادة,N\CN,noun,,leaders;commanders+[fem.sg.],exact,high,
433,فضل,فضل,N\CN | V\VP,noun | verb,ف ض ل,distinction;quality+[acc.indef.] | he;it+prefer,exact,high,
434,انتهى,انهى,V\VP,verb,,complete;communicate+he;it <verb>,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
435,طالب,طالب,N\CN | V\VP,noun | verb,ط ل ب,the+students+[def.gen.] | demand;require+he;it <verb>,exact,high,
436,رفض,رفض,N\CN | V\VP,verb | noun,ر ف ض,reject;refuse+he;it <verb> | rejection;refusal+its;his,exact,high,
437,صاحب,صاحب,N\CN | V\VP,noun | verb,ص ح ب,friend;companion+[def.gen.] | he;it+befriend;accompany,exact,high,
438,بلغ,بلغ,V\VP,verb,ب ل غ,reach;attain+he;it <verb>,exact,high,
439,وصول,وصول,N\CN,noun,,the+receipt;voucher+[def.gen.],exact,high,
440,دخول,دخول,N\CN,noun,د خ ل,the+entrance;penetration+[def.gen.],exact,high,
441,عالمية,عالمية,ADJ,adj,ع ل م,the+international;world-wide;world+[fem.sg.],exact,high,
442,مهمة,مهمة,N\CN,noun,ه م م,the+important matter+[fem.sg.],exact,high,
443,مزيد,مزيد,N\CN,noun,,the+more;greater number+[def.gen.],exact,high,
444,رئاسة,رئاسة,N\CN,noun,,by;with+presidency;leadership;chairmanship+[fem.sg.],exact,high,
445,مجتمع,مجتمع,N\CN,noun,ج م ع,the+society+[def.gen.],exact,high,
446,قلب,قلب,V\VP,verb,ق ل ب,he;it+turn around;reverse,exact,high,
447,ينتظر,ينظر,V\VI,verb,ن ظ ر,he;it+look;observe;see,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
448,تعاون,تعاون,N\CN | V\VP,noun | verb,,the+cooperation+[def.gen.] | it;they;she+cooperate,exact,high,
449,عبد,عبد,N\CN | V\VP,noun | verb,ع ب د,the+slaves;blacks | he;it+enslave,exact,high,
450,جزء,جزء,N\CN,noun,,section;piece;portion;part;fraction,exact,high,
451,موسم,موسم,N\CN,noun,,the+season;festival+[def.gen.],exact,high,
452,صوت,صوت,N\CN,noun,,voice;sound+[indef.gen.],exact,high,
453,يود,يود,V\VI,verb,,I+want;would like,exact,high,
454,قيام,قيام,N\CN,noun,,the+undertaking;carrying out+[def.gen.],exact,high,
455,خارجية,خارجية,ADJ,adj,خ ر ج,the+outer;foreign;outside+[fem.sg.],exact,high,
456,ذكر,ذكر,N\CN,noun,ذ ك ر,with;by + the+male,exact,high,
457,حديث,حديث,ADJ,adj,ح د ث,the+new;recent;modern+[fem.sg.],exact,high,
458,ظهر,ظهر,N\CN,noun,ظ ه ر,noon;afternoon+[def.gen.],exact,high,
459,عديد,عدد,N\CN,noun,ع د د,number;quantity;issue+[indef.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
460,كأن,أن,P\PO,conj_sub,,that,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
461,لحظة,لحظة,N\CN,noun,ل ح ظ,moment;instant+[fem.sg.],exact,high,
462,حوار,حوار,N\CN,noun,,the+conversation;dialogue;discussion+[def.gen.],exact,high,
463,ارتفاع,ارتفاع,N\CN,,,,exact,unresolved,Multiple equally plausible same-POS MSA repairs.
464,نار,نار,N\CN,noun,,the+fire+[def.gen.],exact,high,
465,حاول,حاول,V\VP | V\VR,verb,,it;they;she+attempt,exact,high,
466,دين,دين,N\CN,noun,,the+religion+[def.gen.],exact,high,
467,دوري,دوري,N\CN,noun,,the+league (sports)+[def.gen.],exact,high,
468,يبحث,يبحث,V\VI,verb,ب ح ث,discuss;search+he;it <verb>,exact,high,
469,يعطي,يعطي,V\VI,verb,,he;it+give;provide,exact,high,
470,غاية,غاية,N\CN,noun,,to;for + the+goal;objective;purpose;intention+[fem.sg.],exact,high,
471,تقديم,تقديم,N\CN,noun,ق د م,offering;presenting;submitting+[def.gen.],exact,high,
472,دفع,دفع,N\CN | V\VP,noun | verb,د ف ع,payment+[def.gen.] | he;it+push;motivate;pay,exact,high,
473,دعا,دعا,V\VP,verb,,we+call;invite+you,exact,high,
474,موقف,موقف,N\CN,noun,,position+[indef.gen.],exact,high,
475,مشيرا,مشيرا,N\CN,adj,,indicative;indicating+[acc.indef.],exact,unresolved,Multiple equally plausible same-POS MSA repairs.
476,تنفيذ,تنفيذ,N\CN,noun,ن ف ذ,implementation;execution;carrying out+[def.gen.],exact,high,
477,يقصد,يقصد,V\VI,verb,ق ص د,intend;mean;pursue+he;it <verb>,exact,high,
478,يذكر,يذكر,V\VI,verb,ذ ك ر,mention;cite;remember+he;it <verb>,exact,high,
479,سالم,سالم,N\CN,noun,س ل م,secure;sound;intact+[masc.pl.],exact,high,
480,أصدقاء,أصدقاء,N\CN,noun,ص د ق,the+friend+[def.nom.],exact,high,
481,وحدة,وحدة,N\CN,noun,,unit+[fem.sg.],exact,high,
482,قديم,قديم,ADJ,adj,ق د م,the+old;ancient+[fem.sg.],exact,high,
483,أزمة,أزمة,N\CN,noun,,the+crisis+[fem.sg.],exact,high,
484,تقرير,تقرير,N\CN,noun,ق ر ر,report;account+[def.gen.],exact,high,
485,معلوما / ت,معلومات,N\CN,noun,ع ل م,the+information;data+[fem.pl.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
486,إمكان,إمكان,N\CN,noun,م ك ن,by;with+possibility;possible+your,exact,high,
487,تيجة,نتيجة,N\CN,noun,ن ت ج,result;consequence+[fem.sg.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
488,موقع,موقع,N\CN,noun,,position;location+[def.gen.],exact,high,
489,سماء,سماء,ADV,noun,,the+sky;heaven+[def.gen.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
490,مجال,مجال,N\CN,noun,,area;field;arena;context+[def.gen.],exact,high,
491,وسط,وسط,N\CN,noun,,middle;center;environment+[def.acc.],exact,high,
492,جميعا,جميعا,N\CN,noun,ج م ع,all of;every one of+[def.gen.],exact,high,
493,موت,موت,N\CN,noun,,the+death+[def.gen.],exact,high,
494,شعر,شعر,N\CN,noun,ش ع ر,the+poetry+[def.gen.],exact,high,
495,دفاع,دفاع,N\CN,noun,د ف ع,the+defense+[def.gen.],exact,high,
496,درجة,درجة,N\CN,noun,د ر ج,degree;class;rank;grade;level+[fem.sg.],exact,high,
497,اتصال,ايصال,N\CN,noun,,connection;transportation;transmission+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
498,عشر,عشر,N\CNU,noun,ع ش ر,ten+[def.acc.] | the+tenth;tenth part+[def.gen.],exact,high,
499,سؤال,سؤال,N\CN,noun,,question;inquiry+[indef.gen.],exact,high,
500,كالم,عالم,N\CN,noun,ع ل م,the+world+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
501,كأس,كأس,N\CN,noun,,cup+[def.gen.],exact,high,
502,جعل,جعل,V\VP,verb,ج ع ل,make;bring about;appoint+he;it <verb>,exact,high,
503,طوال,طوال,ADV,adj,,tall;long+[fem.sg.],exact,unresolved,No sufficiently close same-POS MSA validation candidate.
504,خطة,خطة,N\CN,noun,خ ط ط,plan;project+[fem.sg.],exact,high,
505,متى,متى,P\QU,conj,,when,exact,high,
506,ضبط,ضبط,N\CN | V\VP,noun | verb,ض ب ط,adjusting;regulating;precision+[def.gen.] | regulate;adjust;fix+it;they;she <verb>,exact,high,
507,أثناء,أثناء,ADV,noun,,folds;bends+[def.acc.] | while+meanwhile;meantime,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
508,وطنية,وطنية,ADJ,adj,,the+nationalist+[def.gen.],exact,high,
509,معرفة,معرفة,N\CN,noun,ع ر ف,the+knowledge;information;acquaintance+[fem.sg.],exact,high,
510,بيان,بيان,N\CN,noun,,communique;statement;declaration+[indef.gen.],exact,high,
511,قرر,قرر,V\VP,verb,ق ر ر,decide;resolve+it;they;she <verb>,exact,high,
512,عيد,عيد,N\CN,noun,,feast;holiday;festival,exact,high,
513,زوج,زوج,N\CN | V\VP,noun,,spouse;husband+its;their;her,exact,high,
514,تعليم,تعليم,N\CN,noun,ع ل م,the+education;teaching+[def.gen.],exact,high,
515,خطأ,خطأ,N\CN,noun,,mistake;error;fault,exact,high,
516,تطوير,تطوير,N\CN,noun,,development;advancement;promotion+[def.gen.],exact,high,
517,عدة,عدة,N\CN,noun,,for;to+promise+[fem.sg.],exact,high,
518,عضو,عضو,N\CN,noun,,the+organs+[def.gen.],exact,high,
519,فتح,فتح,N\CN | V\VP,noun | verb,ف ت ح,opening;beginning+[def.gen.] | he;it+open;conquer,exact,high,
520,مات,مات,V\VP,verb,,die;pass away+he;it <verb>,exact,high,
521,غدا,غدا,ADV,noun | verb,,tomorrow+[acc.indef.] | depart;become current+it;they;she <verb>,exact,unresolved,No sufficiently close same-POS MSA validation candidate.
522,عظيم,عظيم,ADJ,adj,ع ظ م,great;powerful+[indef.nom.],exact,high,
523,كشف,كشف,N\CN | V\VP,verb | noun,ك ش ف,discover;reveal;disclose;examine+he;it <verb> | the+report;revelation;disclosure;examination+[def.gen.],exact,high,
524,طاقة,طاقة,N\CN,noun,,the+energy;power;potential+[fem.sg.],exact,high,
525,يعتبر,يعبر,V\VI,verb,ع ب ر,it;they;she+express,fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
526,عاد,عاد,V\VP,verb,,he;it+no longer,exact,high,
527,خلف,خلف,V\VP,verb,خ ل ف,appoint as successor;leave behind+he;it <verb> it;them;her,exact,high,
528,شرق,شرق,N\CN,noun,ش ر ق,for;to+east (of),exact,high,
529,داخلية,داخلية,ADJ,adj,د خ ل,the+internal;domestic+[def.gen.],exact,high,
530,ضمن,ضمن,ADV | V\VP,verb,ض م ن,he;it+guarantee;insure,exact,high,
531,اتفاق,انفاق,N\CN,noun,ن ف ق,the+expenditure;disbursement;expenses+[def.gen.],fuzzy_repair,high,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 1).
532,مياه,مياه,N\CN,noun,,the+water;waters+[def.gen.],exact,high,
533,مستش / فى,مستشفى,N\CN,noun,,hospital,concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
534,إنسان,إنسان,N\CN,noun,,the+human being+[def.gen.],exact,high,
535,أعطى,أعطى,V\VP,verb,,he;it+give;provide,exact,high,
536,ألم,ألم,N\CN | P\PO,noun,,pain;suffering,exact,high,
537,منظمة,منظمة,N\CN,noun,ن ظ م,organization+[fem.sg.],exact,high,
538,كتب,كتب,N\CN | V\VP,verb,ك ت ب,write+he;it <verb>,exact,high,
539,حضور,حضور,N\CN,noun,ح ض ر,by;with+presence;attendance+[def.gen.],exact,high,
540,رفع,رفع,N\CN | V\VP,noun | verb,ر ف ع,raising;lifting;increasing+[def.gen.] | and+lift;raise;increase+he;it <verb>,exact,high,
541,لعب,لعب,N\CN | V\VP,noun | verb,ل ع ب,games;sports+[def.gen.] | play+he;it <verb>,exact,high,
542,خروج,خروج,N\CN,noun,خ ر ج,the+exit;getting out;departure;deviation+[def.gen.],exact,high,
543,جهة,جهة,N\CN,noun,,side;part;direction+[fem.sg.],exact,high,
544,رسالة,رسالة,N\CN,noun,ر س ل,the+letters;messages+[def.gen.],exact,high,
545,استخدام,مستخدم,N\CN,noun,خ د م,the+employer+[def.nom.],fuzzy_repair,medium,Repaired malformed/POS-incompatible PDF form by unique same-POS MSA candidate (distance 2).
546,سلطة,سلطة,N\CN,noun,س ل ط,the+power;authority;rule+[fem.sg.],exact,high,
547,ضرور / ة,ضرورة,N\CN,noun,ض ر ر,necessity;need;imperative+[fem.sg.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
548,يدخل,يدخل,V\VI,verb,د خ ل,enter+he;it <verb>,exact,high,
549,ممكن,ممكن,ADJ,adj,م ك ن,possible+[indef.gen.],exact,high,
550,ن,نتائج,N\CN,noun,ن ت ج,result;consequence+[fem.sg.],source_override,high,Official Table 4 text resolves PDF extraction artifact.
551,مدرب,مدرب,N\CN,noun,د ر ب,the+trainer;coach;instructor+[def.gen.],exact,high,
552,يترك,يترك,V\VI,verb,ت ر ك,leave;quit+he;it <verb>,exact,high,
553,فهم,فهم,V\VP,verb,ف ه م,he;it+understand,exact,high,
554,أساسي,أساسي,ADJ,adj,,the+basic;fundamental+[fem.sg.],exact,high,
555,أشخا / ص,أشخاص,N\CN,noun,ش خ ص,individual;person+[indef.gen.],concatenated_attested_fragments,high,PDF fragments concatenate to an attested same-POS MSA form.
556,جنوب,جنوب,N\CN,noun,ج ن ب,south+[def.gen.],exact,high,
557,يسمع,يسمع,V\VI,verb,س م ع,hear;listen+I <verb>,exact,high,
