front,meaning,pos,frequency,lexique_cgram,kaikki_pos,kaikki_meaning,source,rank
shérif,sheriff (all meanings),noun,43.762000,NOM,noun,sheriff (all meanings),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1286
ajouter,"to add, append",verb,43.678000,VER,verb,"to add, append",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1287
sort,"lot (something used in determining a question by chance); fate, destiny (consequences or effects predetermined by past events or a divine will); spell (magical incantation). 1688, Guy Miège, The Great French Dictionary. ""On a jetté un sort sur son bétail, a spell is made upon his cattle, or his cattle is bewitched.""",noun,43.614000,NOM,noun|verb,"lot (something used in determining a question by chance); fate, destiny (consequences or effects predetermined by past events or a divine will); spell (magical incantation). 1688, Guy Miège, The Great French Dictionary. ""On a jetté un sort sur son bétail, a spell is made upon his cattle, or his cattle is bewitched.""",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1288
direct,"direct; live broadcast, live reporting",adjective / noun,43.610000,ADJ|NOM,adj|adv|noun,"direct; live broadcast, live reporting",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1289
professionnel,professional,adjective / noun,43.387000,ADJ|NOM,adj|noun,professional,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1290
pain,"food; bread; hottie, fox",noun,43.336000,NOM,noun,"food; bread; hottie, fox",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1291
mouvement,motion; movement,noun,43.282000,NOM,noun,motion; movement,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1292
nommer,"to nominate; to name, to call; to be called, to call oneself",verb,43.273000,VER,verb,"to nominate; to name, to call; to be called, to call oneself",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1293
joie,joy (feeling of happiness or elation),noun,43.247000,NOM,noun,joy (feeling of happiness or elation),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1294
responsabilité,responsibility; legal liability,noun,43.247000,NOM,noun,responsibility; legal liability,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1295
écraser,to crash; to squash; to shut up,verb,43.232000,VER,verb,to crash; to squash; to shut up,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1296
inconnu,"unknown, obscure, unfamiliar, strange; an unknown person, place, or thing; a stranger; the things one does not know, in contrast to what one does",adjective / noun,43.216000,ADJ|NOM,adj|noun,"unknown, obscure, unfamiliar, strange; an unknown person, place, or thing; a stranger; the things one does not know, in contrast to what one does",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1297
genou,lap; knee,noun,43.171000,NOM,noun,lap; knee,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1298
accorder,"to agree on a fact; to tune, to tune up; to come to an agreement",verb,43.153000,VER,verb,"to agree on a fact; to tune, to tune up; to come to an agreement",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1299
mètre,metre/meter,noun,43.117000,NOM,noun|verb,metre/meter,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1300
bâtiment,"warship; ship or boat; building, edifice",noun,43.079000,NOM,noun,"warship; ship or boat; building, edifice",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1301
faillir,to fail; to go bankrupt; to almost do something,verb,43.067000,VER,verb,to fail; to go bankrupt; to almost do something,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1302
lait,milk,noun,42.956000,NOM,noun,milk,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1303
violer,"to violate; to rape, to have sex with an unwilling partner",verb,42.937000,VER,verb,"to violate; to rape, to have sex with an unwilling partner",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1304
présence,presence,noun,42.813000,NOM,noun,presence,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1305
allemand,German person; German (The German language); of the German language; German,adjective / noun,42.788000,ADJ|NOM,adj|noun,German person; German (The German language); of the German language; German,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1306
formidable,"fearsome; fantastic, tremendous",adjective,42.731000,ADJ,adj,"fearsome; fantastic, tremendous",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1307
rose,"pink; rose; erotic, blue",adjective / noun,42.731000,ADJ|NOM,adj|name|noun,"pink; rose; erotic, blue",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1308
magie,magic; the art illusionism,noun,42.636000,NOM,noun,magic; the art illusionism,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1309
discours,speech,noun,42.560000,NOM,noun,speech,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1310
talent,"a talent, a gift, a knack; a talent (an obsolete unit of weight or money)",noun,42.560000,NOM,noun,"a talent, a gift, a knack; a talent (an obsolete unit of weight or money)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1311
saison,"season (the time of the year when teams compete); season (a certain time of the year, when something in particular happens); season (one of the four parts of the year in temperate regions: winter, spring, summer and autumn)",noun,42.532000,NOM,noun,"season (the time of the year when teams compete); season (a certain time of the year, when something in particular happens); season (one of the four parts of the year in temperate regions: winter, spring, summer and autumn)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1312
infirmier,"nurse, nursing; nurse (medical professional)",adjective / noun,42.405000,ADJ|NOM,adj|noun,"nurse, nursing; nurse (medical professional)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1313
cou,neck,noun,42.354000,NOM,noun,neck,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1314
montre,"display, showcase; watch, wristwatch",noun,42.285000,NOM,noun|verb,"display, showcase; watch, wristwatch",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1315
chinois,"of China; Chinese; Chinese (language); a chinois, fine-meshed strainer",adjective / noun,42.211000,ADJ|NOM,adj|noun,"of China; Chinese; Chinese (language); a chinois, fine-meshed strainer",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1316
menteur,"bluffer; mendacious, lying; liar (one who tells lies)",adjective / noun,42.185000,ADJ|NOM,adj|noun,"bluffer; mendacious, lying; liar (one who tells lies)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1317
ouvert,open; switched on; of a building: having a door of a specified colour,adjective,42.123000,ADJ,adj|verb,open; switched on; of a building: having a door of a specified colour,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1318
justement,"rightly, justly; fairly; actually, at that very moment; precisely, exactly; accurately",adverb,42.108000,ADV,adv,"rightly, justly; fairly; actually, at that very moment; precisely, exactly; accurately",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1319
toit,roof,noun,42.105000,NOM,noun,roof,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1320
parc,park; pen (for animals); playpen (for children),noun,42.092000,NOM,noun,park; pen (for animals); playpen (for children),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1321
assistant,assistant,noun,42.066000,NOM,noun|verb,assistant,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1322
débrouiller,"to disentangle (threads); to get by, to manage; to bootstrap",verb,42.010000,VER,verb,"to disentangle (threads); to get by, to manage; to bootstrap",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1323
labo,lab (laboratory),noun,42.003000,NOM,noun,lab (laboratory),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1324
échouer,"to beach; to end, wind up; to ground, run aground",verb,41.888000,VER,verb,"to beach; to end, wind up; to ground, run aground",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1325
foi,Faith; A depiction of a handshake,noun,41.766000,NOM,noun,Faith; A depiction of a handshake,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1326
condition,"conditions; term, condition; condition, state",noun,41.753000,NOM,noun,"conditions; term, condition; condition, state",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1327
ministre,"minister; indigo bunting, a bird with taxonomic name Passerina cyanea",noun,41.728000,NOM,noun,"minister; indigo bunting, a bird with taxonomic name Passerina cyanea",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1328
odeur,"smell, odour",noun,41.699000,NOM,noun,"smell, odour",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1329
mince,"drat!, darn!; wow!, blimey!; thin, slim, slender",adjective / interjection,41.693000,ADJ|ONO,adj|intj,"drat!, darn!; wow!, blimey!; thin, slim, slender",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1330
joyeux,"joyful, happy",adjective,41.559000,ADJ,adj,"joyful, happy",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1331
plage,beach; range,noun,41.550000,NOM,noun,beach; range,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1332
jardin,garden,noun,41.484000,NOM,noun,garden,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1333
crétin,cretin (moron; idiot etc.); cretinous (stupid; idiotic etc.); cretin (someone affected by cretinism),adjective / noun,41.455000,ADJ|NOM,adj|noun,cretin (moron; idiot etc.); cretinous (stupid; idiotic etc.); cretin (someone affected by cretinism),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1334
charge,"charge; load, burden; cargo, freight",noun,41.424000,NOM,noun|verb,"charge; load, burden; cargo, freight",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1335
guérir,"to cure, to heal; to recover, to heal",verb,41.388000,VER,verb,"to cure, to heal; to recover, to heal",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1336
apparaître,"to spawn; to appear, to seem; to appear (become visible)",verb,41.382000,VER,verb,"to spawn; to appear, to seem; to appear (become visible)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1337
arrivée,arrival,noun,41.269000,NOM,noun,arrival,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1338
malheureusement,sadly; unfortunately,adverb,41.139000,ADV,adv,sadly; unfortunately,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1339
déclarer,to declare; to break out,verb,41.125000,VER,verb,to declare; to break out,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1340
fan,"fan (ventilator); fan (admirer, supporter)",noun,41.095000,NOM,name|noun,"fan (ventilator); fan (admirer, supporter)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1341
meurtrier,"murderer (person who commits murder); deadly, bloody (involving death), murderous",adjective / noun,41.040000,ADJ|NOM,adj|noun,"murderer (person who commits murder); deadly, bloody (involving death), murderous",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1342
couler,to sink; to go bankrupt; to shed (i.e. shed blood),verb,41.028000,VER,verb,to sink; to go bankrupt; to shed (i.e. shed blood),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1343
vitesse,gear; speed,noun,40.978000,NOM,noun,gear; speed,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1344
indiquer,"to prescribe; to show, indicate; to point to, to point out",verb,40.842000,VER,verb,"to prescribe; to show, indicate; to point to, to point out",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1345
coffre,"chest, box; boot (UK), trunk (US) (luggage storage compartment of a vehicle, i.e. car)",noun,40.835000,NOM,noun|verb,"chest, box; boot (UK), trunk (US) (luggage storage compartment of a vehicle, i.e. car)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1346
gêner,"to embarrass; to hinder, hamper, bother; to bother, annoy, irritate",verb,40.833000,VER,verb,"to embarrass; to hinder, hamper, bother; to bother, annoy, irritate",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1347
os,"bone; snag, hitch",noun,40.785000,NOM,noun,"bone; snag, hitch",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1348
génie,genie; genius; engineering,noun,40.769000,NOM,noun,genie; genius; engineering,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1349
amusant,fun,adjective,40.721000,ADJ,adj|verb,fun,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1350
bloquer,to defeat; to retreat; to become jammed,verb,40.719000,VER,verb,to defeat; to retreat; to become jammed,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1351
autoriser,to allow; to authorise,verb,40.657000,VER,verb,to allow; to authorise,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1352
flingue,"shooter, pistol, gat (gun)",noun,40.649000,NOM,noun|verb,"shooter, pistol, gat (gun)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1353
complet,"a suit; complete, entire; full, without room for more",adjective / noun,40.643000,ADJ|NOM,adj|noun,"a suit; complete, entire; full, without room for more",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1354
majesté,majesty (greatness); majesty (title of a sovereign); majesty (quality of being majestic),noun,40.639000,NOM,noun,majesty (greatness); majesty (title of a sovereign); majesty (quality of being majestic),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1355
folie,folly,noun,40.626000,NOM,noun,folly,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1356
également,equally; too; also,adverb,40.614000,ADV,adv,equally; too; also,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1357
parfaitement,perfectly,adverb,40.604000,ADV,adv,perfectly,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1358
juif,"Jew (follower of Judaism); stingy, miserly, avaricious; Jewish (following the religion of Judaism)",adjective / noun,40.596000,ADJ|NOM,adj|noun,"Jew (follower of Judaism); stingy, miserly, avaricious; Jewish (following the religion of Judaism)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1359
soigner,"to treat; to nurse; to look after, to take care of",verb,40.591000,VER,verb,"to treat; to nurse; to look after, to take care of",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1360
pantalon,"knickers; trousers (UK), pants (US)",noun,40.544000,NOM,noun,"knickers; trousers (UK), pants (US)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1361
assassin,deadly; fatal; that kills; an assassin or other murderer,adjective / noun,40.541000,ADJ|NOM,adj|noun,deadly; fatal; that kills; an assassin or other murderer,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1362
toi-même,yourself,pronoun,40.509000,PRO:per,pron,yourself,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1363
marre,enough,adverb,40.478000,ADV,adv|noun|verb,enough,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1364
malgré,"despite, in spite of; against (one's) will, despite (one's) protest",preposition,40.475000,PRE,prep,"despite, in spite of; against (one's) will, despite (one's) protest",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1365
observer,"to note, notice; to keep, maintain; to observe, watch",verb,40.457000,VER,verb,"to note, notice; to keep, maintain; to observe, watch",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1366
là-haut,up there,adverb,40.370000,ADV,adv,up there,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1367
détective,detective (police officer who looks for evidence),noun,40.282000,NOM,noun,detective (police officer who looks for evidence),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1368
trésor,treasury; treasure (valuables); treasure (term of endearment),noun,40.234000,NOM,noun,treasury; treasure (valuables); treasure (term of endearment),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1369
émission,"emission; programme, show",noun,40.228000,NOM,noun,"emission; programme, show",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1370
théorie,"theory; procession; group of people moving in single file; a row, line; solemn or sacred procession or embassy, especially in ancient Greece",noun,40.222000,NOM,noun,"theory; procession; group of people moving in single file; a row, line; solemn or sacred procession or embassy, especially in ancient Greece",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1371
piège,"pitfall; trap, snare, booby trap",noun,40.186000,NOM,noun|verb,"pitfall; trap, snare, booby trap",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1372
collègue,friend; colleague,noun,40.168000,NOM,noun,friend; colleague,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1373
arracher,"to buy, snap up; to scram; to get out; to fight over (something)",verb,40.162000,VER,verb,"to buy, snap up; to scram; to get out; to fight over (something)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1374
propriétaire,"property owner, landlord; owner (one who owns something)",noun,40.155000,NOM,adj|noun,"property owner, landlord; owner (one who owns something)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1375
fabriquer,to be up to; to fabricate; to make; to build; to manufacture,verb,40.050000,VER,verb,to be up to; to fabricate; to make; to build; to manufacture,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1376
limite,limit,noun,40.025000,NOM,adj|noun|verb,limit,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1377
donnée,datum (item of data),noun,39.933000,NOM,noun|verb,datum (item of data),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1378
cinéma,"cinema (movie theatre); playacting, drama, fuss; cinema (films or movies as a group)",noun,39.921000,NOM,noun,"cinema (movie theatre); playacting, drama, fuss; cinema (films or movies as a group)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1379
date,date (point in time); date (romantic meeting); date (person you go on a romantic meeting with),noun,39.905000,NOM,noun|verb,date (point in time); date (romantic meeting); date (person you go on a romantic meeting with),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1380
passage,a short stay; an access way; graduation from a school year,noun,39.905000,NOM,noun|verb,a short stay; an access way; graduation from a school year,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1381
informer,to inquire; to ask; to get information; to inform; to enlighten; to impart knowledge (upon),verb,39.715000,VER,verb,to inquire; to ask; to get information; to inform; to enlighten; to impart knowledge (upon),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1382
balancer,"to swing (to ride on a swing); to toss, to throw away, to discard; to swing (to do a reciprocating movement)",verb,39.678000,VER,verb,"to swing (to ride on a swing); to toss, to throw away, to discard; to swing (to do a reciprocating movement)",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1383
celui-ci,this one; the latter,pronoun,39.576000,PRO:dem,pron,this one; the latter,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1384
siècle,century (period of 100 years),noun,39.541000,NOM,noun,century (period of 100 years),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1385
moteur,"engine; driving force; motive, driving",adjective / noun,39.529000,ADJ|NOM,adj|noun,"engine; driving force; motive, driving",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1386
marquer,to score (e.g. a point or a goal); to brand (brandish someone's skin with a mark); to mark (to feature as a highlight of something),verb,39.504000,VER,verb,to score (e.g. a point or a goal); to brand (brandish someone's skin with a mark); to mark (to feature as a highlight of something),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1387
particulier,peculiar; particular; an individual; a specified person,adjective / noun,39.502000,ADJ|NOM,adj|noun,peculiar; particular; an individual; a specified person,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1388
fantastique,related to the fantastique genre; fantastic (related to fantasy or fantasies); A genre of literature and film that is characterized by the intrusion of the supernatural into the realistic framework of a story,adjective / noun,39.500000,ADJ|NOM,adj|noun,related to the fantastique genre; fantastic (related to fantasy or fantasies); A genre of literature and film that is characterized by the intrusion of the supernatural into the realistic framework of a story,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1389
profond,"deep; profound; rural, small-town, provincial, heartland; authentic, true",adjective,39.437000,ADJ,adj,"deep; profound; rural, small-town, provincial, heartland; authentic, true",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1390
étonner,to surprise,verb,39.418000,VER,verb,to surprise,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1391
enfoiré,"dickhead, fuckhead, shithead",noun,39.410000,NOM,noun|verb,"dickhead, fuckhead, shithead",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1392
employé,employee; nonmanagerial worker,noun,39.370000,NOM,noun|verb,employee; nonmanagerial worker,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1393
préféré,favourite,adjective,39.322000,ADJ,adj|verb,favourite,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1394
disputer,to dispute; to take part in,verb,39.290000,VER,verb,to dispute; to take part in,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1395
succès,success; achievement,noun,39.288000,NOM,noun,success; achievement,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1396
mode,"mode; fashion, trend",noun,39.260000,NOM,noun,"mode; fashion, trend",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1397
sorcier,"sorcerer, magician, warlock",noun,39.231000,NOM,noun,"sorcerer, magician, warlock",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1398
traitement,treatment; processing,noun,39.196000,NOM,noun,treatment; processing,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1399
appuyer,"to lean; to rest; to press, push",verb,39.181000,VER,verb,"to lean; to rest; to press, push",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1400
correspondre,to write to; to correspond; to transfer (on public transit),verb,39.089000,VER,verb,to write to; to correspond; to transfer (on public transit),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1401
examiner,to examine,verb,39.017000,VER,verb,to examine,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1402
scientifique,scientific; scientist (studier of science),adjective / noun,38.993000,ADJ|NOM,adj|noun,scientific; scientist (studier of science),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1403
voter,to vote,verb,38.985000,VER,verb,to vote,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1404
assassiner,to assassinate,verb,38.979000,VER,verb,to assassinate,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1405
effort,effort,noun,38.971000,NOM,noun,effort,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1406
samedi,Saturday,noun,38.959000,NOM,noun,Saturday,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1407
au-dessus,above,adverb,38.927000,ADV,adv,above,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1408
piéger,"to trap (catch in a trap), to trick, to set up",verb,38.910000,VER,verb,"to trap (catch in a trap), to trick, to set up",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1409
directement,directly,adverb,38.883000,ADV,adv,directly,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1410
côte,"coast; rib (bone); hill, slope",noun,38.864000,NOM,noun,"coast; rib (bone); hill, slope",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1411
réunir,to meet; to come together; to bring together,verb,38.848000,VER,verb,to meet; to come together; to bring together,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1412
bravo,"swordsman; applause, cheers; bravo!, hear, hear!, well said!, well done!",noun / interjection,38.798000,NOM|ONO,intj|noun,"swordsman; applause, cheers; bravo!, hear, hear!, well said!, well done!",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1413
paquet,pack; parcel; wad (of cash),noun,38.702000,NOM,name|noun,pack; parcel; wad (of cash),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1414
miracle,miracle,noun,38.661000,NOM,noun,miracle,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1415
site,site,noun,38.563000,NOM,noun,site,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1416
déménager,to move out; to move house; to move an object as part of moving house,verb,38.543000,VER,verb,to move out; to move house; to move an object as part of moving house,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1417
bataille,battle; war (card game),noun,38.481000,NOM,noun,battle; war (card game),Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1418
celle-là,feminine singular of celui-là,pronoun,38.449000,PRO:dem,pron,feminine singular of celui-là,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1419
mordre,to bite; to encroach,verb,38.439000,VER,verb,to bite; to encroach,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1420
insister,"to insist, emphasize",verb,38.311000,VER,verb,"to insist, emphasize",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1421
reçu,receipt; accomplished,adjective / noun,38.258000,ADJ|NOM,adj|noun|verb,receipt; accomplished,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1422
révéler,"to emerge; to develop (a photo); to reveal, to give away",verb,38.223000,VER,verb,"to emerge; to develop (a photo); to reveal, to give away",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1423
fesse,buttock,noun,38.212000,NOM,noun|verb,buttock,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1424
hasard,hazard; a coincidence; (random) chance,noun,38.158000,NOM,noun,hazard; a coincidence; (random) chance,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1425
naturel,natural,adjective / noun,38.104000,ADJ|NOM,adj|noun,natural,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1426
millier,thousand; a number of about a thousand,noun,38.076000,NOM,noun,thousand; a number of about a thousand,Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1427
bal,"dance party, ball",noun,38.032000,NOM,noun,"dance party, ball",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1428
ombre,"ghost; darkness; shade, shadow",noun,38.012000,NOM,noun|verb,"ghost; darkness; shade, shadow",Lexique 4 compatible-POS lemma frequency + Kaikki/Wiktextract lexical semantics,1429
