rank,front,meaning,camel_analysis_count,flags
764,يرغب,wants; desires; wishes,1,
765,زمن,time; era,15,
766,سالمة,safety; well-being,13,
767,حي,neighborhood; district; living/alive (depending on vocalization),15,
768,حوالي,around; approximately; about,4,
769,طرق,roads; ways; knocked,14,
770,أسرع,faster; fastest; hasten; hurry,9,
771,توفير,provision; saving; availability,6,
772,أصحاب,owners; companions; people of,12,
773,استثمار,investment,12,
774,مسؤولية,responsibility,15,
775,كافة,all; entire; all of,14,
776,أدى,led to; performed; fulfilled,3,
777,مسلمون,Muslims,2,
778,سباق,race; competition,24,
779,زواج,marriage; wedding,12,
780,يؤكد,confirms; affirms,2,
781,ثقة,trust; confidence,7,
782,تجربة,experience; experiment,9,
783,روح,spirit; soul,13,
784,اعتبر,considered; regarded,4,
785,نفط,petroleum; oil,6,
786,تقريبا,approximately; roughly,2,
787,إنشاء,establishment; creation; construction; composition,12,
788,يقلق,worries; becomes anxious; causes worry (depending on vocalization),3,
789,يتصل,contacts; connects; calls,3,
790,رحلة,journey; trip,21,
791,آنسة,Miss; young lady,22,
792,استمر,continued; continue!,2,
793,أسفل,lower; lowest; underneath,19,
794,يتعلم,learns; studies,1,
795,جو,weather; atmosphere; air,8,
796,أسلحة,weapons; arms,9,
797,صدر,was issued; was published; came from,8,
798,نوم,sleep,19,
799,صناعة,industry; manufacture,15,
800,تحرير,liberation; editing,12,
801,طلاب,students,6,
802,قريبا,"soon; shortly; nearby (قريبًا, context-dependent)",7,
803,فتى,young man; boy,8,
804,قوي,strong; powerful,10,
805,رعاية,care; sponsorship; protection,7,
806,تدريب,training; practice,6,
807,وفد,delegation; arrived/came as a delegate,14,
808,اتجاه,direction; trend; orientation,12,
809,تناول,handling; تناول = eating/taking; ate/took/dealt with,9,
810,وقف,endowment (waqf); stopped; stood,17,
811,أرسل,sent,4,
812,يضم,includes; comprises,2,
813,مرور,passing; traffic; passage,6,
814,شاب,young man; youth; mixed/adulterated (rare verb reading),8,
815,خرج,went out; left; exited,8,
816,يتوقع,expects; anticipates,2,
817,يقدم,presents; offers; submits,5,
818,نمو,growth; development,7,
819,ثورة,revolution; uprising,19,
820,أموال,money; funds; wealth,6,
821,يكفي,is enough; suffices,1,
822,عاصمة,capital city,11,
823,يهم,matters; concerns; is important to,6,
824,كبرى,major; greater; largest (feminine كبرى),14,
825,حملة,campaign; group of carriers/bearers (depending on vocalization),25,
826,اقتصاد,economy; economics,6,
827,لغة,language,7,
828,عنوان,address; title; headline,30,
829,كلية,college/faculty; kidney; entirety/totality (depending on vocalization/context),47,
830,عم,paternal uncle; became widespread/general,7,
831,قمة,summit; peak,12,
832,تابع,follower/subordinate; followed; continued,7,
833,دائرة,circle; department; district,36,
834,أحداث,events,12,
835,بحر,sea,14,
836,مناسب,suitable; appropriate,6,
837,قرية,village,14,
838,يبلغ,reaches; amounts to; informs/notifies (depending on form),5,
839,انتهاء,ending; completion,4,
840,معنى,meaning; sense,7,
841,يعاني,suffers,2,
842,جاري,current; ongoing,13,
843,مواد,materials; substances,12,
844,مسألة,issue; matter; question,11,
845,قلق,anxiety; concern; worried/anxious,13,
846,دعوة,invitation; call; الدعوة = advocacy/mission in some contexts,18,
847,سكان,inhabitants; population,18,
848,أسباب,reasons; causes,6,
849,يتوقف,stops; depends on,1,
850,وصف,description; described,41,
851,بلدة,town; small town,30,
852,علاج,medical treatment; therapy; processing,6,
853,أوراق,papers; leaves; documents,12,
854,رب,Lord; master; owner (رَبّ); perhaps/many a (رُبَّ),20,
855,وسائل,means; methods; media/devices,58,
856,مهرجان,festival,7,
857,تجارة,trade; commerce,15,
858,ضرب,hitting; strike; ضرب = hit/struck,14,
859,مقاومة,resistance; opposition,18,
860,يستخدم,uses; is used (voice depends on vocalization),2,
861,مصلحة,interest; benefit; public service/agency (context-dependent),33,
862,أسواق,markets,6,
863,يدعو,calls; invites; advocates,1,
864,سيطرة,control; domination,15,
865,مؤخرا,recently; lately,7,
866,أساس,basis; foundation,12,
867,نظرة,look; view; glance,12,
868,مجددا,again; anew; once again,5,
869,مادة,material; substance; article,34,
870,جنس,type; kind; sex/gender,13,
871,أنفس,selves; souls,15,
872,تسجيل,registration; recording,6,
873,أوسط,middle; central; intermediate (أوسط),6,
874,حقق,achieved; realized; investigated/verified (depending on form),1,
875,خطاب,speech; address; discourse,24,
876,نجح,succeeded,8,
877,تشكيل,formation; composition; shaping,6,
878,سيئة,bad; poor (feminine),14,
879,بطل,hero; champion,18,
880,يقف,stands; stops,4,
881,يواجه,faces; confronts,1,
882,قرب,approached; came near,23,
883,حاكم,ruler; governor; judged/prosecuted,14,
884,عقب,after; following; commented/followed up (عَقِب / عَقَّب),9,
885,ظن,thought; belief; assumption; thought/believed,7,
886,مر,bitter (مُرّ); passed/went by (مَرَّ),13,
887,عشاء,dinner; evening meal (عَشَاء),8,
888,إعداد,preparation; setup,12,
889,فندق,hotel,10,
890,يؤدي,leads to; performs; results in,2,
891,يحضر,attends; is present; prepares/brings (depending on form),4,
892,تحول,transformation; change; changed/transformed,13,
893,سريع,fast; quick,6,
894,يشهد,witnesses; observes,3,
895,سر,secret,14,
896,ظروف,circumstances; conditions,6,
897,فاز,won,8,
898,ميت,dead,6,
899,أثر,effect; trace; impact; affected/influenced,26,
900,ضوء,light,1,
901,عمال,workers,6,
902,قدرة,ability; capacity,32,
903,يدري,knows; is aware,4,
904,منع,prevention; prohibition; prevented,7,
905,رئيسي,main; principal; primary,11,
906,ميلاد,birth; birthday,18,
907,إنما,only; merely; nothing but,1,
908,مسابقة,competition; contest,18,
909,دليل,evidence; guide; proof,18,
910,سفر,travel; journey,20,
911,حمل,load; burden; حمل = carrying,26,
912,تصوير,photography; filming,12,
913,طيران,aviation; flying,12,
914,محطة,station; stop,11,
915,أفراد,individuals; persons,12,
916,سوء,badness; سوء = poor/bad state,1,
917,احترام,respect,6,
918,حساب,account; calculation,12,
919,تطبيق,application; implementation,6,
920,يستحق,deserves; is worth; is entitled to,1,
921,بيئة,environment,7,
922,مقر,headquarters; seat; location,6,
923,فشل,failure; failed,15,
924,افعل,do!; act!,17,
925,كبار,senior people; elders; major/important people,9,
926,يتعرف,gets to know; becomes acquainted with; recognizes,2,
927,وفقا,according to; in accordance with (commonly وَفْقًا لِـ),10,
928,منافسة,competition; rivalry,22,
929,يسعى,seeks; strives,1,
930,يكره,hates; dislikes,10,
931,مواطن,citizen,10,
932,أولاد,boys; sons; children,6,
933,طبيعي,natural; normal,6,
934,خطوة,step,16,
935,مشاريع,projects,4,
936,شاهد,watched; saw; witnessed,7,
937,أصل,origin; root; basis,16,
938,مدارس,schools,4,
939,ثمن,price; value,20,
940,إيجاد,finding; creation/bringing into existence (إيجاد),6,
941,صفقة,deal; transaction,14,
942,يطلق,launches; releases; fires; calls/names (depending on form),4,
943,يقبل,approaches/comes forward; accepts (depending on vocalization),4,
944,يجمع,collects; gathers,4,
945,شديد,severe; strong; intense,7,
946,أسئلة,questions,8,
947,سن,age; tooth (depending on vocalization),14,
948,تفكير,thinking; thought,6,
949,أسماء,names,5,
950,مستشار,advisor; consultant,6,
951,يقود,leads; drives,2,
952,يتمكن,manages to; is able to,4,
953,جهود,efforts,6,
954,سبق,precedence; lead; preceded,14,
955,ضغط,pressure; pressing; pressed,13,
956,إشارة,signal; sign; indication,8,
957,متابعة,follow-up; monitoring,29,
958,أصاب,hit; affected; injured,2,
959,أخت,sister,7,
960,حذر,caution; warning; cautious,14,
961,خليج,gulf,7,
962,أسرة,family; household,31,
963,إصلاح,reform; repair; correction,6,
964,حارس,guard; goalkeeper,6,
965,ناحية,side; direction; aspect; from the standpoint of,11,
966,مرض,illness; disease; fell ill,10,
967,فصل,separated; dismissed; فصل = divided/separated,20,
968,تغير,change; alteration; changed,13,
969,مجنون,crazy; insane,6,
970,نصر,victory; support; helped/supported,12,
971,موجود,present; existing; available; found,6,
972,أسوأ,worse; worst,23,
973,حلم,dream; forbearance/patience; dreamed,26,
974,أندية,clubs,9,
975,جمهور,audience; public; fans,6,
976,صيد,hunting; fishing,6,
977,عادة,habit; custom; usually (in adverbial use),9,
978,مخدرات,drugs; narcotics,21,
979,اتفق,agreed; came to an agreement,4,
980,مسرح,theater; theatre; stage,6,
981,تمكن,ability; mastery; managed/was able,15,
982,ينبغي,should; ought to; it is appropriate/necessary,2,
983,ألعاب,games,6,
984,قوانين,laws,4,
985,يزيد,increases; adds,3,
986,رياضة,sport; exercise,22,
987,مبلغ,amount; sum of money,12,
988,كتابة,writing,26,
989,خوف,fear,13,
990,شمس,sun,10,
991,ساعد,helped; assisted,14,
992,يقل,decreases; becomes less,8,
993,اتخاذ,taking; adoption; making (as in اتخاذ قرار = making a decision),6,
994,حفلة,party; celebration,13,
995,شعور,feeling; sensation,6,
996,يفضل,prefers; is superior/better (depending on vocalization),4,
997,استطاع,was able to; could,2,
998,طبيعة,nature; character,7,
999,مقابلة,interview; meeting; مقابلة = مقابلة/confrontation depending on context,15,
1000,ابتعد,moved away; kept away; move away!,2,
