rank,front,meaning,pos,root,frequency,calima_exact_analyses,source
1409,فساد,corruption,noun,ف س د,1428543,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1410,قاضي,judge; magistrate,noun,,1428519,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1411,تنسيق,coordination; steering; systematic arrangement,noun,ن س ق,1427100,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1412,أجرى,conduct; carry out; perform,verb,,1420054,5,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1413,توظيف,usage; making use of; employment,noun,,1414075,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1414,تحالف,alliance,noun,ح ل ف,1409399,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1415,نفسي,mental; spiritual; psychological,adj,ن ف س,1404509,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1416,غاز,gas,noun,,1402364,8,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1417,وفاة,death,noun,,1400900,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1418,مناقشة,argument; debate,noun,ن ق ش,1398386,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1419,منصب,post; position; office,noun,ن ص ب,1397597,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1420,إنساني,human; humane,adj,,1396204,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1421,جيل,generation; epoch,noun,,1395912,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1422,برلمان,parliament,noun,,1395802,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1423,إصدار,export; issuance,noun,ص د ر,1388568,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1424,واسطة,means; device,noun,,1387660,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1425,متر,meter,noun,م ت ر,1387577,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1426,تنفيذي,executive,adj,ن ف ذ,1385371,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1427,مستقل,independent; autonomous,adj,ق ل ل,1383042,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1428,عنف,violence; force,noun,ع ن ف,1382537,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1429,زكى,augment; nominate; recommend,verb,,1382476,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1430,دستور,constitution; statute,noun,د س ت ر,1377712,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1431,مشاهد,views; panoramas; spectacles,noun,ش ه د,1373977,10,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1432,هام,important; significant,adj,ه م م,1367729,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1433,روى,tell; report; relate; narrate,verb,,1366352,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1434,نموذج,sample; model,noun,,1365944,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1435,حفاظ,preservation; guarding,noun,ح ف ظ,1365282,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1436,مؤمن,believer,noun,,1365030,24,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1437,صلاحية,practicability; viability; competence,noun,ص ل ح,1364267,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1438,نووي,nuclear; atomic; nucleic,adj,,1364091,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1439,قصير,short; small,adj,ق ص ر,1363440,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1440,معدل,average; rate; mean,noun,ع د ل,1363258,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1441,سوداني,Sudanese,adj,,1359845,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1442,نقص,decrease; loss; deficiency; lack,noun,ن ق ص,1358162,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1443,تلقى,be delivered; be thrown,verb,,1357770,5,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1444,معركة,battle; campaign,noun,ع ر ك,1355471,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1445,رمضاني,Ramadan-related,adj,ر م ض,1351336,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1446,تلفزيون,television,noun,,1351178,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1447,إيمان,belief; faith,noun,,1351087,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1448,إشراف,supervision; direction; patronage,noun,ش ر ف,1351075,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1449,نظم,be arranged; be organized; be regulated,verb,ن ظ م,1350699,3,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1450,شرعية,legitimacy; legality,noun,ش ر ع,1349616,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1451,منهج,method; approach; program,noun,ن ه ج,1348389,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1452,توجيه,directing; guiding; sending,noun,,1340429,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1453,باقي,remaining,noun,,1336713,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1454,كويتي,Kuwaiti,adj,,1335364,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1455,أسلوب,style; method; manner,noun,س ل ب,1330131,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1456,تيار,current; stream,noun,,1328970,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1457,ممارسة,practice; pursuit; exercise,noun,م ر س,1326636,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1458,مقتل,murder; killing,noun,ق ت ل,1326303,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1459,وثيقة,document; charter,noun,,1326286,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1460,سي,C,abbrev,,1316154,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1461,سكري,sugar,noun,س ك ر,1315875,8,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1462,فور,immediately; at once,noun,,1314094,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1463,تطور,development; progress,noun,,1313279,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1464,وكيل,representative; agent,noun,,1307679,24,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1465,ورشة,workshops,noun,,1305228,32,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1466,متهم,accused; indicted; suspected,noun,,1303706,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1467,متعدد,multi-; poly-; manifold; numerous,adj,ع د د,1302785,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1468,لي,distortion; contortion,noun,,1302727,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1469,عقل,mind; intellect; brain,noun,ع ق ل,1301240,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1470,تحدي,challenge,noun,,1300354,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1471,كنيسة,church; temple,noun,ك ن س,1299391,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1472,محدد,set; determined; defined,adj,ح د د,1298901,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1473,تحسين,improving; making better,noun,ح س ن,1297004,18,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1474,رائد,leader; explorer; pioneer,noun,,1293251,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1475,محافظ,governor; conservative,noun,ح ف ظ,1292669,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1476,عادل,fair; just; equitable,adj,ع د ل,1290005,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1477,تونسي,Tunisian,adj,ت ن س,1289427,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1478,غذائي,food; alimentary; nutritional,adj,,1284633,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1479,مسيرة,march; parade,noun,,1283321,21,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1480,أصدر,issue; publish,verb,ص د ر,1280624,5,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1481,تفعيل,scansion,noun,ف ع ل,1280602,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1482,هندي,Indian,adj,ه ن د,1280235,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1483,دواء,remedy; medication,noun,,1280166,8,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1484,توقع,expect; count on; anticipate,verb,,1279731,9,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1485,خسارة,loss; damage,noun,خ س ر,1278614,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1486,حدد,determine; define; specify,verb,ح د د,1277000,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1487,بوابة,gate; portal,noun,,1273031,21,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1488,مؤشر,indicator; index; gage,noun,,1272108,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1489,رمز,sign; symbol; emblem,noun,ر م ز,1268165,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1490,دنيا,world; near; low; inferior,noun,,1261543,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1491,ص,S; 18th,abbrev,,1261274,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1492,منور,shining; bright,adj,,1260686,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1493,تعبير,expression,noun,ع ب ر,1259888,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1494,لواء,major general; brigade,noun,,1259871,16,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1495,مبنى,building; structure,noun,,1259749,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1496,إيجابي,positive; affirmative,adj,,1257309,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1497,بات,become; remain,verb,,1256806,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1498,محيط,surrounding; peripheral,adj,,1255850,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1499,بالغ,extreme; profound,adj,ب ل غ,1255502,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1500,قاعة,hall; corridor; large room,noun,,1255342,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1501,قمر,satellite,noun,ق م ر,1252318,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1502,لازم,necessary; required; needed,adj,ل ز م,1249340,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1503,عهد,age; period,noun,ع ه د,1248952,24,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1504,كهربائي,electrician,adj,ك ه ر ب,1247074,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1505,ترفيهي,entertainment; recreation; amusement,adj,ر ف ه,1242638,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1506,صراع,struggle; fight,noun,ص ر ع,1240361,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1507,تقدير,appreciation; gratitude,noun,ق د ر,1239412,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1508,قادر,capable; able,adj,ق د ر,1239072,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1509,رغبة,desire; wish,noun,ر غ ب,1237270,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1510,تمنى,desire; wish for; hope,verb,,1232727,5,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1511,ضحية,victim,noun,,1231122,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1512,شاشة,screen,noun,,1231093,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1513,إستراتيجي,strategic,adj,,1226760,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1514,منزلي,domestic; household,adj,ن ز ل,1218896,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1515,تراث,heritage; inheritance,noun,ت ر ث,1218351,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1516,جريدة,newspaper,noun,ج ر د,1216998,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1517,أبرز,more; most prominent,adj,ب ر ز,1214328,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1518,معدات,equipment; material,noun,ع د د,1212726,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1519,حضر,attend; appear,verb,ح ض ر,1211462,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1520,بنية,intention; purpose; desire,noun,,1210857,17,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1521,مورد,source; resource,noun,,1207971,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1522,مشهد,view; panorama; spectacle,noun,ش ه د,1207883,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1523,قبول,admission; acceptance,noun,ق ب ل,1195959,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1524,مصنع,factory; industrial plant,noun,ص ن ع,1194470,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1525,جامعي,university,adj,ج م ع,1194423,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1526,مقطع,section; selection; excerpt,noun,ق ط ع,1193732,24,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1527,تسويق,marketing,noun,,1190012,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1528,وادي,wadi; valley,noun,,1186785,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1529,رضي,be pleased; agree; approve,verb,,1186601,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1530,حشرة,insect; vermin,noun,ح ش ر,1185886,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1531,مسيحي,Christian,adj,م س ح,1182242,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1532,موسيقى,music,noun,,1176822,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1533,مثال,example; model,noun,م ث ل,1176111,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1534,تحمل,carry; bear; transport,verb,ح م ل,1173318,5,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1535,متوقع,expected; anticipated,adj,,1171889,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1536,سيما,especially,adv,,1168501,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1537,بسيط,simple; plain,noun,ب س ط,1162553,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1538,قضى,execute; perform; decree,verb,,1162368,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1539,عدو,enemy,noun,,1161143,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1540,زعيم,leader; head of state,noun,ز ع م,1160645,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1541,حجر,stone,noun,ح ج ر,1154390,24,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1542,مبدأ,principles; bases,noun,,1154068,5,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1543,تحضير,preparation; production,noun,ح ض ر,1153715,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1544,ضابط,officer,noun,ض ب ط,1150177,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1545,حج,pilgrimage; Haj,noun,ح ج ج,1149624,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1546,شكر,thankfulness; thanks,noun,ش ك ر,1148352,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1547,آبد,non-migratory; sedentary,noun,,1148318,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1548,مساعد,assistant; supporter,noun,س ع د,1147054,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1549,تسبب,be caused; be produced; be provoked,verb,س ب ب,1146270,5,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1550,متحدث,spokesman; speaker,noun,ح د ث,1144878,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1551,صادر,issued; published,adj,ص د ر,1144535,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1552,معتمد,authorized; dependable; accredited,adj,ع م د,1143796,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1553,نكتة,jokes; wisecracks,noun,ن ك ت,1143366,15,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1554,فكري,intellectual; mental; spiritual,adj,ف ك ر,1142451,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1555,إمكانية,possibility; capability,noun,م ك ن,1142419,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1556,بلا,without,prep,,1141272,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1557,اللهم,truly; certainly; oh God!; dear God,noun,,1140565,9,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1558,مالك,money; capital; funds,noun,,1135386,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1559,غرض,goal; purpose; objective,noun,غ ر ض,1133547,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1560,كمية,quantity; amount,noun,ك م م,1132677,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1561,طول,length; height,noun,,1132383,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1562,مولد,birthday,noun,,1132218,30,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1563,ذاتي,autonomous; self,adj,,1132152,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1564,خليجي,(Persian) Gulf,adj,خ ل ج,1130927,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1565,زراعي,agricultural; farming,adj,ز ر ع,1129980,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1566,مديرية,administration; management,noun,,1129192,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1567,مراقبة,surveillance; monitoring,noun,ر ق ب,1127401,21,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1568,تمويل,financing; funding; backing,noun,,1125754,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1569,مقدس,holy; sacred,adj,ق د س,1124691,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1570,جبهة,front; front line,noun,ج ب ه,1120105,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1571,توقيع,signing,noun,,1119909,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1572,أجمل,more; most beautiful,noun,ج م ل,1116152,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1573,صعيد,level; plane,noun,ص ع د,1113643,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1574,مسار,path; route,noun,,1113516,16,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1575,إقليم,region; district,noun,ق ل م,1111587,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1576,سهولة,ease; facility,noun,س ه ل,1108813,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1577,صار,become; begin to,verb,,1106671,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1578,نقد,criticism; critique,noun,ن ق د,1103914,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1579,عادي,ordinary; regular; normal,adj,,1103365,7,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1580,طرح,suggestion; proposal,noun,ط ر ح,1102897,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1581,مبكر,early,adj,ب ك ر,1101304,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1582,إيطالي,Italian,adj,,1100183,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1583,تجمع,gathering; assembly,noun,ج م ع,1098313,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1584,محاضرة,lecture,noun,ح ض ر,1098160,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1585,ثنائي,bilateral; dual,adj,,1098014,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1586,بث,broadcast; transmission; dissemination,noun,ب ث ث,1097083,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1587,أشرف,oversee; supervise; manage,verb,ش ر ف,1095906,5,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1588,آلية,automation; mechanism,noun,,1094454,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1589,مجمع,assembly; academy,noun,ج م ع,1090246,24,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1590,مفاوضة,negotiation; discussion,noun,,1089002,14,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1591,أتاح,grant; provide,verb,,1088905,2,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1592,ظهور,appearance; emergence,noun,ظ ه ر,1088253,6,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1593,وسيط,mediator; go-between; intermediary,noun,,1087512,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1594,حلو,be sweet; be pleasant,verb,,1086028,1,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1595,أخضر,green,noun,خ ض ر,1084119,4,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
1596,جلب,acquisition; arraignment,noun,ج ل ب,1083058,12,CAMeL MSA frequency lists + CALIMA-MSA MLE lexical ranking; exact CALIMA stem semantics
