rank,front,meaning,pos,root,frequency,calima_raw_meaning,kaikki_meaning,semantic_basis,source
1267,مطعم,restaurant,noun,ط ع م,1533540,restaurant,food; restaurant; active participle of طَعَّمَ (ṭaʕʕama),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1268,مهني,professional; vocational,adj,م ه ن,1533479,professional;vocational;occupational,"professional, vocational",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1269,تحليل,analysis,noun,ح ل ل,1526929,analysis;dissolution,analysis; absolution; verbal noun of حَلَّلَ (ḥallala) (form II),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1270,والد,father,noun,,1525104,father,father; parent; paternal relatives,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1271,باحث,researcher,noun,ب ح ث,1524035,scholar;researcher,researcher; to discuss,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1272,توزيع,distribution,noun,,1520166,distribution,"delivery; distribution; portioning, division",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1273,إنجاز,achievement,noun,ن ج ز,1518797,accomplishment;achievement;success,achievement; verbal noun of أَنْجَزَ (ʔanjaza) (form IV),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1274,ملبس,clothes; dress,noun,ل ب س,1511840,clothes;dress;attire,"clothes, clothing; garment, dress, suit",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1275,نبأ,news item,noun,,1506284,news item;report,"to bark; news, tidings, story; to revert, to turn away",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1276,أردني,Jordanian,adj,,1505644,Jordanian,Jordanian,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1277,إقليمي,regional,adj,ق ل م,1501263,regional;territorial,regional; provincial,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1278,معالجة,treatment,noun,ع ل ج,1492510,treatment;therapy;processing,medical treatment; solving (a problem); verbal noun of عَالَجَ (ʕālaja),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1279,مرشح,candidate; nominee,noun,ر ش ح,1490679,candidate;nominee;nominated,"candidate (in an election), nominee",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1280,أهلي,civil,adj,,1488331,civil;domestic;family,"civil; local; domesticated, tame",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1281,شرح,commentary,noun,ش ر ح,1486175,explanation;commentary,to expand; commentary; to explain,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1282,قلم,pencil,noun,ق ل م,1484737,pencil;pen,"style; pencil; item, entry",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1283,داخلي,domestic,adj,د خ ل,1482164,internal;domestic,inner; private; domestic,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1284,قصيدة,poem,noun,ق ص د,1481154,poem,poem,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1285,صحافة,journalism; press,noun,ص ح ف,1479729,journalism;press,"press; journalism, news business",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1286,متعلق,attached; concerning,adj,ع ل ق,1475041,attached;connected;concerning,"related to, concerning, relevant; attached to (attached to someone fondly); active participle of تَعَلَّقَ (taʕallaqa)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1287,عبارة,expression,noun,ع ب ر,1472979,expression,ferry; expression; verbal noun of عَبَرَ (ʕabara) (form I),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1288,خيمة,tents,noun,,1467160,tents,tent; pavilion; tarpaulin,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1289,أسود,black,noun,,1455952,black,black; wiser; wisest; elative degree of سَيِّد (sayyid):,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1290,تقييم,evaluation; assessment,noun,,1447422,evaluation;assessment;rating,"evaluation, assessment, appraisal; verbal noun of قَيَّمَ (qayyama) (form II)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1291,بطاقة,card,noun,ب ط ق,1443031,card;tag;ballot,card; letter; ticket,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1292,وجهة,side; direction,noun,,1434511,side;part;direction,"side, direction; viewpoint, point of view; destination, endpoint of a journey or trip",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1293,سلسلة,chain; series,noun,س ل س ل,1430449,chain;series,chain; series; a kind of rope or cord,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1294,جندي,soldier,noun,ج ن د,1429938,soldier;private,pawn; soldier,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1295,فقه,(Islamic) jurisprudence,noun,ف ق ه,1429278,(Islamic) jurisprudence;doctrine,"fiqh, jurisprudence; understanding, insight; to understand, to comprehend",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1296,فساد,corruption,noun,ف س د,1428543,corruption,"corruption; depravity, wickedness; rottenness, spoiledness",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1297,تنسيق,coordination,noun,ن س ق,1427100,coordination;steering;systematic arrangement,"coordinate; coordination, harmonization; verbal noun of نَسَّقَ (nassaqa) (form II)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1298,أجرى,happen; flow,verb,,1420054,occur;happen;take place;flow,"to grant; to impose; to let flow, to let happen",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1299,توظيف,employment,noun,,1414075,usage;making use of;employment,employment; investment; appointment,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1300,تحالف,alliance,noun,ح ل ف,1409399,alliance,alliance; to ally with one another; verbal noun of تَحَالَفَ (taḥālafa) (form VI),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1301,غاز,gas,noun,,1402364,gas,"gas; invasive; warrior, ghazi",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1302,وفاة,death,noun,,1400900,death,death,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1303,مناقشة,argument; debate,noun,ن ق ش,1398386,argument;debate,"opposition, objection, protest; argument, controversy, dispute, debate, discussion; verbal noun of نَاقَشَ (nāqaša, “to argue”) (form III)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1304,منصب,post; position; office,noun,ن ص ب,1397597,post;position;office,"post, position, office",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1305,إنساني,human,adj,,1396204,human;humane,human; philanthropist,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1306,جيل,epoch,noun,,1395912,generation;epoch,"century; nation, ethnic group; age, era, epoch, period",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1307,برلمان,parliament,noun,,1395802,parliament,parliament; diet (council of leaders),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1308,واسطة,means,noun,,1387660,means;device,"expedient; intermediary; agent, means, medium",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1309,مستقل,independent; autonomous,adj,ق ل ل,1383042,independent;autonomous,"autonomous; independent; separate, distinct, particular",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1310,عنف,violence; force,noun,ع ن ف,1382537,violence;force,"violence, force; harshness, severity; violence (“action which causes destruction, pain, or suffering”)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1311,دستور,constitution,noun,د س ت ر,1377712,constitution;statute,model; action rule; constitution,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1312,مشاهد,viewer; spectator,noun,ش ه د,1373977,viewer;spectator;witness,"visible, observable; spectator, viewer, onlooker",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1313,هام,important; significant,adj,ه م م,1367729,important;significant,"serious; interesting; important, significant",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1314,نموذج,model,noun,,1365944,sample;model,"model, outline; model, example, exemplar",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1315,نووي,nuclear; atomic,adj,,1364091,nuclear;atomic;nucleic,"atomic, nuclear",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1316,قصير,short; small,adj,ق ص ر,1363440,short;small,short; small,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1317,معدل,average; rate,noun,ع د ل,1363258,average;rate;mean,rate; average,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1318,سوداني,Sudanese,adj,,1359845,Sudanese,Sudanese,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1319,نقص,lack,noun,ن ق ص,1358162,decrease;loss;deficiency;lack,lack; reduction; to be reduced by (an amount),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1320,تلقى,receive,verb,,1357770,receive,"to receive, to obtain",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1321,معركة,battle,noun,ع ر ك,1355471,battle;campaign,battle,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1322,تلفزيون,television,noun,,1351178,television,"television, TV",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1323,إيمان,belief; faith,noun,,1351087,belief;faith,"belief, faith; a female given name; verbal noun of آمَنَ (ʔāmana) (form IV)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1324,إشراف,supervision,noun,ش ر ف,1351075,supervision;direction;patronage,"closeness, nearness; management, supervision, oversight, control; verbal noun of أَشْرَفَ (ʔašrafa) (form IV)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1325,نظم,arrange; organize; regulate,verb,ن ظ م,1350699,arrange;organize;regulate,"to tune (an instrument); to adjust, regulate, control; to organize, arrange, put in order",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1326,شرعية,legitimacy; legality,noun,ش ر ع,1349616,legitimacy;legality,"legitimacy; legality, lawfulness; feminine singular of شَرْعِيّ (šarʕiyy)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1327,توجيه,directing,noun,,1340429,directing;guiding;sending,"directing, pointing; verbal noun of وَجَّهَ (wajjaha) (form II)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1328,كويتي,Kuwaiti,adj,,1335364,Kuwaiti,Kuwaiti,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1329,أسلوب,style; method; manner,noun,س ل ب,1330131,style;method;manner,"conduct; manner of speaking or writing; method, manner, mode, style, technique",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1330,تيار,current; stream,noun,,1328970,current;stream,"electric current; stream, flow, current; a trend, movement (e.g. in politics)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1331,ممارسة,practice; exercise,noun,م ر س,1326636,practice;pursuit;exercise,"exercise, practice; verbal noun of مَارَسَ (mārasa) (form III)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1332,مقتل,murder; killing,noun,ق ت ل,1326303,murder;killing,"active participle of قَتَّلَ (qattala); passive participle of قَتَّلَ (qattala); verbal noun of قَتَلَ (qatala): murder, killing",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1333,وثيقة,document,noun,,1326286,document;charter,"document, written credential, attestation",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1334,سكري,sugar,noun,س ك ر,1315875,sugar,"sugary; saccharine, having to do with sugar; diabetes (also مَرْض سُكَّرِيّ (marḍ sukkariyy) and دَاء سُكَّرِيّ (dāʔ sukkariyy))",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1335,فور,immediately,noun,,1314094,immediately;at once,"immediately at, immediately after; verbal noun of فَارَ (fāra) (form I)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1336,تطور,progress,noun,,1313279,development;progress,evolution; to make progress; verbal noun of تَطَوَّرَ (taṭawwara) (form V),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1337,وكيل,representative; agent,noun,,1307679,representative;agent,"agent, representative, envoy",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1338,ورشة,workshops,noun,,1305228,workshops,workshop (small manufacturing room); workshop (intensive course of education),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1339,متهم,accused; suspected,noun,,1303706,accused;indicted;suspected,"defendant, the accused; accused, charged, suspected",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1340,متعدد,numerous,adj,ع د د,1302785,multi-;poly-;manifold;numerous,varied; multiple; numerous,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1341,كنيسة,church,noun,ك ن س,1299391,church;temple,church (building and organization); synagogue (building and organization); a kind of palanquin or litter in which the rider conceals himself,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1342,رائد,pioneer,noun,,1293251,leader;explorer;pioneer,major; pioneer; a surname,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1343,محافظ,conservative,noun,ح ف ظ,1292669,governor;conservative,preserving; conservative; protective; guarding,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1344,تونسي,Tunisian,adj,ت ن س,1289427,Tunisian,"Tunisian (of, from or relating to Tunisia)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1345,مسيرة,march,noun,,1283321,march;parade,a march; departure; setting forth,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1346,أصدر,issue; publish,verb,ص د ر,1280624,issue;publish,"to issue; to publish; to utter, to express",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1347,هندي,Indian,adj,ه ن د,1280235,Indian,Indian (from India); Hindi (in the Hindi language),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1348,دواء,remedy; medication,noun,,1280166,remedy;medication,"remedy, medicine, medication, drug",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1349,توقع,expect,verb,,1279731,expect;count on;anticipate,hope; expectation; anticipation,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1350,خسارة,loss; damage,noun,خ س ر,1278614,loss;damage,"loss; damage; abortion, miscarriage",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1351,حدد,define,verb,ح د د,1277000,determine;define;specify,to define; to confine; to sharpen,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1352,بوابة,gate; portal,noun,,1273031,gate;portal,gate; portal,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1353,مؤشر,indicator; index,noun,,1272108,indicator;index;gage,"indicator, index, pointer",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1354,دنيا,world,noun,,1261543,world;near;low;inferior,"world; feminine singular of أَدْنَى (ʔadnā, “lower”)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1355,منور,bright,adj,,1260686,shining;bright,"hatch, loophole, peephole; bright, illuminated, lit up",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1356,تعبير,expression,noun,ع ب ر,1259888,expression,expression; verbal noun of عَبَّرَ (ʕabbara) (form II),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1357,لواء,major general; brigade,noun,,1259871,major general;brigade,brigade; wryneck; major general,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1358,مبنى,building,noun,,1259749,building;structure,building,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1359,إيجابي,positive; affirmative,adj,,1257309,positive;affirmative,"positive, affirmative",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1360,بات,become,verb,,1256806,become;remain,"categorical; definite, definitive; to become, to have gotten into",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1361,قاعة,hall; corridor,noun,,1255342,hall;corridor;large room,hall; vestibule; corridor,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1362,قمر,satellite,noun,ق م ر,1252318,satellite,moon; satellite; to gamble,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1363,قادر,capable; able,adj,ق د ر,1239072,capable;able,"powerful; capable, able; efficient, talented",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1364,تمنى,desire; wish for,verb,,1232727,desire;wish for;hope,"to lie; to read; to wish for, to desire",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1365,ضحية,victim,noun,,1231122,victim,victim; sacrifice,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1366,شاشة,screen,noun,,1231093,screen,"screen, monitor, display",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1367,إستراتيجي,strategic,adj,,1226760,strategic,strategic,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1368,تراث,heritage; inheritance,noun,ت ر ث,1218351,heritage;inheritance,"heritage (inherited cultural values or achievements; traditions); inheritance, hereditary estate, bequeathed or ancestral property; that which is received from another, not limited to, but especially upon their death",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1369,جريدة,newspaper,noun,ج ر د,1216998,newspaper,"newspaper; detachment of horsemen; singulative of جَرِيد (jarīd, “defoliated palm”)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1370,أبرز,more; most prominent,adj,ب ر ز,1214328,more;most prominent,"to exhibit, present, show; more prominent; most prominent; to publish, bring out (a book)",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1371,معدات,equipment,noun,ع د د,1212726,equipment;material,"equipment; gear, appliances, gadgets",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1372,حضر,attend,verb,ح ض ر,1211462,attend;appear,"to be present, to attend; to prepare, to make ready; to be settled, to be sedentary",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1373,بنية,structure,noun,,1210857,structure;make-up,edifice; little daughter; structure of the body,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1374,مورد,resource,noun,,1207971,source;resource,"resource, a place or means whereby one gets access to material or immaterial goods",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1375,قبول,acceptance,noun,ق ب ل,1195959,admission;acceptance,"beauty; acceptance; south wind, east wind",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1376,مصنع,factory; industrial plant,noun,ص ن ع,1194470,factory;industrial plant,factory; plant; passive participle of صَنَّع (ṣannaʕ),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1377,تسويق,marketing,noun,,1190012,marketing,marketing; cattle-driving; verbal noun of سَوَّقَ (sawwaqa) (form II),exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1378,رضي,be pleased,verb,,1186601,be pleased;agree;approve,to desire; to be pleased; to resign oneself,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1379,حشرة,insect,noun,ح ش ر,1185886,insect;vermin,"insect; small creeping animal, reptile",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1380,مسيحي,Christian,adj,م س ح,1182242,Christian,Christian,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1381,موسيقى,music,noun,,1176822,music,music,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1382,تحمل,make carry,verb,ح م ل,1173318,charge (with responsibility);blame;impose;make carry,to make debts; to take up (a burden); to break up a camp and depart,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1383,بسيط,simple,noun,ب س ط,1162553,simple;plain,"easy, simple; wide, extended, spread out",exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1384,عدو,enemy,noun,,1161143,enemy,enemy; foe,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
1385,زعيم,leader,noun,ز ع م,1160645,leader;head of state,leader,exact CALIMA sense fragment + Kaikki agreement,CAMeL MSA frequency ranking; exact CALIMA morphology; Kaikki/Wiktextract independent semantics
