frequency,frequency_source,front,reason
1179,CLE Urdu top-5000 frequency list,مابین,no_direct_mapping_and_not_indowordnet_lemma
1177,CLE Urdu top-5000 frequency list,امی,no_direct_mapping_and_not_indowordnet_lemma
1177,CLE Urdu top-5000 frequency list,چلانے,no_direct_mapping_and_not_indowordnet_lemma
1174,CLE Urdu top-5000 frequency list,اشفاق,no_direct_mapping_and_not_indowordnet_lemma
1174,CLE Urdu top-5000 frequency list,پڑتی,no_direct_mapping_and_not_indowordnet_lemma
1173,CLE Urdu top-5000 frequency list,کروا,no_direct_mapping_and_not_indowordnet_lemma
1172,CLE Urdu top-5000 frequency list,اراکین,no_direct_mapping_and_not_indowordnet_lemma
1172,CLE Urdu top-5000 frequency list,سمیع,no_direct_mapping_and_not_indowordnet_lemma
1170,CLE Urdu top-5000 frequency list,جاں,no_direct_mapping_and_not_indowordnet_lemma
1170,CLE Urdu top-5000 frequency list,کوششیں,no_direct_mapping_and_not_indowordnet_lemma
1169,CLE Urdu top-5000 frequency list,ظہیر,no_direct_mapping_and_not_indowordnet_lemma
1166,CLE Urdu top-5000 frequency list,کمرے,no_direct_mapping_and_not_indowordnet_lemma
1162,CLE Urdu top-5000 frequency list,واٹر,no_direct_mapping_and_not_indowordnet_lemma
1162,CLE Urdu top-5000 frequency list,ڈبلیو,no_direct_mapping_and_not_indowordnet_lemma
1159,CLE Urdu top-5000 frequency list,غازی,fallback_no_two_source_semantic_agreement
1153,CLE Urdu top-5000 frequency list,نشاندہی,no_direct_mapping_and_not_indowordnet_lemma
1148,CLE Urdu top-5000 frequency list,مہینے,no_direct_mapping_and_not_indowordnet_lemma
1146,CLE Urdu top-5000 frequency list,اخبارات,no_direct_mapping_and_not_indowordnet_lemma
1146,CLE Urdu top-5000 frequency list,کتابیں,no_direct_mapping_and_not_indowordnet_lemma
1144,CLE Urdu top-5000 frequency list,لیتی,no_direct_mapping_and_not_indowordnet_lemma
1143,CLE Urdu top-5000 frequency list,لکہ,no_direct_mapping_and_not_indowordnet_lemma
1139,CLE Urdu top-5000 frequency list,چلتا,no_direct_mapping_and_not_indowordnet_lemma
1138,CLE Urdu top-5000 frequency list,نعت,no_direct_mapping_and_not_indowordnet_lemma
1137,CLE Urdu top-5000 frequency list,اختیارات,no_direct_mapping_and_not_indowordnet_lemma
1137,CLE Urdu top-5000 frequency list,اضلاع,no_direct_mapping_and_not_indowordnet_lemma
1135,CLE Urdu top-5000 frequency list,اک,no_direct_mapping_and_not_indowordnet_lemma
1135,CLE Urdu top-5000 frequency list,بنیادوں,no_direct_mapping_and_not_indowordnet_lemma
1134,CLE Urdu top-5000 frequency list,حصوں,no_direct_mapping_and_not_indowordnet_lemma
1133,CLE Urdu top-5000 frequency list,افادہ,no_direct_mapping_and_not_indowordnet_lemma
1117,CLE Urdu top-5000 frequency list,خلیل,no_direct_mapping_and_not_indowordnet_lemma
1114,CLE Urdu top-5000 frequency list,گڑہ,no_direct_mapping_and_not_indowordnet_lemma
1113,CLE Urdu top-5000 frequency list,امجد,no_direct_mapping_and_not_indowordnet_lemma
1113,CLE Urdu top-5000 frequency list,انفرادی,no_direct_mapping_and_not_indowordnet_lemma
1111,CLE Urdu top-5000 frequency list,چیزوں,no_direct_mapping_and_not_indowordnet_lemma
1110,CLE Urdu top-5000 frequency list,کہتا,no_direct_mapping_and_not_indowordnet_lemma
1106,CLE Urdu top-5000 frequency list,لطیف,no_direct_mapping_and_not_indowordnet_lemma
1104,CLE Urdu top-5000 frequency list,آرمی,no_direct_mapping_and_not_indowordnet_lemma
1102,CLE Urdu top-5000 frequency list,دانش,no_direct_mapping_and_not_indowordnet_lemma
1099,CLE Urdu top-5000 frequency list,ذوالفقار,no_direct_mapping_and_not_indowordnet_lemma
1097,CLE Urdu top-5000 frequency list,آنکہ,no_direct_mapping_and_not_indowordnet_lemma
1097,CLE Urdu top-5000 frequency list,مر,no_direct_mapping_and_not_indowordnet_lemma
1096,CLE Urdu top-5000 frequency list,بحران,no_direct_mapping_and_not_indowordnet_lemma
1092,CLE Urdu top-5000 frequency list,فرم,no_direct_mapping_and_not_indowordnet_lemma
1089,CLE Urdu top-5000 frequency list,جیتنے,no_direct_mapping_and_not_indowordnet_lemma
1089,CLE Urdu top-5000 frequency list,قرضے,no_direct_mapping_and_not_indowordnet_lemma
1086,CLE Urdu top-5000 frequency list,چاہیں,no_direct_mapping_and_not_indowordnet_lemma
1086,CLE Urdu top-5000 frequency list,زخمیوں,no_direct_mapping_and_not_indowordnet_lemma
1086,CLE Urdu top-5000 frequency list,سینکڑوں,fallback_no_two_source_semantic_agreement
1085,CLE Urdu top-5000 frequency list,حبیب,no_direct_mapping_and_not_indowordnet_lemma
1085,CLE Urdu top-5000 frequency list,قرارداد,no_direct_mapping_and_not_indowordnet_lemma
1084,CLE Urdu top-5000 frequency list,بہیجا,no_direct_mapping_and_not_indowordnet_lemma
1084,CLE Urdu top-5000 frequency list,فرماتے,no_direct_mapping_and_not_indowordnet_lemma
1081,CLE Urdu top-5000 frequency list,گنگولی,no_direct_mapping_and_not_indowordnet_lemma
1080,CLE Urdu top-5000 frequency list,شہزاد,no_direct_mapping_and_not_indowordnet_lemma
1078,CLE Urdu top-5000 frequency list,آراء,no_direct_mapping_and_not_indowordnet_lemma
1077,CLE Urdu top-5000 frequency list,حامد,no_direct_mapping_and_not_indowordnet_lemma
1075,CLE Urdu top-5000 frequency list,کہول,no_direct_mapping_and_not_indowordnet_lemma
1074,CLE Urdu top-5000 frequency list,اقسام,no_direct_mapping_and_not_indowordnet_lemma
1074,CLE Urdu top-5000 frequency list,تجاویز,no_direct_mapping_and_not_indowordnet_lemma
1074,CLE Urdu top-5000 frequency list,رفت,no_direct_mapping_and_not_indowordnet_lemma
1072,CLE Urdu top-5000 frequency list,بڑہنے,no_direct_mapping_and_not_indowordnet_lemma
1070,CLE Urdu top-5000 frequency list,برآمدات,no_direct_mapping_and_not_indowordnet_lemma
1068,CLE Urdu top-5000 frequency list,گزار,no_direct_mapping_and_not_indowordnet_lemma
1066,CLE Urdu top-5000 frequency list,جعفری,no_direct_mapping_and_not_indowordnet_lemma
1066,CLE Urdu top-5000 frequency list,کہیلا,no_direct_mapping_and_not_indowordnet_lemma
1065,CLE Urdu top-5000 frequency list,اعتراف,no_direct_mapping_and_not_indowordnet_lemma
1065,CLE Urdu top-5000 frequency list,بچا,no_direct_mapping_and_not_indowordnet_lemma
1064,CLE Urdu top-5000 frequency list,پاکستانیوں,no_direct_mapping_and_not_indowordnet_lemma
1062,CLE Urdu top-5000 frequency list,حتمی,no_direct_mapping_and_not_indowordnet_lemma
1060,CLE Urdu top-5000 frequency list,جانوروں,no_direct_mapping_and_not_indowordnet_lemma
1058,CLE Urdu top-5000 frequency list,بین,no_direct_mapping_and_not_indowordnet_lemma
1058,CLE Urdu top-5000 frequency list,صدیق,no_direct_mapping_and_not_indowordnet_lemma
1057,CLE Urdu top-5000 frequency list,سرائیکی,no_direct_mapping_and_not_indowordnet_lemma
1056,CLE Urdu top-5000 frequency list,تبدیلیاں,no_direct_mapping_and_not_indowordnet_lemma
1055,CLE Urdu top-5000 frequency list,بنتی,no_direct_mapping_and_not_indowordnet_lemma
1055,CLE Urdu top-5000 frequency list,سمجہنے,no_direct_mapping_and_not_indowordnet_lemma
1053,CLE Urdu top-5000 frequency list,تحسین,no_direct_mapping_and_not_indowordnet_lemma
1053,CLE Urdu top-5000 frequency list,شہباز,no_direct_mapping_and_not_indowordnet_lemma
1047,CLE Urdu top-5000 frequency list,چیلنج,no_direct_mapping_and_not_indowordnet_lemma
1047,CLE Urdu top-5000 frequency list,حسب,no_direct_mapping_and_not_indowordnet_lemma
1043,CLE Urdu top-5000 frequency list,جذبے,no_direct_mapping_and_not_indowordnet_lemma
1043,CLE Urdu top-5000 frequency list,گراؤنڈ,no_direct_mapping_and_not_indowordnet_lemma
1043,CLE Urdu top-5000 frequency list,گزرنے,no_direct_mapping_and_not_indowordnet_lemma
1042,CLE Urdu top-5000 frequency list,جیو,no_direct_mapping_and_not_indowordnet_lemma
1042,CLE Urdu top-5000 frequency list,ٹیمیں,no_direct_mapping_and_not_indowordnet_lemma
1041,CLE Urdu top-5000 frequency list,فاسٹ,no_direct_mapping_and_not_indowordnet_lemma
1040,CLE Urdu top-5000 frequency list,امکانات,no_direct_mapping_and_not_indowordnet_lemma
1037,CLE Urdu top-5000 frequency list,پر غور,no_direct_mapping_and_not_indowordnet_lemma
1036,CLE Urdu top-5000 frequency list,لگتی,no_direct_mapping_and_not_indowordnet_lemma
1035,CLE Urdu top-5000 frequency list,کتابوں,no_direct_mapping_and_not_indowordnet_lemma
1035,CLE Urdu top-5000 frequency list,مارشل,no_direct_mapping_and_not_indowordnet_lemma
1032,CLE Urdu top-5000 frequency list,شو,no_direct_mapping_and_not_indowordnet_lemma
1032,CLE Urdu top-5000 frequency list,قارئین,no_direct_mapping_and_not_indowordnet_lemma
1028,CLE Urdu top-5000 frequency list,مضامین,no_direct_mapping_and_not_indowordnet_lemma
1026,CLE Urdu top-5000 frequency list,بہٹی,no_direct_mapping_and_not_indowordnet_lemma
1026,CLE Urdu top-5000 frequency list,سکولوں,no_direct_mapping_and_not_indowordnet_lemma
1025,CLE Urdu top-5000 frequency list,سہولیات,no_direct_mapping_and_not_indowordnet_lemma
1023,CLE Urdu top-5000 frequency list,لگنے,no_direct_mapping_and_not_indowordnet_lemma
1017,CLE Urdu top-5000 frequency list,لڑکے,no_direct_mapping_and_not_indowordnet_lemma
1016,CLE Urdu top-5000 frequency list,نذیر,no_direct_mapping_and_not_indowordnet_lemma
1015,CLE Urdu top-5000 frequency list,روایات,no_direct_mapping_and_not_indowordnet_lemma
1014,CLE Urdu top-5000 frequency list,تجربات,no_direct_mapping_and_not_indowordnet_lemma
1013,CLE Urdu top-5000 frequency list,خطے,no_direct_mapping_and_not_indowordnet_lemma
1013,CLE Urdu top-5000 frequency list,کیچ,fallback_no_two_source_semantic_agreement
1012,CLE Urdu top-5000 frequency list,ہیڈ,no_direct_mapping_and_not_indowordnet_lemma
1011,CLE Urdu top-5000 frequency list,گہریلو,no_direct_mapping_and_not_indowordnet_lemma
1010,CLE Urdu top-5000 frequency list,تمہارے,no_direct_mapping_and_not_indowordnet_lemma
1010,CLE Urdu top-5000 frequency list,سٹیڈیم,no_direct_mapping_and_not_indowordnet_lemma
1008,CLE Urdu top-5000 frequency list,بلاک,fallback_no_two_source_semantic_agreement
1007,CLE Urdu top-5000 frequency list,امت,no_direct_mapping_and_not_indowordnet_lemma
1006,CLE Urdu top-5000 frequency list,چہوٹا,no_direct_mapping_and_not_indowordnet_lemma
1006,CLE Urdu top-5000 frequency list,خراج,no_direct_mapping_and_not_indowordnet_lemma
1006,CLE Urdu top-5000 frequency list,مارے,no_direct_mapping_and_not_indowordnet_lemma
1000,CLE Urdu top-5000 frequency list,خاصی,no_direct_mapping_and_not_indowordnet_lemma
1000,CLE Urdu top-5000 frequency list,نمائندوں,no_direct_mapping_and_not_indowordnet_lemma
997,CLE Urdu top-5000 frequency list,کابینہ,no_direct_mapping_and_not_indowordnet_lemma
997,CLE Urdu top-5000 frequency list,مولا,no_direct_mapping_and_not_indowordnet_lemma
996,CLE Urdu top-5000 frequency list,منیر,no_direct_mapping_and_not_indowordnet_lemma
994,CLE Urdu top-5000 frequency list,ملت,fallback_no_two_source_semantic_agreement
994,CLE Urdu top-5000 frequency list,ملیں,no_direct_mapping_and_not_indowordnet_lemma
991,CLE Urdu top-5000 frequency list,سہولتوں,no_direct_mapping_and_not_indowordnet_lemma
990,CLE Urdu top-5000 frequency list,جونیئر,no_direct_mapping_and_not_indowordnet_lemma
989,CLE Urdu top-5000 frequency list,نعیم,no_direct_mapping_and_not_indowordnet_lemma
983,CLE Urdu top-5000 frequency list,اتہارٹی,no_direct_mapping_and_not_indowordnet_lemma
983,CLE Urdu top-5000 frequency list,ایجوکیشن,no_direct_mapping_and_not_indowordnet_lemma
982,CLE Urdu top-5000 frequency list,جٹ,no_direct_mapping_and_not_indowordnet_lemma
981,CLE Urdu top-5000 frequency list,ایگزیکٹو,no_direct_mapping_and_not_indowordnet_lemma
981,CLE Urdu top-5000 frequency list,سنٹر,no_direct_mapping_and_not_indowordnet_lemma
980,CLE Urdu top-5000 frequency list,ہتہیاروں,no_direct_mapping_and_not_indowordnet_lemma
979,CLE Urdu top-5000 frequency list,لکہنے,no_direct_mapping_and_not_indowordnet_lemma
977,CLE Urdu top-5000 frequency list,گاہ,no_direct_mapping_and_not_indowordnet_lemma
975,CLE Urdu top-5000 frequency list,گیت,no_direct_mapping_and_not_indowordnet_lemma
975,CLE Urdu top-5000 frequency list,ڈویژن,no_direct_mapping_and_not_indowordnet_lemma
974,CLE Urdu top-5000 frequency list,لڑکیوں,no_direct_mapping_and_not_indowordnet_lemma
974,CLE Urdu top-5000 frequency list,ملتے,no_direct_mapping_and_not_indowordnet_lemma
970,CLE Urdu top-5000 frequency list,سننے,no_direct_mapping_and_not_indowordnet_lemma
967,CLE Urdu top-5000 frequency list,رقوم,no_direct_mapping_and_not_indowordnet_lemma
966,CLE Urdu top-5000 frequency list,بہوک,no_direct_mapping_and_not_indowordnet_lemma
966,CLE Urdu top-5000 frequency list,سندہی,no_direct_mapping_and_not_indowordnet_lemma
966,CLE Urdu top-5000 frequency list,کارروائیوں,no_direct_mapping_and_not_indowordnet_lemma
965,CLE Urdu top-5000 frequency list,پالیسیوں,no_direct_mapping_and_not_indowordnet_lemma
964,CLE Urdu top-5000 frequency list,ہاشمی,no_direct_mapping_and_not_indowordnet_lemma
962,CLE Urdu top-5000 frequency list,اوور,no_direct_mapping_and_not_indowordnet_lemma
961,CLE Urdu top-5000 frequency list,گاڑیاں,no_direct_mapping_and_not_indowordnet_lemma
959,CLE Urdu top-5000 frequency list,بیٹسمین,no_direct_mapping_and_not_indowordnet_lemma
959,CLE Urdu top-5000 frequency list,پہیل,no_direct_mapping_and_not_indowordnet_lemma
957,CLE Urdu top-5000 frequency list,دروازے,no_direct_mapping_and_not_indowordnet_lemma
957,CLE Urdu top-5000 frequency list,گیمز,no_direct_mapping_and_not_indowordnet_lemma
955,CLE Urdu top-5000 frequency list,سکیورٹی,no_direct_mapping_and_not_indowordnet_lemma
951,CLE Urdu top-5000 frequency list,پرفارمنس,no_direct_mapping_and_not_indowordnet_lemma
950,CLE Urdu top-5000 frequency list,لغاری,no_direct_mapping_and_not_indowordnet_lemma
949,CLE Urdu top-5000 frequency list,بنتا,no_direct_mapping_and_not_indowordnet_lemma
948,CLE Urdu top-5000 frequency list,شائقین,no_direct_mapping_and_not_indowordnet_lemma
945,CLE Urdu top-5000 frequency list,بتائی,no_direct_mapping_and_not_indowordnet_lemma
942,CLE Urdu top-5000 frequency list,بینکوں,no_direct_mapping_and_not_indowordnet_lemma
937,CLE Urdu top-5000 frequency list,آلات,no_direct_mapping_and_not_indowordnet_lemma
935,CLE Urdu top-5000 frequency list,بظاہر,no_direct_mapping_and_not_indowordnet_lemma
934,CLE Urdu top-5000 frequency list,حادثے,no_direct_mapping_and_not_indowordnet_lemma
932,CLE Urdu top-5000 frequency list,اصولوں,no_direct_mapping_and_not_indowordnet_lemma
932,CLE Urdu top-5000 frequency list,ساتہیوں,no_direct_mapping_and_not_indowordnet_lemma
931,CLE Urdu top-5000 frequency list,بانڈ,no_direct_mapping_and_not_indowordnet_lemma
929,CLE Urdu top-5000 frequency list,تقریبات,no_direct_mapping_and_not_indowordnet_lemma
924,CLE Urdu top-5000 frequency list,ازاں,no_direct_mapping_and_not_indowordnet_lemma
919,CLE Urdu top-5000 frequency list,خورشید,no_direct_mapping_and_not_indowordnet_lemma
914,CLE Urdu top-5000 frequency list,طبقے,no_direct_mapping_and_not_indowordnet_lemma
913,CLE Urdu top-5000 frequency list,عملے,no_direct_mapping_and_not_indowordnet_lemma
909,CLE Urdu top-5000 frequency list,اکمل,no_direct_mapping_and_not_indowordnet_lemma
908,CLE Urdu top-5000 frequency list,نسیم,no_direct_mapping_and_not_indowordnet_lemma
907,CLE Urdu top-5000 frequency list,ساجد,no_direct_mapping_and_not_indowordnet_lemma
907,CLE Urdu top-5000 frequency list,سجاد,no_direct_mapping_and_not_indowordnet_lemma
907,CLE Urdu top-5000 frequency list,منیجر,no_direct_mapping_and_not_indowordnet_lemma
903,CLE Urdu top-5000 frequency list,احکامات,no_direct_mapping_and_not_indowordnet_lemma
902,CLE Urdu top-5000 frequency list,اٹہانے,no_direct_mapping_and_not_indowordnet_lemma
902,CLE Urdu top-5000 frequency list,کاپٹر,no_direct_mapping_and_not_indowordnet_lemma
901,CLE Urdu top-5000 frequency list,لکہی,no_direct_mapping_and_not_indowordnet_lemma
898,CLE Urdu top-5000 frequency list,سرگرمیاں,no_direct_mapping_and_not_indowordnet_lemma
897,CLE Urdu top-5000 frequency list,بحق,no_direct_mapping_and_not_indowordnet_lemma
896,CLE Urdu top-5000 frequency list,تہیٹر,no_direct_mapping_and_not_indowordnet_lemma
896,CLE Urdu top-5000 frequency list,حقائق,no_direct_mapping_and_not_indowordnet_lemma
895,CLE Urdu top-5000 frequency list,میمن,no_direct_mapping_and_not_indowordnet_lemma
894,CLE Urdu top-5000 frequency list,بہ,no_direct_mapping_and_not_indowordnet_lemma
894,CLE Urdu top-5000 frequency list,پینل,no_direct_mapping_and_not_indowordnet_lemma
894,CLE Urdu top-5000 frequency list,قرضوں,no_direct_mapping_and_not_indowordnet_lemma
893,CLE Urdu top-5000 frequency list,تہوڑا,no_direct_mapping_and_not_indowordnet_lemma
892,CLE Urdu top-5000 frequency list,بگڑ,no_direct_mapping_and_not_indowordnet_lemma
892,CLE Urdu top-5000 frequency list,بہول,no_direct_mapping_and_not_indowordnet_lemma
892,CLE Urdu top-5000 frequency list,تہانہ,no_direct_mapping_and_not_indowordnet_lemma
891,CLE Urdu top-5000 frequency list,کنارے,no_direct_mapping_and_not_indowordnet_lemma
888,CLE Urdu top-5000 frequency list,منشیات,no_direct_mapping_and_not_indowordnet_lemma
887,CLE Urdu top-5000 frequency list,خاندانوں,no_direct_mapping_and_not_indowordnet_lemma
887,CLE Urdu top-5000 frequency list,سنائی,no_direct_mapping_and_not_indowordnet_lemma
887,CLE Urdu top-5000 frequency list,لکہے,no_direct_mapping_and_not_indowordnet_lemma
887,CLE Urdu top-5000 frequency list,مرحلہ,no_direct_mapping_and_not_indowordnet_lemma
887,CLE Urdu top-5000 frequency list,یکم,no_direct_mapping_and_not_indowordnet_lemma
885,CLE Urdu top-5000 frequency list,اسٹیٹ,no_direct_mapping_and_not_indowordnet_lemma
885,CLE Urdu top-5000 frequency list,مدینہ,no_direct_mapping_and_not_indowordnet_lemma
884,CLE Urdu top-5000 frequency list,گہڑی,no_direct_mapping_and_not_indowordnet_lemma
882,CLE Urdu top-5000 frequency list,نقوی,no_direct_mapping_and_not_indowordnet_lemma
875,CLE Urdu top-5000 frequency list,ہارون,no_direct_mapping_and_not_indowordnet_lemma
873,CLE Urdu top-5000 frequency list,سرمائے,no_direct_mapping_and_not_indowordnet_lemma
873,CLE Urdu top-5000 frequency list,مدنظر,no_direct_mapping_and_not_indowordnet_lemma
873,CLE Urdu top-5000 frequency list,ڈالنے,no_direct_mapping_and_not_indowordnet_lemma
871,CLE Urdu top-5000 frequency list,سرانجام,no_direct_mapping_and_not_indowordnet_lemma
870,CLE Urdu top-5000 frequency list,وزراء,no_direct_mapping_and_not_indowordnet_lemma
869,CLE Urdu top-5000 frequency list,خصوصیات,no_direct_mapping_and_not_indowordnet_lemma
869,CLE Urdu top-5000 frequency list,مندرجہ,no_direct_mapping_and_not_indowordnet_lemma
868,CLE Urdu top-5000 frequency list,گانے,no_direct_mapping_and_not_indowordnet_lemma
867,CLE Urdu top-5000 frequency list,علامات,no_direct_mapping_and_not_indowordnet_lemma
866,CLE Urdu top-5000 frequency list,رابطے,no_direct_mapping_and_not_indowordnet_lemma
865,CLE Urdu top-5000 frequency list,حلقے,no_direct_mapping_and_not_indowordnet_lemma
864,CLE Urdu top-5000 frequency list,علاوہ ازیں,no_direct_mapping_and_not_indowordnet_lemma
863,CLE Urdu top-5000 frequency list,مقامات,no_direct_mapping_and_not_indowordnet_lemma
860,CLE Urdu top-5000 frequency list,شکایات,no_direct_mapping_and_not_indowordnet_lemma
859,CLE Urdu top-5000 frequency list,معذرت,no_direct_mapping_and_not_indowordnet_lemma
856,CLE Urdu top-5000 frequency list,جہانگیر,no_direct_mapping_and_not_indowordnet_lemma
856,CLE Urdu top-5000 frequency list,وائس,no_direct_mapping_and_not_indowordnet_lemma
854,CLE Urdu top-5000 frequency list,رضوی,no_direct_mapping_and_not_indowordnet_lemma
853,CLE Urdu top-5000 frequency list,فاصلے,no_direct_mapping_and_not_indowordnet_lemma
851,CLE Urdu top-5000 frequency list,نکلنے,no_direct_mapping_and_not_indowordnet_lemma
849,CLE Urdu top-5000 frequency list,پہنچایا,no_direct_mapping_and_not_indowordnet_lemma
849,CLE Urdu top-5000 frequency list,چیمپئن,no_direct_mapping_and_not_indowordnet_lemma
849,CLE Urdu top-5000 frequency list,کرپشن,no_direct_mapping_and_not_indowordnet_lemma
847,CLE Urdu top-5000 frequency list,خدشہ,no_direct_mapping_and_not_indowordnet_lemma
847,CLE Urdu top-5000 frequency list,خیمے,no_direct_mapping_and_not_indowordnet_lemma
847,CLE Urdu top-5000 frequency list,مت,no_direct_mapping_and_not_indowordnet_lemma
846,CLE Urdu top-5000 frequency list,متوقع,no_direct_mapping_and_not_indowordnet_lemma
845,CLE Urdu top-5000 frequency list,اوپن,no_direct_mapping_and_not_indowordnet_lemma
845,CLE Urdu top-5000 frequency list,خطرے,no_direct_mapping_and_not_indowordnet_lemma
844,CLE Urdu top-5000 frequency list,میک,no_direct_mapping_and_not_indowordnet_lemma
844,CLE Urdu top-5000 frequency list,نشستوں,no_direct_mapping_and_not_indowordnet_lemma
844,CLE Urdu top-5000 frequency list,واپڈا,no_direct_mapping_and_not_indowordnet_lemma
843,CLE Urdu top-5000 frequency list,خطوط,no_direct_mapping_and_not_indowordnet_lemma
843,CLE Urdu top-5000 frequency list,وکٹوں,no_direct_mapping_and_not_indowordnet_lemma
842,CLE Urdu top-5000 frequency list,ادویہ,no_direct_mapping_and_not_indowordnet_lemma
840,CLE Urdu top-5000 frequency list,واقعے,no_direct_mapping_and_not_indowordnet_lemma
838,CLE Urdu top-5000 frequency list,نمائندے,no_direct_mapping_and_not_indowordnet_lemma
835,CLE Urdu top-5000 frequency list,بلاگ,no_direct_mapping_and_not_indowordnet_lemma
832,CLE Urdu top-5000 frequency list,خانے,no_direct_mapping_and_not_indowordnet_lemma
832,CLE Urdu top-5000 frequency list,خلائی,no_direct_mapping_and_not_indowordnet_lemma
832,CLE Urdu top-5000 frequency list,فنکاروں,no_direct_mapping_and_not_indowordnet_lemma
831,CLE Urdu top-5000 frequency list,تہانے,no_direct_mapping_and_not_indowordnet_lemma
831,CLE Urdu top-5000 frequency list,مراحل,no_direct_mapping_and_not_indowordnet_lemma
830,CLE Urdu top-5000 frequency list,بہلا,no_direct_mapping_and_not_indowordnet_lemma
828,CLE Urdu top-5000 frequency list,پانچویں,no_direct_mapping_and_not_indowordnet_lemma
828,CLE Urdu top-5000 frequency list,کروڑوں,fallback_no_two_source_semantic_agreement
827,CLE Urdu top-5000 frequency list,ٹرانسپورٹ,no_direct_mapping_and_not_indowordnet_lemma
826,CLE Urdu top-5000 frequency list,پودے,no_direct_mapping_and_not_indowordnet_lemma
825,CLE Urdu top-5000 frequency list,تلے,no_direct_mapping_and_not_indowordnet_lemma
825,CLE Urdu top-5000 frequency list,دفاتر,no_direct_mapping_and_not_indowordnet_lemma
825,CLE Urdu top-5000 frequency list,ہدایات,no_direct_mapping_and_not_indowordnet_lemma
824,CLE Urdu top-5000 frequency list,پٹہان,no_direct_mapping_and_not_indowordnet_lemma
824,CLE Urdu top-5000 frequency list,گہرے,no_direct_mapping_and_not_indowordnet_lemma
821,CLE Urdu top-5000 frequency list,جہٹکے,no_direct_mapping_and_not_indowordnet_lemma
821,CLE Urdu top-5000 frequency list,حدیث,no_direct_mapping_and_not_indowordnet_lemma
821,CLE Urdu top-5000 frequency list,محل,no_direct_mapping_and_not_indowordnet_lemma
819,CLE Urdu top-5000 frequency list,دلوں,no_direct_mapping_and_not_indowordnet_lemma
818,CLE Urdu top-5000 frequency list,لگتے,no_direct_mapping_and_not_indowordnet_lemma
815,CLE Urdu top-5000 frequency list,پڑہا,no_direct_mapping_and_not_indowordnet_lemma
815,CLE Urdu top-5000 frequency list,مشینری,no_direct_mapping_and_not_indowordnet_lemma
812,CLE Urdu top-5000 frequency list,رونما,no_direct_mapping_and_not_indowordnet_lemma
812,CLE Urdu top-5000 frequency list,شفیق,no_direct_mapping_and_not_indowordnet_lemma
812,CLE Urdu top-5000 frequency list,وہیں,fallback_no_two_source_semantic_agreement
811,CLE Urdu top-5000 frequency list,مقابلوں,no_direct_mapping_and_not_indowordnet_lemma
809,CLE Urdu top-5000 frequency list,آرڈر,no_direct_mapping_and_not_indowordnet_lemma
807,CLE Urdu top-5000 frequency list,کریش,no_direct_mapping_and_not_indowordnet_lemma
806,CLE Urdu top-5000 frequency list,چڑہ,no_direct_mapping_and_not_indowordnet_lemma
805,CLE Urdu top-5000 frequency list,الیون,no_direct_mapping_and_not_indowordnet_lemma
803,CLE Urdu top-5000 frequency list,بلے,no_direct_mapping_and_not_indowordnet_lemma
802,CLE Urdu top-5000 frequency list,دیکہے,no_direct_mapping_and_not_indowordnet_lemma
802,CLE Urdu top-5000 frequency list,کروانے,no_direct_mapping_and_not_indowordnet_lemma
801,CLE Urdu top-5000 frequency list,مقاصد,no_direct_mapping_and_not_indowordnet_lemma
800,CLE Urdu top-5000 frequency list,اختراع,no_direct_mapping_and_not_indowordnet_lemma
800,CLE Urdu top-5000 frequency list,عوامل,no_direct_mapping_and_not_indowordnet_lemma
799,CLE Urdu top-5000 frequency list,مالیاتی,no_direct_mapping_and_not_indowordnet_lemma
794,CLE Urdu top-5000 frequency list,مرنے,no_direct_mapping_and_not_indowordnet_lemma
792,CLE Urdu top-5000 frequency list,بینظیر,no_direct_mapping_and_not_indowordnet_lemma
792,CLE Urdu top-5000 frequency list,زد,no_direct_mapping_and_not_indowordnet_lemma
792,CLE Urdu top-5000 frequency list,سچن,no_direct_mapping_and_not_indowordnet_lemma
792,CLE Urdu top-5000 frequency list,کہڑی,no_direct_mapping_and_not_indowordnet_lemma
792,CLE Urdu top-5000 frequency list,گرنے,no_direct_mapping_and_not_indowordnet_lemma
791,CLE Urdu top-5000 frequency list,مدارس,no_direct_mapping_and_not_indowordnet_lemma
790,CLE Urdu top-5000 frequency list,بیک,no_direct_mapping_and_not_indowordnet_lemma
788,CLE Urdu top-5000 frequency list,کروایا,no_direct_mapping_and_not_indowordnet_lemma
788,CLE Urdu top-5000 frequency list,مسز,no_direct_mapping_and_not_indowordnet_lemma
785,CLE Urdu top-5000 frequency list,سپورٹس,no_direct_mapping_and_not_indowordnet_lemma
783,CLE Urdu top-5000 frequency list,حادثات,no_direct_mapping_and_not_indowordnet_lemma
782,CLE Urdu top-5000 frequency list,امارات,no_direct_mapping_and_not_indowordnet_lemma
781,CLE Urdu top-5000 frequency list,اتحادی,no_direct_mapping_and_not_indowordnet_lemma
780,CLE Urdu top-5000 frequency list,کاشتکاروں,no_direct_mapping_and_not_indowordnet_lemma
777,CLE Urdu top-5000 frequency list,اوز,no_direct_mapping_and_not_indowordnet_lemma
777,CLE Urdu top-5000 frequency list,جماعتیں,no_direct_mapping_and_not_indowordnet_lemma
777,CLE Urdu top-5000 frequency list,عدالتوں,no_direct_mapping_and_not_indowordnet_lemma
