frequency_evidence,frequency_source,front,kaikki,readurdu,reason,word2word
780,CLE Urdu top-5000 frequency list,کاشتکاروں,,,not_indowordnet_lemma,
779,CLE Urdu top-5000 frequency list,خالص,,"(fr. خلص 'to become clear,' &c.)",ambiguous_direct_mapping_tied_after_corroboration,pure; blackmail; longer; As; coexist
778,CLE Urdu top-5000 frequency list,عرض,width; request; latitude,"n. request; petition; width | Platts: (inf. n. of عرض 'to show the breadth,' 'to show, exhibit, present,' &c.)",ambiguous_direct_mapping_tied_after_corroboration,
777,CLE Urdu top-5000 frequency list,اوز,,,not_indowordnet_lemma,
777,CLE Urdu top-5000 frequency list,جماعتیں,,direct plural of جَماعَت (jamā'at),not_indowordnet_lemma,
777,CLE Urdu top-5000 frequency list,عدالتوں,,,not_indowordnet_lemma,Courts; bypass; constitutional; Is; alert
777,CLE Urdu top-5000 frequency list,عورتیں,,"direct plural of عَوْرَت (ʻaurat, “woman”)",not_indowordnet_lemma,remember; females; males; prepare; womens
776,CLE Urdu top-5000 frequency list,فیروز,,"adj. Victorious, triumphant; successful, prosperous, fortunate, happy: — fīroz-as̤ar, or fīroz-baḵẖt, or…",not_indowordnet_lemma,
776,CLE Urdu top-5000 frequency list,فیملی,,,not_indowordnet_lemma,family; living; house; We; third
776,CLE Urdu top-5000 frequency list,مبینہ,,,direct_mapping_without_independent_corroboration,returning; fear; own; GABRIEL; giving
776,CLE Urdu top-5000 frequency list,منفرد,"unique, singular, apart, alone, separate, isolated","adj. unique, singular, apart, alone, separate, isolated | Platts: (act. part. of اِنْفرد, vii of (and syn. with) فرد 'to be or become alone, or solitary,' &c.), part. adj.…",not_indowordnet_lemma,unique; Arrogance; uniquely; trait; anyone
775,CLE Urdu top-5000 frequency list,شعری,,(fr. shěʻr),direct_mapping_without_independent_corroboration,
775,CLE Urdu top-5000 frequency list,نکالنے,,"infinitive indirect of نِکَالْنَا (nikālnā — to remove, take out)",not_indowordnet_lemma,EVACUATING; WHOLE; LOOKS; LIKE; CITY
774,CLE Urdu top-5000 frequency list,اصلاحات,,,not_indowordnet_lemma,reforms; collects; Among; records; change
774,CLE Urdu top-5000 frequency list,زیدی,,,not_indowordnet_lemma,
774,CLE Urdu top-5000 frequency list,واردات,,(pl. of wārid),direct_mapping_without_independent_corroboration,
773,CLE Urdu top-5000 frequency list,ولی,"prophet, saint; favorite with God; master, lord, defender, guardian, friend","n. favorite with God; prophet, saint; master, lord, defender, guardian, friend | Platts:",ambiguous_direct_mapping_tied_after_corroboration,
772,CLE Urdu top-5000 frequency list,قصور,"guilt; fault, offence, failing; Kasur (a city in Kasur district, Punjab, Pakistan)","fault, guilt",direct_mapping_without_independent_corroboration,
771,CLE Urdu top-5000 frequency list,تشریف,honour; khalat; seat; bottom,n. honour; rank; dignity; seat; bottom | Platts:,not_indowordnet_lemma,seat; Have; sit; visit; purpose
771,CLE Urdu top-5000 frequency list,مشورے,"direct plural/ oblique singular/ vocative singular of مَشْوَرَہ (maśvara, “advice”)","direct plural/ oblique singular/ vocative singular of مَشْوَرَہ (maśvara, “advice”)",not_indowordnet_lemma,
770,CLE Urdu top-5000 frequency list,اقدار,,"personal value, basis for ethical action",not_indowordnet_lemma,values; answers; ain; also; big
770,CLE Urdu top-5000 frequency list,ایشیائی,Asian,Asian,ambiguous_direct_mapping_tied_after_corroboration,
770,CLE Urdu top-5000 frequency list,خلق,"creation, world; mankind, humanity","n. mankind, humanity; creation, world | Platts: (inf. n. fr. خلق 'to create,' &c.)",not_indowordnet_lemma,
770,CLE Urdu top-5000 frequency list,گریڈ,,,not_indowordnet_lemma,grade; copied; stool; military; told
769,CLE Urdu top-5000 frequency list,پوائنٹ,,,not_indowordnet_lemma,point; weakest; pride; transport; prodigy
768,CLE Urdu top-5000 frequency list,گہی,,s.m. Clarified butter (or butter which has been boiled gently and strained and allowed to cool…,not_indowordnet_lemma,
768,CLE Urdu top-5000 frequency list,لاشیں,,direct plural of لَاش (lāś),not_indowordnet_lemma,bodies; There; dead; murdered; nasty
767,CLE Urdu top-5000 frequency list,مشاعرہ,,"(for A. مشاعرة mushāʻarat, inf. n. of شاعر 'to vie or contend with in poetry,' iii of شعر 'to give utterance…",not_indowordnet_lemma,
766,CLE Urdu top-5000 frequency list,پسندوں,,plural oblique of پَسَنْد (pasand — like),not_indowordnet_lemma,
766,CLE Urdu top-5000 frequency list,چینل,,channel,not_indowordnet_lemma,waiting; CHANNEL; HAS; EVERY; CITY
765,CLE Urdu top-5000 frequency list,خاندانی,,"adj. Relating to the family, &c.; descended from father to son, hereditary, ancestral, family; of good…",ambiguous_direct_mapping_tied_after_corroboration,Kunar; maiden; named; To; kunya
765,CLE Urdu top-5000 frequency list,سونامی,,,not_indowordnet_lemma,TSUNAMI; PULLED; LIKE; BEING; EIGHT
765,CLE Urdu top-5000 frequency list,عربی,Arabic,"name: Arabic | Platts: (rel. n. fr. ʻarab), m. = P عربيه ʻarabīya (for A. ʻarabīyat), f.",ambiguous_direct_mapping_tied_after_corroboration,
765,CLE Urdu top-5000 frequency list,لگیں,,,not_indowordnet_lemma,sink; five; saying; old; He
764,CLE Urdu top-5000 frequency list,انچارج,,,not_indowordnet_lemma,warden; am; Are; entire; keep
764,CLE Urdu top-5000 frequency list,اٹہارہ,,,not_indowordnet_lemma,
764,CLE Urdu top-5000 frequency list,گولی,marble; small ball; diminutive of گولا (golā); pill; tablet (medication),n. bullet; pellet (gun ammunition); pill; tablet (medication); marble; small ball | Platts:,ambiguous_direct_mapping_tied_after_corroboration,shoot; shot; Shoot; bullet; barrel
763,CLE Urdu top-5000 frequency list,ٹرین,,train,ambiguous_direct_mapping_tied_after_corroboration,train; Train; alright; taken; Our
762,CLE Urdu top-5000 frequency list,بچنے,,,not_indowordnet_lemma,avoid; collision; detection; professional; attempt
762,CLE Urdu top-5000 frequency list,بناتے,,,not_indowordnet_lemma,make; insist; tear; own; building
762,CLE Urdu top-5000 frequency list,دیکہی,,,not_indowordnet_lemma,
762,CLE Urdu top-5000 frequency list,فرما,,part.,direct_mapping_without_independent_corroboration,robe; Father; poisoned; God; deepest
762,CLE Urdu top-5000 frequency list,محترمہ,lady,lady,direct_mapping_without_independent_corroboration,Lady; calm; Is; Understand; ladies
761,CLE Urdu top-5000 frequency list,جتنے,,,not_indowordnet_lemma,AS; GET; MANY; PEOPLE; CAN
761,CLE Urdu top-5000 frequency list,راز,secret; mystery; confidential; clandestine,secret,ambiguous_direct_mapping_tied_after_corroboration,secrets; secret; Secret; Savage; Love
761,CLE Urdu top-5000 frequency list,گیلانی,,adj. &,not_indowordnet_lemma,
761,CLE Urdu top-5000 frequency list,موضوعات,,plural of مَوضُوع (mauzū'),not_indowordnet_lemma,
760,CLE Urdu top-5000 frequency list,جاؤ,,inflection of,not_indowordnet_lemma,Go; Get; go; GO; COME
760,CLE Urdu top-5000 frequency list,نعمت,"blessing, grace","blessing, bounty",direct_mapping_without_independent_corroboration,blessing; trust; Every; killed; hand
756,CLE Urdu top-5000 frequency list,پہنچی,,"s.f. An ornament worn on the wrist, a bracelet (esp. a bracelet of gold beads strung together and fastened…",fallback_no_two_source_agreement,came; through; for; you; Brian
756,CLE Urdu top-5000 frequency list,فیشن,,"fashion, trend",ambiguous_direct_mapping_tied_after_corroboration,
756,CLE Urdu top-5000 frequency list,نمٹنے,,,not_indowordnet_lemma,deal; Now; dealing; venture; shithole
755,CLE Urdu top-5000 frequency list,بنتے,,,not_indowordnet_lemma,savages; grew; king; every; more
755,CLE Urdu top-5000 frequency list,پچیس,twenty-five,num. twenty-five | Platts:,ambiguous_direct_mapping_tied_after_corroboration,25; weaker; Signal; Ten; getting
754,CLE Urdu top-5000 frequency list,سورۃ,,term for a chapter of the Quran,not_indowordnet_lemma,
754,CLE Urdu top-5000 frequency list,ملتوی,,"(for A. ملتوٍ multawiṉ, act. part. of التوَي 'to be bent, or twisted, or distorted,' &c., viii of لوَي 'to…",direct_mapping_without_independent_corroboration,deferment; defense; ain; taken; job
753,CLE Urdu top-5000 frequency list,پارلیمینٹ,,,not_indowordnet_lemma,
751,CLE Urdu top-5000 frequency list,حتی,,"prep. & conj., To, up to, as far as, to the time of, to the extent of; till, until; until that, that, in…",not_indowordnet_lemma,as; possible; important; keep; contained
750,CLE Urdu top-5000 frequency list,گوٹہ,,,not_indowordnet_lemma,
750,CLE Urdu top-5000 frequency list,مساوات,,"(for A. مساواة, inf. n. of ساوي 'to be or become equal, &c. to,' iii of سوي, identical with iii)",ambiguous_direct_mapping_tied_after_corroboration,
749,CLE Urdu top-5000 frequency list,اندہےپن,,,not_indowordnet_lemma,
749,CLE Urdu top-5000 frequency list,پابند,"bound; restrained, encumbered","restrained, encumbered; bound",direct_mapping_without_independent_corroboration,obliged; given; circumstances; hand; over
749,CLE Urdu top-5000 frequency list,تیرے,,oblique masculine singular of,not_indowordnet_lemma,al-Kashmiri; Hazem; focus; sucks; determine
749,CLE Urdu top-5000 frequency list,کشمیریوں,,,not_indowordnet_lemma,
747,CLE Urdu top-5000 frequency list,خرابی,"ruin, destruction; badness, evil, corruption","defect, fault, ruin",ambiguous_direct_mapping_tied_after_corroboration,malfunction; disturbance; investigate; personally; Multiple
746,CLE Urdu top-5000 frequency list,لاحق,"affix, suffix; adhering, adjoining; to reach, to overtake",,not_indowordnet_lemma,
744,CLE Urdu top-5000 frequency list,ملزموں,,,not_indowordnet_lemma,
742,CLE Urdu top-5000 frequency list,ڈالا,,,not_indowordnet_lemma,killed; put; Almost; parents; concentrate
740,CLE Urdu top-5000 frequency list,پال,"a male given name from English, equivalent to English Paul","n. a male given name from English, equivalent to English Paul | Platts: (rt. of pālnā)",direct_mapping_without_independent_corroboration,Paul; hurry; Timothy; Reading; Bottom
739,CLE Urdu top-5000 frequency list,آسٹریلوی,,,not_indowordnet_lemma,
739,CLE Urdu top-5000 frequency list,بعدازاں,,,direct_mapping_without_independent_corroboration,
739,CLE Urdu top-5000 frequency list,توسیع,,,ambiguous_direct_mapping_tied_after_corroboration,expanding; scope; investigation; bent; extend
739,CLE Urdu top-5000 frequency list,سائنسدانوں,,,not_indowordnet_lemma,SCIENTISTS; EVERYTHING; DON; T; KNOW
738,CLE Urdu top-5000 frequency list,گلے,direct plural; oblique/vocative singular,"inflection of گَلا (galā, “throat”):; inflection of گِلَہ (gila):",not_indowordnet_lemma,throat; embrace; hug; relationship; Touching
737,CLE Urdu top-5000 frequency list,بیت,"couplet, distich; abode, house, edifice; mosque, church, synagogue","n. couplet, distich; abode, house, edifice; mosque, church, synagogue | Platts:",direct_mapping_without_independent_corroboration,bait; used; Bait; Nah; yourself
737,CLE Urdu top-5000 frequency list,خریدنے,,,not_indowordnet_lemma,buy; groceries; barrel; Each; bullet
737,CLE Urdu top-5000 frequency list,عظمت,"dignity; glory, magnificence; grandeur, greatness; might","greatness, grandeur",ambiguous_direct_mapping_tied_after_corroboration,magnitude; Will; greatness; symbolizes; mark
736,CLE Urdu top-5000 frequency list,کرنسی,,,not_indowordnet_lemma,Food; Krakozhian; Your; money; good
735,CLE Urdu top-5000 frequency list,بر,,"s.m. Choosing, selecting; choice, election, wish, request, boon, favour, blessing, good; anything chosen as a…",direct_mapping_without_independent_corroboration,Possible; Shoot; jackpot
735,CLE Urdu top-5000 frequency list,فلاحی,,,direct_mapping_without_independent_corroboration,
734,CLE Urdu top-5000 frequency list,لمبی,,s.f. A long stride (in a horse); a kind of bounding pace (in a horse); —,not_indowordnet_lemma,long; Shift; swords; lion; den
734,CLE Urdu top-5000 frequency list,ڈالیں,,,not_indowordnet_lemma,Take; Hold; connect; Let; struck
733,CLE Urdu top-5000 frequency list,حوصلہ,"courage, bravery, patience; morale, confidence, willpower, strength of spirit","courage, spirit, morale",ambiguous_direct_mapping_tied_after_corroboration,encouraging; Congressional; subverting; efforts; résumé
733,CLE Urdu top-5000 frequency list,کہیلتے,,,not_indowordnet_lemma,
732,CLE Urdu top-5000 frequency list,وسعت,"convenience, leisure, ease; amplitude, space, extent, vastness","n. amplitude, space, extent, vastness; convenience, leisure, ease | Platts: (for A. وسعة, fr. وسع wusʻ, 'capacity,' &c., v.n. fr. وَسِعَ)",ambiguous_direct_mapping_tied_after_corroboration,
731,CLE Urdu top-5000 frequency list,پہچان,"identity; recognition, identification","n. recognition, identification; identity | Platts:",ambiguous_direct_mapping_tied_after_corroboration,recognize; 20; detainees; photo; that
731,CLE Urdu top-5000 frequency list,حکومتیں,,plural direct of حُکُومَت (hukūmat — government),not_indowordnet_lemma,
731,CLE Urdu top-5000 frequency list,کش,,s.m. Touchstone; assay; — the decoction of a colouring substance,direct_mapping_without_independent_corroboration,Hindu; Kush; Hah; blowing; storm
730,CLE Urdu top-5000 frequency list,سٹیشن,,station,not_indowordnet_lemma,escorted; station; Will; be; to
730,CLE Urdu top-5000 frequency list,معاوضہ,,s.m. = P معاوضت mǒʻāwaẓat,direct_mapping_without_independent_corroboration,hired; does; sure; happen; dead
728,CLE Urdu top-5000 frequency list,پریشر,,,direct_mapping_without_independent_corroboration,
728,CLE Urdu top-5000 frequency list,ستر,seventy,num. seventy | Platts: 1˚,ambiguous_direct_mapping_tied_after_corroboration,Seventy; BACKTRACK; SEVENTY; SO; OR
727,CLE Urdu top-5000 frequency list,مراکز,,"plural formal of مَرْکَز (markaz — centre, center)",not_indowordnet_lemma,centers; side; their; on; why
726,CLE Urdu top-5000 frequency list,سوئی,"sewing needle, needle; Sui (a city in Dera Bugti district, Balochistan, Pakistan)","n. sewing needle, needle | name: Sui (a city in Dera Bugti district, Balochistan, Pakistan) | Platts:",ambiguous_direct_mapping_tied_after_corroboration,
726,CLE Urdu top-5000 frequency list,عطیات,,,not_indowordnet_lemma,
725,CLE Urdu top-5000 frequency list,قبضے,,"plural direct of قَبْضَہ (qabza — occupation; annexation, takeover)",not_indowordnet_lemma,Mukhabarat; dealt; authentic; possession; thinks
725,CLE Urdu top-5000 frequency list,منور,,"(pass. part. of نوّر 'to illuminate,' &c., ii of نار (for نور) 'to shine,' &c.), part.",direct_mapping_without_independent_corroboration,
723,CLE Urdu top-5000 frequency list,پڑہے,,,not_indowordnet_lemma,
722,CLE Urdu top-5000 frequency list,تقاضوں,,,not_indowordnet_lemma,
722,CLE Urdu top-5000 frequency list,دکہایا,,,not_indowordnet_lemma,
722,CLE Urdu top-5000 frequency list,نکالا,,,not_indowordnet_lemma,pulled; maiden; Debbie; PULLED; BEING
721,CLE Urdu top-5000 frequency list,روکا,,,not_indowordnet_lemma,stop; resting; discovered; warnings; its
721,CLE Urdu top-5000 frequency list,صنعتوں,,,not_indowordnet_lemma,
721,CLE Urdu top-5000 frequency list,مزدوروں,,"plural oblique of مَزْدُور (mazdūr — labourer, worker)",not_indowordnet_lemma,
720,CLE Urdu top-5000 frequency list,تاجروں,,,not_indowordnet_lemma,
718,CLE Urdu top-5000 frequency list,جذباتی,,,direct_mapping_without_independent_corroboration,sentimental; too; passionate; sport; Come
718,CLE Urdu top-5000 frequency list,دکان,shop; store,n. shop; store | Platts:,not_indowordnet_lemma,store; ELECTRONICS; STORE; IN; AN-AN
718,CLE Urdu top-5000 frequency list,فعال,,"s.m. pl. (of فعل fěʻl), Actions, deeds, works, &c",direct_mapping_without_independent_corroboration,active; disable; force; authorization; doors
717,CLE Urdu top-5000 frequency list,پیداواری,,,not_indowordnet_lemma,productive; last; night; was; ?
717,CLE Urdu top-5000 frequency list,لکہتے,,,not_indowordnet_lemma,
717,CLE Urdu top-5000 frequency list,ٹو,,,not_indowordnet_lemma,having; hard; times; remember; stealth
717,CLE Urdu top-5000 frequency list,ٹیکسٹائل,,,not_indowordnet_lemma,
716,CLE Urdu top-5000 frequency list,اہلیت,,"(for A. اهلية, fr. ahl)",direct_mapping_without_independent_corroboration,
716,CLE Urdu top-5000 frequency list,سنت,habit; Sunna; custom,n. tradition; habit; custom | Platts:,direct_mapping_without_independent_corroboration,
715,CLE Urdu top-5000 frequency list,زرمبادلہ,,,not_indowordnet_lemma,
714,CLE Urdu top-5000 frequency list,اطمینان,"trust, confidence, reliance; contentment, quiescence, satisfaction, tranquillity","satisfaction, assurance, peace of mind",ambiguous_direct_mapping_tied_after_corroboration,vouchers; These; free; food; discontent
713,CLE Urdu top-5000 frequency list,نیازی,,(niyāz+ī = S.,not_indowordnet_lemma,
711,CLE Urdu top-5000 frequency list,بدلے,,,not_indowordnet_lemma,exchange; Offering; grant; mile; Beans
711,CLE Urdu top-5000 frequency list,شکور,,,not_indowordnet_lemma,
711,CLE Urdu top-5000 frequency list,مرچ,pepper (in both senses),n. pepper (in both senses) | Platts:,ambiguous_direct_mapping_tied_after_corroboration,Parsley; peppers; cabbages; celery; and
710,CLE Urdu top-5000 frequency list,نازک,"weak, fragile; tender, delicate; thin, slender, slim","adj. tender, delicate; weak, fragile; thin, slender, slim | Platts: adj. Thin, slender, slim, delicate, tender, fragile; fine; light; brittle; nice; neat; elegant; genteel;…",ambiguous_direct_mapping_tied_after_corroboration,needn; fragile; calibration; delicate; requires
709,CLE Urdu top-5000 frequency list,جلا,,(perf. part. of jalnā,not_indowordnet_lemma,burn; Burn; doing; burned; fine
709,CLE Urdu top-5000 frequency list,حصص,,"s.m. pl. (of ḥiṣṣa), Shares, lots, portions",not_indowordnet_lemma,
709,CLE Urdu top-5000 frequency list,کیری,,"s.f. A small unripe mango; — a locket or ornament made in the shape of a mango (used to keep perfume, &c.…",not_indowordnet_lemma,shore; Carry; carry; Team; Two
708,CLE Urdu top-5000 frequency list,چوتہے,,,not_indowordnet_lemma,
708,CLE Urdu top-5000 frequency list,سبق,lesson; lecture,lesson,ambiguous_direct_mapping_tied_after_corroboration,lesson; vacation; okay; Let; summer
708,CLE Urdu top-5000 frequency list,عمارتوں,,plural oblique of عِمارَت ('imārat — building),not_indowordnet_lemma,buildings; BUILDINGS; WE; RE; Actually
708,CLE Urdu top-5000 frequency list,ٹیکسوں,,,not_indowordnet_lemma,
707,CLE Urdu top-5000 frequency list,خدشات,,,not_indowordnet_lemma,concerns; unavoidable; aware; worries; clear
707,CLE Urdu top-5000 frequency list,لائی,,"s.f. Parched grain; a kind of sweetmeat, parched rice mixed with sugar; — wild rice",not_indowordnet_lemma,
707,CLE Urdu top-5000 frequency list,میڈل,,,direct_mapping_without_independent_corroboration,
706,CLE Urdu top-5000 frequency list,پہولوں,,,not_indowordnet_lemma,
706,CLE Urdu top-5000 frequency list,ساٹہ,,,not_indowordnet_lemma,
706,CLE Urdu top-5000 frequency list,کرنل,,colonel,not_indowordnet_lemma,Colonel; Stelzer; -Colonel; committees; Base
706,CLE Urdu top-5000 frequency list,ہرگز,"ever, at any time","adv. ever, at any time | Platts: (prop. hargaz), adv. At any time, ever; — always: — hargiz nahīṅ, or hargiz — na, adv. Never; — on no account",not_indowordnet_lemma,WAY; NO; Of; course; Sophisticated
704,CLE Urdu top-5000 frequency list,اکائی,"unit; measure; a single unit, digit; ones; an administrative unit of a country","n. a single unit, digit; ones; unit; measure; an administrative unit of a country | Platts:",ambiguous_direct_mapping_tied_after_corroboration,
704,CLE Urdu top-5000 frequency list,جانتا,,,direct_mapping_without_independent_corroboration,knows; knew; know; dude; Nobody
704,CLE Urdu top-5000 frequency list,دہوپ,,"s.m. Incense, frankincense; any fragrant gum or resin (burnt before idols); vapour proceeding from fragrant…",not_indowordnet_lemma,
704,CLE Urdu top-5000 frequency list,شہادت,creed; shahada; martyrdom,"n. martyrdom; testimony; shahada | Platts: (for A. شہادة, inf. n. of شہد 'to give evidence,' &c.)",ambiguous_direct_mapping_tied_after_corroboration,proclaim; martyr; Lance; Web; testimony
703,CLE Urdu top-5000 frequency list,چہٹی,,,not_indowordnet_lemma,
703,CLE Urdu top-5000 frequency list,ممبران,,,not_indowordnet_lemma,disgruntled; plots; sales; imminent; resources
702,CLE Urdu top-5000 frequency list,احسن,ace,n. ace | Platts: (compar. & super. of حسن),not_indowordnet_lemma,
702,CLE Urdu top-5000 frequency list,پتہر,,"s.m. Stone, rock; precious stone, gem; hailstone; anything hard, troublesome, trying, intolerable, &c.; —…",not_indowordnet_lemma,
701,CLE Urdu top-5000 frequency list,اٹہ,,,not_indowordnet_lemma,
701,CLE Urdu top-5000 frequency list,تمہاری,,,not_indowordnet_lemma,yours; Your; listen; wouldn; eyes
701,CLE Urdu top-5000 frequency list,ہائیکورٹ,,,not_indowordnet_lemma,
700,CLE Urdu top-5000 frequency list,کاشف,detector; revealer; explainer,"n. discoverer; detector; revealer | Platts: (act. part. of کشف 'to open, reveal,' &c.)",not_indowordnet_lemma,
699,CLE Urdu top-5000 frequency list,سرجری,,surgery,not_indowordnet_lemma,Surgery; surgery; Yeah; -; ?
698,CLE Urdu top-5000 frequency list,مالکان,,"s.m. pl. (of mālik), Proprietors, owners, masters, &c",not_indowordnet_lemma,owners; Today; way; by; rest
697,CLE Urdu top-5000 frequency list,شاہی,"befitting or worthy of royalty; royal, regal, kingly, princely; rule, reign, regime; -archy, -cracy","adj. royal, regal, kingly, princely; befitting or worthy of royalty | n. rule, reign, regime; -archy, -cracy; a cultivar of litchis, famously grown in Muzaffarpur | Platts: adj. Imperial, royal, regal, kingly; —",ambiguous_direct_mapping_tied_after_corroboration,royal; quarters; destroyed; Royal; Steward
697,CLE Urdu top-5000 frequency list,گیندوں,,plural oblique of گینْد (gend — ball),not_indowordnet_lemma,balls; guts; Her; yours; Are
696,CLE Urdu top-5000 frequency list,اشعار,,"s.m. pl. (of شعر sheʻr), Verses, poems.",not_indowordnet_lemma,
696,CLE Urdu top-5000 frequency list,دلایا,,,not_indowordnet_lemma,
695,CLE Urdu top-5000 frequency list,تردید,,"s.f. Repelling, opposing; refutation, rebutment; rejection, setting aside, reversal (of a decision): — tardīd…",direct_mapping_without_independent_corroboration,
695,CLE Urdu top-5000 frequency list,غصہ,anger,"n. anger | Platts: (for A. غصة, v.n. fr. غصّ 'to be choked,' &c.)",ambiguous_direct_mapping_tied_after_corroboration,anger; rude; short-tempered; Mom; FURIOUS
695,CLE Urdu top-5000 frequency list,مصیبت,"trouble, distress; calamity, disaster, catastrophe (a sudden event that causes great damage)","calamity, trouble",direct_mapping_without_independent_corroboration,trouble; screwed; gloat; em; Paperboy
695,CLE Urdu top-5000 frequency list,ملبے,,,not_indowordnet_lemma,wreck; Access; wreckage; crashed; ship
694,CLE Urdu top-5000 frequency list,سولہ,sixteen,num. sixteen | Platts:,ambiguous_direct_mapping_tied_after_corroboration,scrambled; ass; F-16s; behind; Paks
694,CLE Urdu top-5000 frequency list,عکاسی,,photography; trade of a photographer,not_indowordnet_lemma,reflect; Aryan; longer; perfection; image
693,CLE Urdu top-5000 frequency list,راج,"mason; builder; reign, rule",,direct_mapping_without_independent_corroboration,
693,CLE Urdu top-5000 frequency list,شفاف,,"(intens. n. fr. شفّ 'to be thin or fine,' &c.)",direct_mapping_without_independent_corroboration,possible; clean; keep; Marvin; Tell
693,CLE Urdu top-5000 frequency list,طریقوں,,plural oblique of طَرِیقَہ (tarīqa — method),not_indowordnet_lemma,ways; methods; phishing; Our; Plenty
693,CLE Urdu top-5000 frequency list,فائر,,,not_indowordnet_lemma,Fire; hole; DEPARTMENT; FIRE; tire
691,CLE Urdu top-5000 frequency list,ذوق,"taste, flavor; taste, interest; pleasure, delight","n. taste, flavor; taste, interest; pleasure, delight | Platts: (inf. n. of ذاق 'to taste')",not_indowordnet_lemma,
691,CLE Urdu top-5000 frequency list,شاہراہ,"highway, main road, King's highway","highway, main road, King's highway",ambiguous_direct_mapping_tied_after_corroboration,Van; Wyck; Expressway; Queensboro; Bridge
691,CLE Urdu top-5000 frequency list,وحید,,,not_indowordnet_lemma,
690,CLE Urdu top-5000 frequency list,عاشق,"lover; fondness, affection",lover,ambiguous_direct_mapping_tied_after_corroboration,
690,CLE Urdu top-5000 frequency list,کہلی,,"s.f. Oil-cake (the cake that remains after the oil has been pressed out of certain seeds, especially sesamum…",not_indowordnet_lemma,
689,CLE Urdu top-5000 frequency list,اٹہائے,,,not_indowordnet_lemma,
689,CLE Urdu top-5000 frequency list,کہلا,,s.m. A shoe,not_indowordnet_lemma,
688,CLE Urdu top-5000 frequency list,دائر,,"(act. part. n. of دار (for دور) 'to move round'), part.",fallback_no_two_source_agreement,file; Did; football; yet; homes
688,CLE Urdu top-5000 frequency list,نعرے,,plural direct of نَعْرَہ (na’rah — slogan),not_indowordnet_lemma,
687,CLE Urdu top-5000 frequency list,آبپاشی,,artificial application of water to cultivated land,not_indowordnet_lemma,
687,CLE Urdu top-5000 frequency list,تیری,,feminine singular of,not_indowordnet_lemma,Shaolin; Wu; Tang; KINGDOM; THY
686,CLE Urdu top-5000 frequency list,چیمبر,,,direct_mapping_without_independent_corroboration,Genesis; Chamber; sample; analyze; ready
684,CLE Urdu top-5000 frequency list,خواہشات,,,not_indowordnet_lemma,
684,CLE Urdu top-5000 frequency list,گولیاں,,,not_indowordnet_lemma,bullets; pills; fired; –; YELLING
684,CLE Urdu top-5000 frequency list,گہرا,deep,"adj. deep | Platts: adj. (f. -ī), Deep, profound; important, weighty, grave; difficult; — deep-seated; — sound (as sleep); —…",ambiguous_direct_mapping_tied_after_corroboration,deep; very; got; omoplata; ties
683,CLE Urdu top-5000 frequency list,سیوریج,,,not_indowordnet_lemma,
682,CLE Urdu top-5000 frequency list,زمان,,,not_indowordnet_lemma,
682,CLE Urdu top-5000 frequency list,سراہا,,perfective masculine of سَراہْنا (sarāhnā — to praise; commend; applaud),not_indowordnet_lemma,Though; appreciate; recipe; most; mother
682,CLE Urdu top-5000 frequency list,کیریئر,,,direct_mapping_without_independent_corroboration,career; yours; political; end; put
681,CLE Urdu top-5000 frequency list,پوائنٹس,,,not_indowordnet_lemma,Reg; points; d; Big; POINTS
681,CLE Urdu top-5000 frequency list,خاصا,"special, particular, good",,fallback_no_two_source_agreement,
680,CLE Urdu top-5000 frequency list,جیتے,,plural masculine of جِینا (jīnā — to live),not_indowordnet_lemma,
679,CLE Urdu top-5000 frequency list,پرواز,"access, reach; arrogance; pride; departure (of a flight)","n. flight (a trip on a plane); departure (of a flight); access, reach | Platts:",ambiguous_direct_mapping_tied_after_corroboration,fly; flight; Fly; flying; Cars
679,CLE Urdu top-5000 frequency list,ملنا,"to be found; to be joined; to blend, mix","v. to be found; to be joined; to meet, encounter, mingle | Platts: v.t. To rub; to rub down (a horse); to scrub, scour; to furbish; to anoint; — to grind; to tread on, trample…",ambiguous_direct_mapping_tied_after_corroboration,meet; obsessed; demands; proposals; concrete
678,CLE Urdu top-5000 frequency list,سکیم,,,not_indowordnet_lemma,
677,CLE Urdu top-5000 frequency list,آئل,,,not_indowordnet_lemma,
677,CLE Urdu top-5000 frequency list,کرداروں,,oblique plural of کِرْدار (kirdār),not_indowordnet_lemma,
677,CLE Urdu top-5000 frequency list,گہنٹہ,,,not_indowordnet_lemma,
676,CLE Urdu top-5000 frequency list,رکنی,,,not_indowordnet_lemma,
676,CLE Urdu top-5000 frequency list,سٹیج,,,not_indowordnet_lemma,
676,CLE Urdu top-5000 frequency list,عامل,,"(act. part. of عمل 'to work,' &c.)",ambiguous_direct_mapping_tied_after_corroboration,
676,CLE Urdu top-5000 frequency list,ڈرامے,,,not_indowordnet_lemma,play; MAJESTIC; Keep; PLAYS; MUSIC
675,CLE Urdu top-5000 frequency list,چلتے,,,not_indowordnet_lemma,go; Let; moving; Keep; GO
674,CLE Urdu top-5000 frequency list,سہارا,"backing; buttress; support; dependence; help, assistance, aid","n. support; dependence; backing; buttress; help, assistance, aid | Platts:",ambiguous_direct_mapping_tied_after_corroboration,Refuse; recourse; duration; court-martial; spend
674,CLE Urdu top-5000 frequency list,میچز,,,not_indowordnet_lemma,
