rank,front,meaning,wordfreq_zipf,dictionary_source,opus_strength,opus_details
1393,جلدی,quickly,4.85,ReadUrdu,22.973,"[{""stem"":""quickly"",""cooccurrence_sentences"":49,""urdu_sentences"":248,""english_sentences"":191,""observed_rate"":0.19758,""lift"":248.19}]"
1394,حصول,acquisition,4.85,ReadUrdu,25.459,"[{""stem"":""acquisition"",""cooccurrence_sentences"":99,""urdu_sentences"":1332,""english_sentences"":343,""observed_rate"":0.07432,""lift"":51.99}]"
1395,مارکیٹ,market,4.85,ReadUrdu,33.42,"[{""stem"":""market"",""cooccurrence_sentences"":583,""urdu_sentences"":998,""english_sentences"":2268,""observed_rate"":0.58417,""lift"":61.8}]"
1396,معاہدہ,agreement,4.85,Kaikki,30.83,"[{""stem"":""agree"",""cooccurrence_sentences"":307,""urdu_sentences"":581,""english_sentences"":1664,""observed_rate"":0.5284,""lift"":76.19}]"
1397,منزل,destination,4.85,Kaikki,26.843,"[{""stem"":""destin"",""cooccurrence_sentences"":118,""urdu_sentences"":282,""english_sentences"":504,""observed_rate"":0.41844,""lift"":199.19}]"
1398,پکڑ,holding,4.85,ReadUrdu,7.405,"[{""stem"":""hold"",""cooccurrence_sentences"":3,""urdu_sentences"":120,""english_sentences"":1118,""observed_rate"":0.025,""lift"":5.37}]"
1399,چوری,theft,4.85,Kaikki,19.566,"[{""stem"":""theft"",""cooccurrence_sentences"":21,""urdu_sentences"":167,""english_sentences"":28,""observed_rate"":0.12575,""lift"":1077.5}]"
1400,بھول,forget,4.84,ReadUrdu,24.091,"[{""stem"":""forget"",""cooccurrence_sentences"":58,""urdu_sentences"":138,""english_sentences"":133,""observed_rate"":0.42029,""lift"":758.17}]"
1401,جنگی,military,4.84,Kaikki,14.147,"[{""stem"":""military"",""cooccurrence_sentences"":12,""urdu_sentences"":472,""english_sentences"":545,""observed_rate"":0.02542,""lift"":11.19}]"
1402,خلافت,caliphate,4.84,Kaikki,12.304,"[{""stem"":""caliphate"",""cooccurrence_sentences"":2,""urdu_sentences"":3,""english_sentences"":2,""observed_rate"":0.66667,""lift"":79974.33}]"
1403,دکھائی,show,4.84,ReadUrdu,18.134,"[{""stem"":""show"",""cooccurrence_sentences"":35,""urdu_sentences"":463,""english_sentences"":1720,""observed_rate"":0.07559,""lift"":10.54}]"
1404,ساتھی,partner,4.84,Kaikki,21.907,"[{""stem"":""partner"",""cooccurrence_sentences"":39,""urdu_sentences"":352,""english_sentences"":872,""observed_rate"":0.1108,""lift"":30.48}]"
1405,قلم,pen,4.84,Kaikki,21.299,"[{""stem"":""pen"",""cooccurrence_sentences"":27,""urdu_sentences"":53,""english_sentences"":43,""observed_rate"":0.50943,""lift"":2842.44}]"
1406,متعارف,already introduced,4.84,Kaikki,10.394,"[{""stem"":""introduc"",""cooccurrence_sentences"":196,""urdu_sentences"":661,""english_sentences"":557,""observed_rate"":0.29652,""lift"":127.72},{""stem"":""already"",""cooccurrence_sentences"":10,""urdu_sentences"":661,""english_sentences"":1334,""observed_rate"":0.01513,""lift"":2.72}]"
1407,مرتب,to arrange,4.84,ReadUrdu,11.742,"[{""stem"":""arrange"",""cooccurrence_sentences"":9,""urdu_sentences"":660,""english_sentences"":440,""observed_rate"":0.01364,""lift"":7.44}]"
1408,معاف,pardoned,4.84,Kaikki,12.519,"[{""stem"":""pardon"",""cooccurrence_sentences"":3,""urdu_sentences"":111,""english_sentences"":7,""observed_rate"":0.02703,""lift"":926.34}]"
1409,ناول,novel,4.84,Kaikki,23.755,"[{""stem"":""novel"",""cooccurrence_sentences"":51,""urdu_sentences"":73,""english_sentences"":305,""observed_rate"":0.69863,""lift"":549.57}]"
1410,والدہ,mother,4.84,Kaikki,23.077,"[{""stem"":""mother"",""cooccurrence_sentences"":43,""urdu_sentences"":64,""english_sentences"":630,""observed_rate"":0.67188,""lift"":255.87}]"
1411,چلتا,going,4.84,ReadUrdu,11.524,"[{""stem"":""going"",""cooccurrence_sentences"":12,""urdu_sentences"":393,""english_sentences"":2049,""observed_rate"":0.03053,""lift"":3.58}]"
1412,آلہ,tool,4.83,ReadUrdu,23.718,"[{""stem"":""tool"",""cooccurrence_sentences"":57,""urdu_sentences"":221,""english_sentences"":538,""observed_rate"":0.25792,""lift"":115.02}]"
1413,آنکھ,eye,4.83,Kaikki,23.414,"[{""stem"":""eye"",""cooccurrence_sentences"":47,""urdu_sentences"":98,""english_sentences"":134,""observed_rate"":0.47959,""lift"":858.69}]"
1414,تنگ,narrow,4.83,Kaikki,16.387,"[{""stem"":""narrow"",""cooccurrence_sentences"":9,""urdu_sentences"":76,""english_sentences"":70,""observed_rate"":0.11842,""lift"":405.88}]"
1415,حیران,surprised,4.83,Kaikki,22.526,"[{""stem"":""surpris"",""cooccurrence_sentences"":44,""urdu_sentences"":226,""english_sentences"":114,""observed_rate"":0.19469,""lift"":409.74}]"
1416,رام,Rama,4.83,Kaikki,22.222,"[{""stem"":""rama"",""cooccurrence_sentences"":44,""urdu_sentences"":2511,""english_sentences"":66,""observed_rate"":0.01752,""lift"":63.7}]"
1417,روسی,Russian,4.83,Kaikki,29.935,"[{""stem"":""russian"",""cooccurrence_sentences"":244,""urdu_sentences"":316,""english_sentences"":392,""observed_rate"":0.77215,""lift"":472.59}]"
1418,زیادتی,rape,4.83,Kaikki,14.925,"[{""stem"":""rape"",""cooccurrence_sentences"":6,""urdu_sentences"":66,""english_sentences"":166,""observed_rate"":0.09091,""lift"":131.39}]"
1419,ساز,equipment,4.83,Kaikki,26.709,"[{""stem"":""equip"",""cooccurrence_sentences"":132,""urdu_sentences"":1110,""english_sentences"":869,""observed_rate"":0.11892,""lift"":32.83}]"
1420,فروری,February,4.83,Kaikki,36.045,"[{""stem"":""february"",""cooccurrence_sentences"":1133,""urdu_sentences"":2286,""english_sentences"":1334,""observed_rate"":0.49563,""lift"":89.14}]"
1421,قدرتی,natural,4.83,ReadUrdu,36.561,"[{""stem"":""natur"",""cooccurrence_sentences"":1283,""urdu_sentences"":1981,""english_sentences"":1561,""observed_rate"":0.64765,""lift"":99.54}]"
1422,کائنات,the universe,4.83,Kaikki,22.534,"[{""stem"":""universe"",""cooccurrence_sentences"":38,""urdu_sentences"":51,""english_sentences"":53,""observed_rate"":0.7451,""lift"":3372.95}]"
1423,کتب,a library,4.83,ReadUrdu,20.874,"[{""stem"":""library"",""cooccurrence_sentences"":27,""urdu_sentences"":85,""english_sentences"":208,""observed_rate"":0.31765,""lift"":366.4}]"
1424,گاندھی,Gandhi,4.83,Kaikki,36.297,"[{""stem"":""gandhi"",""cooccurrence_sentences"":1198,""urdu_sentences"":1856,""english_sentences"":1393,""observed_rate"":0.64547,""lift"":111.17}]"
1425,اشارہ,hint,4.82,ReadUrdu,15.778,"[{""stem"":""hint"",""cooccurrence_sentences"":8,""urdu_sentences"":548,""english_sentences"":25,""observed_rate"":0.0146,""lift"":140.1}]"
1426,انعام,prize,4.82,Kaikki,25.723,"[{""stem"":""prize"",""cooccurrence_sentences"":97,""urdu_sentences"":448,""english_sentences"":198,""observed_rate"":0.21652,""lift"":262.36}]"
1427,جتنا,As much as,4.82,ReadUrdu,21.075,"[{""stem"":""much"",""cooccurrence_sentences"":31,""urdu_sentences"":199,""english_sentences"":1281,""observed_rate"":0.15578,""lift"":29.18}]"
1428,جعلی,fake,4.82,Kaikki,25.045,"[{""stem"":""fake"",""cooccurrence_sentences"":72,""urdu_sentences"":156,""english_sentences"":198,""observed_rate"":0.46154,""lift"":559.26}]"
1429,حلف,Swearing …,4.82,ReadUrdu,20.7,"[{""stem"":""swear"",""cooccurrence_sentences"":29,""urdu_sentences"":297,""english_sentences"":37,""observed_rate"":0.09764,""lift"":633.16}]"
1430,خفیہ,secret,4.82,Kaikki,22.322,"[{""stem"":""secret"",""cooccurrence_sentences"":42,""urdu_sentences"":249,""english_sentences"":117,""observed_rate"":0.16867,""lift"":345.89}]"
1431,درخت,tree,4.82,Kaikki,26.834,"[{""stem"":""tree"",""cooccurrence_sentences"":111,""urdu_sentences"":146,""english_sentences"":263,""observed_rate"":0.76027,""lift"":693.56}]"
1432,سازش,conspiracy,4.82,Kaikki,25.124,"[{""stem"":""conspiracy"",""cooccurrence_sentences"":76,""urdu_sentences"":179,""english_sentences"":109,""observed_rate"":0.42458,""lift"":934.56}]"
1433,سلیم,Salim or Saleem,4.82,ReadUrdu,13.504,"[{""stem"":""saleem"",""cooccurrence_sentences"":7,""urdu_sentences"":37,""english_sentences"":8,""observed_rate"":0.18919,""lift"":5673.85},{""stem"":""salim"",""cooccurrence_sentences"":4,""urdu_sentences"":37,""english_sentences"":7,""observed_rate"":0.10811,""lift"":3705.37}]"
1434,شپ,-ship,4.82,ReadUrdu,24.35,"[{""stem"":""ship"",""cooccurrence_sentences"":74,""urdu_sentences"":1140,""english_sentences"":612,""observed_rate"":0.06491,""lift"":25.45}]"
1435,شکریہ,thank,4.82,Kaikki,35.703,"[{""stem"":""thank"",""cooccurrence_sentences"":1030,""urdu_sentences"":1669,""english_sentences"":1298,""observed_rate"":0.61714,""lift"":114.07}]"
1436,شیطان,devil,4.82,ReadUrdu,16.268,"[{""stem"":""devil"",""cooccurrence_sentences"":7,""urdu_sentences"":12,""english_sentences"":9,""observed_rate"":0.58333,""lift"":15550.56}]"
1437,عزم,resolve,4.82,Kaikki,26.681,"[{""stem"":""resolve"",""cooccurrence_sentences"":130,""urdu_sentences"":1041,""english_sentences"":348,""observed_rate"":0.12488,""lift"":86.1}]"
1438,قرض,loan,4.82,Kaikki,33.073,"[{""stem"":""loan"",""cooccurrence_sentences"":559,""urdu_sentences"":1395,""english_sentences"":828,""observed_rate"":0.40072,""lift"":116.11}]"
1439,مٹی,soil,4.82,Kaikki,27.525,"[{""stem"":""soil"",""cooccurrence_sentences"":143,""urdu_sentences"":417,""english_sentences"":264,""observed_rate"":0.34293,""lift"":311.65}]"
1440,نوٹ,note,4.82,ReadUrdu,32.379,"[{""stem"":""note"",""cooccurrence_sentences"":447,""urdu_sentences"":763,""english_sentences"":896,""observed_rate"":0.58585,""lift"":156.87}]"
1441,چھوٹا,small,4.82,Kaikki,24.947,"[{""stem"":""small"",""cooccurrence_sentences"":79,""urdu_sentences"":337,""english_sentences"":1119,""observed_rate"":0.23442,""lift"":50.26}]"
1442,ڈپٹی,deputy,4.82,ReadUrdu,30.578,"[{""stem"":""deputy"",""cooccurrence_sentences"":286,""urdu_sentences"":422,""english_sentences"":547,""observed_rate"":0.67773,""lift"":297.26}]"
1443,کان,ear,4.82,Kaikki,17.647,"[{""stem"":""ear"",""cooccurrence_sentences"":13,""urdu_sentences"":215,""english_sentences"":22,""observed_rate"":0.06047,""lift"":659.41}]"
1444,ہتھیار,weapon,4.82,Kaikki,25.256,"[{""stem"":""weapon"",""cooccurrence_sentences"":78,""urdu_sentences"":186,""english_sentences"":218,""observed_rate"":0.41935,""lift"":461.53}]"
1445,بزرگ,elder,4.81,ReadUrdu,16.982,"[{""stem"":""elder"",""cooccurrence_sentences"":11,""urdu_sentences"":238,""english_sentences"":58,""observed_rate"":0.04622,""lift"":191.19}]"
1446,بچا,child,4.81,ReadUrdu,12.623,"[{""stem"":""child"",""cooccurrence_sentences"":9,""urdu_sentences"":220,""english_sentences"":1016,""observed_rate"":0.04091,""lift"":9.66}]"
1447,بچپن,childhood,4.81,Kaikki,23.491,"[{""stem"":""childhood"",""cooccurrence_sentences"":49,""urdu_sentences"":105,""english_sentences"":79,""observed_rate"":0.46667,""lift"":1417.27}]"
1448,بیشتر,most,4.81,ReadUrdu,27.323,"[{""stem"":""most"",""cooccurrence_sentences"":131,""urdu_sentences"":315,""english_sentences"":2124,""observed_rate"":0.41587,""lift"":46.98}]"
1449,تفصیل,detail,4.81,Kaikki,28.99,"[{""stem"":""detail"",""cooccurrence_sentences"":214,""urdu_sentences"":754,""english_sentences"":1930,""observed_rate"":0.28382,""lift"":35.28}]"
1450,جذبات,emotions,4.81,ReadUrdu,23.781,"[{""stem"":""emotion"",""cooccurrence_sentences"":59,""urdu_sentences"":244,""english_sentences"":183,""observed_rate"":0.2418,""lift"":317.02}]"
1451,رحم,compassion,4.81,ReadUrdu,21.162,"[{""stem"":""compassion"",""cooccurrence_sentences"":30,""urdu_sentences"":114,""english_sentences"":164,""observed_rate"":0.26316,""lift"":384.99}]"
1452,شور,noise,4.81,Kaikki,24.114,"[{""stem"":""noise"",""cooccurrence_sentences"":59,""urdu_sentences"":150,""english_sentences"":77,""observed_rate"":0.39333,""lift"":1225.58}]"
1453,صبر,patience,4.81,Kaikki,20.092,"[{""stem"":""patience"",""cooccurrence_sentences"":21,""urdu_sentences"":52,""english_sentences"":32,""observed_rate"":0.40385,""lift"":3027.87}]"
1454,عدلیہ,judiciary,4.81,ReadUrdu,25.604,"[{""stem"":""judiciary"",""cooccurrence_sentences"":83,""urdu_sentences"":171,""english_sentences"":97,""observed_rate"":0.48538,""lift"":1200.56}]"
1455,کتنا,how much,4.81,Kaikki,23.335,"[{""stem"":""how"",""cooccurrence_sentences"":138,""urdu_sentences"":280,""english_sentences"":2565,""observed_rate"":0.49286,""lift"":46.1},{""stem"":""much"",""cooccurrence_sentences"":54,""urdu_sentences"":280,""english_sentences"":1281,""observed_rate"":0.19286,""lift"":36.12}]"
1456,آکر,having come,4.80,ReadUrdu,16.871,"[{""stem"":""come"",""cooccurrence_sentences"":17,""urdu_sentences"":136,""english_sentences"":2030,""observed_rate"":0.125,""lift"":14.77}]"
1457,خرید,purchase,4.80,ReadUrdu,26.325,"[{""stem"":""purchase"",""cooccurrence_sentences"":115,""urdu_sentences"":589,""english_sentences"":396,""observed_rate"":0.19525,""lift"":118.29}]"
1458,دلچسپی,interest,4.80,ReadUrdu,31.395,"[{""stem"":""interest"",""cooccurrence_sentences"":362,""urdu_sentences"":807,""english_sentences"":1707,""observed_rate"":0.44857,""lift"":63.05}]"
1459,دیکھو,look,4.80,ReadUrdu,21.507,"[{""stem"":""look"",""cooccurrence_sentences"":34,""urdu_sentences"":209,""english_sentences"":1803,""observed_rate"":0.16268,""lift"":21.65}]"
1460,سادہ,simple,4.80,Kaikki,26.113,"[{""stem"":""simple"",""cooccurrence_sentences"":93,""urdu_sentences"":172,""english_sentences"":279,""observed_rate"":0.5407,""lift"":464.97}]"
1461,شہرت,reputation,4.80,Kaikki,18.75,"[{""stem"":""reput"",""cooccurrence_sentences"":17,""urdu_sentences"":118,""english_sentences"":106,""observed_rate"":0.14407,""lift"":326.09}]"
1462,فلسطین,Palestine,4.80,Kaikki,24.353,"[{""stem"":""palestine"",""cooccurrence_sentences"":60,""urdu_sentences"":77,""english_sentences"":79,""observed_rate"":0.77922,""lift"":2366.49}]"
1463,لکھنے,write,4.80,ReadUrdu,22.717,"[{""stem"":""write"",""cooccurrence_sentences"":44,""urdu_sentences"":163,""english_sentences"":293,""observed_rate"":0.26994,""lift"":221.04}]"
1464,نگر,city,4.80,Kaikki,14.818,"[{""stem"":""city"",""cooccurrence_sentences"":29,""urdu_sentences"":1040,""english_sentences"":1956,""observed_rate"":0.02788,""lift"":3.42}]"
1465,وضاحت,clarification,4.80,ReadUrdu,26.17,"[{""stem"":""clarific"",""cooccurrence_sentences"":117,""urdu_sentences"":1077,""english_sentences"":147,""observed_rate"":0.10864,""lift"":177.31}]"
1466,چائے,tea,4.80,Kaikki,26.699,"[{""stem"":""tea"",""cooccurrence_sentences"":107,""urdu_sentences"":164,""english_sentences"":141,""observed_rate"":0.65244,""lift"":1110.18}]"
1467,کہے,say,4.80,ReadUrdu,18.46,"[{""stem"":""say"",""cooccurrence_sentences"":15,""urdu_sentences"":75,""english_sentences"":1189,""observed_rate"":0.2,""lift"":40.36}]"
1468,آفس,office,4.79,ReadUrdu,31.063,"[{""stem"":""office"",""cooccurrence_sentences"":323,""urdu_sentences"":495,""english_sentences"":1266,""observed_rate"":0.65253,""lift"":123.66}]"
1469,ایجنسی,agency,4.79,ReadUrdu,33.209,"[{""stem"":""agency"",""cooccurrence_sentences"":553,""urdu_sentences"":893,""english_sentences"":1693,""observed_rate"":0.61926,""lift"":87.76}]"
1470,بول,speaking,4.79,ReadUrdu,21.686,"[{""stem"":""speak"",""cooccurrence_sentences"":35,""urdu_sentences"":162,""english_sentences"":2240,""observed_rate"":0.21605,""lift"":23.14}]"
1471,بچی,girl,4.79,ReadUrdu,22.946,"[{""stem"":""girl"",""cooccurrence_sentences"":45,""urdu_sentences"":134,""english_sentences"":734,""observed_rate"":0.33582,""lift"":109.77}]"
1472,تباہی,destruction,4.79,ReadUrdu,20.812,"[{""stem"":""destruction"",""cooccurrence_sentences"":29,""urdu_sentences"":183,""english_sentences"":60,""observed_rate"":0.15847,""lift"":633.68}]"
1473,جرمن,German,4.79,ReadUrdu,26.518,"[{""stem"":""german"",""cooccurrence_sentences"":103,""urdu_sentences"":135,""english_sentences"":139,""observed_rate"":0.76296,""lift"":1316.92}]"
1474,جنس,gender,4.79,ReadUrdu,22.652,"[{""stem"":""gender"",""cooccurrence_sentences"":47,""urdu_sentences"":413,""english_sentences"":877,""observed_rate"":0.1138,""lift"":31.13}]"
1475,سروس,service,4.79,ReadUrdu,35.913,"[{""stem"":""service"",""cooccurrence_sentences"":1091,""urdu_sentences"":1605,""english_sentences"":2238,""observed_rate"":0.67975,""lift"":72.87}]"
1476,سفیر,ambassador,4.79,Kaikki,29.704,"[{""stem"":""ambassador"",""cooccurrence_sentences"":232,""urdu_sentences"":344,""english_sentences"":332,""observed_rate"":0.67442,""lift"":487.38}]"
1477,سمجھتا,understand,4.79,ReadUrdu,19.288,"[{""stem"":""understand"",""cooccurrence_sentences"":24,""urdu_sentences"":186,""english_sentences"":1732,""observed_rate"":0.12903,""lift"":17.87}]"
1478,ضمانت,bail,4.79,Kaikki,27.37,"[{""stem"":""bail"",""cooccurrence_sentences"":133,""urdu_sentences"":325,""english_sentences"":162,""observed_rate"":0.40923,""lift"":606.07}]"
1479,فرقہ,religion,4.79,Kaikki,15.78,"[{""stem"":""religion"",""cooccurrence_sentences"":8,""urdu_sentences"":225,""english_sentences"":337,""observed_rate"":0.03556,""lift"":25.31}]"
1480,مزار,shrine,4.79,ReadUrdu,11.62,"[{""stem"":""shrine"",""cooccurrence_sentences"":2,""urdu_sentences"":14,""english_sentences"":26,""observed_rate"":0.14286,""lift"":1318.26}]"
1481,نجات,liberation,4.79,ReadUrdu,13.378,"[{""stem"":""liber"",""cooccurrence_sentences"":4,""urdu_sentences"":200,""english_sentences"":85,""observed_rate"":0.02,""lift"":56.45}]"
1482,نگاہ,look,4.79,Kaikki,14.443,"[{""stem"":""look"",""cooccurrence_sentences"":12,""urdu_sentences"":138,""english_sentences"":1803,""observed_rate"":0.08696,""lift"":11.57}]"
1483,پردہ,curtain,4.79,ReadUrdu,12.545,"[{""stem"":""curtain"",""cooccurrence_sentences"":3,""urdu_sentences"":86,""english_sentences"":116,""observed_rate"":0.03488,""lift"":72.15}]"
1484,کارڈ,card,4.79,Kaikki,33.236,"[{""stem"":""card"",""cooccurrence_sentences"":554,""urdu_sentences"":853,""english_sentences"":729,""observed_rate"":0.64947,""lift"":213.75}]"
1485,ہونگے,will be,4.79,ReadUrdu,15.527,"[{""stem"":""will"",""cooccurrence_sentences"":29,""urdu_sentences"":106,""english_sentences"":15895,""observed_rate"":0.27358,""lift"":4.13}]"
1486,یہودی,Jewish,4.79,ReadUrdu,19.115,"[{""stem"":""jewish"",""cooccurrence_sentences"":16,""urdu_sentences"":38,""english_sentences"":20,""observed_rate"":0.42105,""lift"":5051.01}]"
1487,اصلاح,reform,4.78,Kaikki,28.529,"[{""stem"":""reform"",""cooccurrence_sentences"":179,""urdu_sentences"":438,""english_sentences"":1251,""observed_rate"":0.40868,""lift"":78.38}]"
1488,بہار,spring,4.78,Kaikki,19.69,"[{""stem"":""spring"",""cooccurrence_sentences"":23,""urdu_sentences"":1233,""english_sentences"":73,""observed_rate"":0.01865,""lift"":61.31}]"
1489,جامعہ,university,4.78,Kaikki,22.862,"[{""stem"":""univers"",""cooccurrence_sentences"":45,""urdu_sentences"":139,""english_sentences"":1892,""observed_rate"":0.32374,""lift"":41.05}]"
1490,جانور,animal,4.78,Kaikki,22.335,"[{""stem"":""anim"",""cooccurrence_sentences"":40,""urdu_sentences"":148,""english_sentences"":461,""observed_rate"":0.27027,""lift"":140.66}]"
1491,جنم,birth,4.78,Kaikki,21.07,"[{""stem"":""birth"",""cooccurrence_sentences"":31,""urdu_sentences"":241,""english_sentences"":915,""observed_rate"":0.12863,""lift"":33.73}]"
1492,سیاہ,black,4.78,Kaikki,24.944,"[{""stem"":""black"",""cooccurrence_sentences"":69,""urdu_sentences"":115,""english_sentences"":272,""observed_rate"":0.6,""lift"":529.24}]"
1493,شعور,consciousness,4.78,Kaikki,21.781,"[{""stem"":""conscious"",""cooccurrence_sentences"":36,""urdu_sentences"":154,""english_sentences"":64,""observed_rate"":0.23377,""lift"":876.34}]"
1494,عناصر,The elements,4.78,ReadUrdu,25.442,"[{""stem"":""element"",""cooccurrence_sentences"":92,""urdu_sentences"":426,""english_sentences"":221,""observed_rate"":0.21596,""lift"":234.45}]"
1495,محبوب,beloved,4.78,ReadUrdu,14.41,"[{""stem"":""belov"",""cooccurrence_sentences"":5,""urdu_sentences"":32,""english_sentences"":28,""observed_rate"":0.15625,""lift"":1338.86}]"
1496,معصوم,innocent,4.78,Kaikki,19.698,"[{""stem"":""innocent"",""cooccurrence_sentences"":18,""urdu_sentences"":30,""english_sentences"":63,""observed_rate"":0.6,""lift"":2284.98}]"
1497,منسلک,attached,4.78,Kaikki,23.928,"[{""stem"":""attach"",""cooccurrence_sentences"":66,""urdu_sentences"":699,""english_sentences"":245,""observed_rate"":0.09442,""lift"":92.46}]"
1498,پتا,address,4.78,Kaikki,20.684,"[{""stem"":""addres"",""cooccurrence_sentences"":49,""urdu_sentences"":319,""english_sentences"":2689,""observed_rate"":0.15361,""lift"":13.71}]"
1499,آرام,rest,4.77,Kaikki,20.994,"[{""stem"":""rest"",""cooccurrence_sentences"":30,""urdu_sentences"":201,""english_sentences"":313,""observed_rate"":0.14925,""lift"":114.41}]"
1500,اداکار,actor,4.77,ReadUrdu,26.166,"[{""stem"":""actor"",""cooccurrence_sentences"":94,""urdu_sentences"":131,""english_sentences"":191,""observed_rate"":0.71756,""lift"":901.35}]"
1501,برادری,fraternity,4.77,ReadUrdu,24.507,"[{""stem"":""fratern"",""cooccurrence_sentences"":78,""urdu_sentences"":1212,""english_sentences"":124,""observed_rate"":0.06436,""lift"":124.52}]"
1502,بھلا,good,4.77,ReadUrdu,15.501,"[{""stem"":""good"",""cooccurrence_sentences"":12,""urdu_sentences"":79,""english_sentences"":2562,""observed_rate"":0.1519,""lift"":14.22}]"
1503,جائز,permissible,4.77,Kaikki,12.473,"[{""stem"":""permissible"",""cooccurrence_sentences"":3,""urdu_sentences"":157,""english_sentences"":25,""observed_rate"":0.01911,""lift"":183.38}]"
1504,جلسہ,public gathering,4.77,Kaikki,9.873,"[{""stem"":""public"",""cooccurrence_sentences"":25,""urdu_sentences"":194,""english_sentences"":4947,""observed_rate"":0.12887,""lift"":6.25},{""stem"":""gather"",""cooccurrence_sentences"":6,""urdu_sentences"":194,""english_sentences"":709,""observed_rate"":0.03093,""lift"":10.47}]"
1505,جوان,young,4.77,Kaikki,23.417,"[{""stem"":""young"",""cooccurrence_sentences"":54,""urdu_sentences"":247,""english_sentences"":1095,""observed_rate"":0.21862,""lift"":47.9}]"
1506,دیکھی,see,4.77,ReadUrdu,11.185,"[{""stem"":""see"",""cooccurrence_sentences"":10,""urdu_sentences"":319,""english_sentences"":1685,""observed_rate"":0.03135,""lift"":4.46}]"
1507,شراب,liquor,4.77,ReadUrdu,23.3,"[{""stem"":""liquor"",""cooccurrence_sentences"":50,""urdu_sentences"":158,""english_sentences"":55,""observed_rate"":0.31646,""lift"":1380.45}]"
1508,عرض,latitude,4.77,Kaikki,23.289,"[{""stem"":""latitude"",""cooccurrence_sentences"":49,""urdu_sentences"":136,""english_sentences"":78,""observed_rate"":0.36029,""lift"":1108.24}]"
1509,عسکری,military,4.77,ReadUrdu,20.262,"[{""stem"":""military"",""cooccurrence_sentences"":22,""urdu_sentences"":55,""english_sentences"":545,""observed_rate"":0.4,""lift"":176.09}]"
1510,عنوان,title,4.77,ReadUrdu,28.273,"[{""stem"":""title"",""cooccurrence_sentences"":180,""urdu_sentences"":681,""english_sentences"":259,""observed_rate"":0.26432,""lift"":244.85}]"
1511,لباس,clothes,4.77,Kaikki,19.181,"[{""stem"":""cloth"",""cooccurrence_sentences"":18,""urdu_sentences"":76,""english_sentences"":146,""observed_rate"":0.23684,""lift"":389.2}]"
1512,محل,palace,4.77,Kaikki,19.313,"[{""stem"":""palace"",""cooccurrence_sentences"":20,""urdu_sentences"":205,""english_sentences"":45,""observed_rate"":0.09756,""lift"":520.16}]"
1513,ناک,nose,4.77,Kaikki,23.213,"[{""stem"":""nose"",""cooccurrence_sentences"":49,""urdu_sentences"":162,""english_sentences"":58,""observed_rate"":0.30247,""lift"":1251.19}]"
1514,چہرہ,face,4.77,ReadUrdu,21.476,"[{""stem"":""face"",""cooccurrence_sentences"":31,""urdu_sentences"":95,""english_sentences"":665,""observed_rate"":0.32632,""lift"":117.73}]"
1515,کافر,infidel,4.77,Kaikki,14.368,"[{""stem"":""infidel"",""cooccurrence_sentences"":4,""urdu_sentences"":6,""english_sentences"":14,""observed_rate"":0.66667,""lift"":11424.9}]"
1516,گرفتاری,arrest,4.77,ReadUrdu,26.885,"[{""stem"":""arrest"",""cooccurrence_sentences"":113,""urdu_sentences"":163,""english_sentences"":585,""observed_rate"":0.69325,""lift"":284.32}]"
1517,اسٹیڈیم,stadium,4.76,Kaikki,26.91,"[{""stem"":""stadium"",""cooccurrence_sentences"":114,""urdu_sentences"":172,""english_sentences"":127,""observed_rate"":0.66279,""lift"":1252.12}]"
1518,انکشاف,revelation,4.76,Kaikki,15.278,"[{""stem"":""revel"",""cooccurrence_sentences"":7,""urdu_sentences"":232,""english_sentences"":29,""observed_rate"":0.03017,""lift"":249.62}]"
1519,تجزیہ,analysis,4.76,Kaikki,27.205,"[{""stem"":""analysi"",""cooccurrence_sentences"":142,""urdu_sentences"":655,""english_sentences"":575,""observed_rate"":0.21679,""lift"":90.46}]"
1520,جاپان,Japan,4.76,Kaikki,34.366,"[{""stem"":""japan"",""cooccurrence_sentences"":737,""urdu_sentences"":906,""english_sentences"":849,""observed_rate"":0.81347,""lift"":229.88}]"
1521,دبئی,Dubai,4.76,Kaikki,21.936,"[{""stem"":""dubai"",""cooccurrence_sentences"":32,""urdu_sentences"":44,""english_sentences"":50,""observed_rate"":0.72727,""lift"":3489.79}]"
1522,دروازہ,door,4.76,Kaikki,21.518,"[{""stem"":""door"",""cooccurrence_sentences"":30,""urdu_sentences"":73,""english_sentences"":207,""observed_rate"":0.41096,""lift"":476.32}]"
1523,راج,state,4.76,ReadUrdu,23.979,"[{""stem"":""state"",""cooccurrence_sentences"":298,""urdu_sentences"":2165,""english_sentences"":12139,""observed_rate"":0.13764,""lift"":2.72}]"
1524,سرزمین,land,4.76,Kaikki,26.24,"[{""stem"":""land"",""cooccurrence_sentences"":98,""urdu_sentences"":218,""english_sentences"":1269,""observed_rate"":0.44954,""lift"":84.99}]"
1525,سکون,peace,4.76,Kaikki,21.055,"[{""stem"":""peace"",""cooccurrence_sentences"":29,""urdu_sentences"":116,""english_sentences"":764,""observed_rate"":0.25,""lift"":78.51}]"
1526,سینٹر,centre,4.76,Kaikki,35.963,"[{""stem"":""centre"",""cooccurrence_sentences"":1102,""urdu_sentences"":1861,""english_sentences"":2671,""observed_rate"":0.59215,""lift"":53.19}]"
