rank,front,variants,pos_codes,source
412,حل,حل | حَّل,N\CN | V\VP,Al-Said 2023 Table 4
413,بلد,َبلد,N\CN,Al-Said 2023 Table 4
414,ئاعةل,ِّئاعةل,N\CN,Al-Said 2023 Table 4
415,ةداعإ,ةداعإ,N\CN,Al-Said 2023 Table 4
416,حد,حد,N\CN,Al-Said 2023 Table 4
417,يرجو,َيرجو,V\VI,Al-Said 2023 Table 4
418,مؤتمر,مْؤتمر,N\CN,Al-Said 2023 Table 4
419,باب,باب,N\CN,Al-Said 2023 Table 4
420,يفهم,يفهم,V\VI,Al-Said 2023 Table 4
421,ضو,ضو | مو | ع,N\CN,Al-Said 2023 Table 4
422,عقاو,عقاو,N\CN,Al-Said 2023 Table 4
423,ملباق,ملباق,N\CN,Al-Said 2023 Table 4
424,محكةم,مْحكةم,N\CN,Al-Said 2023 Table 4
425,كلمة,كلمة,N\CN,Al-Said 2023 Table 4
426,يتمنى,َيتمَّنى,V\VI,Al-Said 2023 Table 4
427,جزاه,جزاه,N\CN,Al-Said 2023 Table 4
428,سمع,سمع | سِّمع,N\CN | V\VP,Al-Said 2023 Table 4
429,اسمع,اسمع,V\VR,Al-Said 2023 Table 4
430,ترك,ترك | ترََك,N\CN | V\VP,Al-Said 2023 Table 4
431,عريب,عريب,ADJ,Al-Said 2023 Table 4
432,ةدايق,ةدايق,N\CN,Al-Said 2023 Table 4
433,ضل,ضل | ف | َلَّضَف,N\CN | V\VP,Al-Said 2023 Table 4
434,انىهت,انىهت,V\VP,Al-Said 2023 Table 4
435,اطلب,اطلب | َلاط | ب,N\CN | V\VP,Al-Said 2023 Table 4
436,رفض,رفض | رَف | ض,N\CN | V\VP,Al-Said 2023 Table 4
437,حاصب,ِّحاصب | ب | اصح,N\CN | V\VP,Al-Said 2023 Table 4
438,بلغ,َبَلغ | َّلَبغ,V\VP,Al-Said 2023 Table 4
439,صلو,صلو | و,N\CN,Al-Said 2023 Table 4
440,دخلو,دخلو,N\CN,Al-Said 2023 Table 4
441,يملاعة,َّيملاعة,ADJ,Al-Said 2023 Table 4
442,هممة,هممة,N\CN,Al-Said 2023 Table 4
443,مديز,مديز,N\CN,Al-Said 2023 Table 4
444,ةسائر,ةسائر,N\CN,Al-Said 2023 Table 4
445,مجتمع,مْجتمع,N\CN,Al-Said 2023 Table 4
446,لق,َقلب | َلَق | ب | َّلَق,N\CN | V\VP,Al-Said 2023 Table 4
447,رظتني,رظتني,V\VI,Al-Said 2023 Table 4
448,ت,َت | واعن | واعََن | ت,N\CN | V\VP,Al-Said 2023 Table 4
449,عدب,عدْب | عَدَب,N\CN | V\VP,Al-Said 2023 Table 4
450,جزء,جزء,N\CN,Al-Said 2023 Table 4
451,موسم,موسم,N\CN,Al-Said 2023 Table 4
452,صوت,صوت,N\CN,Al-Said 2023 Table 4
453,يود,َيود,V\VI,Al-Said 2023 Table 4
454,قماي,ِّقماي,N\CN,Al-Said 2023 Table 4
455,يجراخة,َّيجراخة,ADJ,Al-Said 2023 Table 4
456,ذكر,ذكر,N\CN,Al-Said 2023 Table 4
457,ذكر,َذكر | حدثي,V\VP | ADJ,Al-Said 2023 Table 4
458,ظهر,ظهر | ُظهر,N\CN | V\VP,Al-Said 2023 Table 4
459,عددي,عددي,N\CN,Al-Said 2023 Table 4
460,نأك,نأك,P\PO,Al-Said 2023 Table 4
461,لحةظ,َلْحةظ,N\CN,Al-Said 2023 Table 4
462,حراو,ِّحراو,N\CN,Al-Said 2023 Table 4
463,راعافت,راعافت,N\CN,Al-Said 2023 Table 4
464,ران,ران,N\CN,Al-Said 2023 Table 4
465,لواح,َلواح | احول,V\VP | V\VR,Al-Said 2023 Table 4
466,دني,دني | نْيَد,N\CN,Al-Said 2023 Table 4
467,دوير,َدوير,N\CN,Al-Said 2023 Table 4
468,يبحث,َيبحث,V\VI,Al-Said 2023 Table 4
469,يعيط,ُيعيط,V\VI,Al-Said 2023 Table 4
470,ةياغ,ةياغ,N\CN,Al-Said 2023 Table 4
471,تقدمي,تقدمي,N\CN,Al-Said 2023 Table 4
472,دفع,َدفع | َفَدع,N\CN | V\VP,Al-Said 2023 Table 4
473,داع,َداع,V\VP,Al-Said 2023 Table 4
474,موفق,موفق,N\CN,Al-Said 2023 Table 4
475,ريشا,ريشا | م,N\CN,Al-Said 2023 Table 4
476,نتفذي,نتفذي,N\CN,Al-Said 2023 Table 4
477,صد,صد | يق,V\VI,Al-Said 2023 Table 4
478,يذكر,يذكر,V\VI,Al-Said 2023 Table 4
479,كذير,كَذُيرِّ | سملا,V\VI | N\CN,Al-Said 2023 Table 4
480,ءاقدصأ,ءاقدصأ,N\CN,Al-Said 2023 Table 4
481,وحةد,وْحةد,N\CN,Al-Said 2023 Table 4
482,قديم,َقديم,ADJ,Al-Said 2023 Table 4
483,زأةم,زأةم,N\CN,Al-Said 2023 Table 4
484,تريرق,تريرق,N\CN,Al-Said 2023 Table 4
485,لعمامو,ُلعمامو | ت,N\CN,Al-Said 2023 Table 4
486,مإناك,مإناك,N\CN,Al-Said 2023 Table 4
487,نةجيت,َنةجيت,N\CN,Al-Said 2023 Table 4
488,موقع,موِّقع,N\CN,Al-Said 2023 Table 4
489,مسءا,مسءا,ADV,Al-Said 2023 Table 4
490,ملاج,ملاج,N\CN,Al-Said 2023 Table 4
491,وسط,وسط | سط | و,N\CN,Al-Said 2023 Table 4
492,جمعيا,جِّمًعيا,N\CN,Al-Said 2023 Table 4
493,موت,موت,N\CN,Al-Said 2023 Table 4
494,شعر,شعر | شَعر,N\CN | V\VP,Al-Said 2023 Table 4
495,دعاف,دعاف,N\CN,Al-Said 2023 Table 4
496,درةج,َدرةج,N\CN,Al-Said 2023 Table 4
497,تالاص,تالاص,N\CN,Al-Said 2023 Table 4
498,عشر,عشر | ُعشر,N\CNU,Al-Said 2023 Table 4
499,سلاؤ,سلاؤ,N\CN,Al-Said 2023 Table 4
500,كملا,كملا,N\CN,Al-Said 2023 Table 4
501,كأس,كأس,N\CN,Al-Said 2023 Table 4
502,جعل,جعَل,V\VP,Al-Said 2023 Table 4
503,طلاو,طلاو,ADV,Al-Said 2023 Table 4
504,خ,خ | طة,N\CN,Al-Said 2023 Table 4
505,مىت,مىت,P\QU,Al-Said 2023 Table 4
506,ضبط,ضبط | ضَب | ط,N\CN | V\VP,Al-Said 2023 Table 4
507,ثأءان,ْثأءان,ADV,Al-Said 2023 Table 4
508,و,و | طِّنَّية,ADJ,Al-Said 2023 Table 4
509,معرةف,معرةف,N\CN,Al-Said 2023 Table 4
510,بناي,َبناي,N\CN,Al-Said 2023 Table 4
511,قرر,َقرر,V\VP,Al-Said 2023 Table 4
512,عدي,عدي,N\CN,Al-Said 2023 Table 4
513,زوج,َزوج,N\CN | V\VP,Al-Said 2023 Table 4
514,عتلمي,عتلمي,N\CN,Al-Said 2023 Table 4
515,خأط,خأط,N\CN,Al-Said 2023 Table 4
516,تريوط,تريوط,N\CN,Al-Said 2023 Table 4
517,عدة,عَّدة | ةَّدُع,N\CN,Al-Said 2023 Table 4
518,ضو,ضو | ُع,N\CN,Al-Said 2023 Table 4
519,فتح,َفْتح | تَفحَ,N\CN | V\VP,Al-Said 2023 Table 4
520,تام,َتام,V\VP,Al-Said 2023 Table 4
521,دغا,ًدغا,ADV,Al-Said 2023 Table 4
522,عظمي,عِّظمي,ADJ,Al-Said 2023 Table 4
523,كشف,كشف | فَ | كش,N\CN | V\VP,Al-Said 2023 Table 4
524,ةقاط,ةقاط,N\CN,Al-Said 2023 Table 4
525,يعتبر,ُيعتَبر | َيعتبر,V\VI,Al-Said 2023 Table 4
526,اعد,اعد,V\VP,Al-Said 2023 Table 4
527,خلف,خلف | خَل | ف | َّلَخ,ADV | V\VP,Al-Said 2023 Table 4
528,شرق,شرق,N\CN,Al-Said 2023 Table 4
529,يلخادة,َّيلخادة,ADJ,Al-Said 2023 Table 4
530,ضمن,ضمن | ضَنِّم,ADV | V\VP,Al-Said 2023 Table 4
531,تاقاف,تاقاف,N\CN,Al-Said 2023 Table 4
532,مهاي,ِّمهاي,N\CN,Al-Said 2023 Table 4
533,مست,مست | ش | ىف,N\CN,Al-Said 2023 Table 4
534,إنناس,إنناس,N\CN,Al-Said 2023 Table 4
535,أع,أع | طى,V\VP,Al-Said 2023 Table 4
536,ألم,ألم | أمَل,N\CN | P\PO,Al-Said 2023 Table 4
537,من,مَن | ظةم,N\CN,Al-Said 2023 Table 4
538,بتك,بُتُك | ب | كت,N\CN | V\VP,Al-Said 2023 Table 4
539,ضرو,ضرو | ح,N\CN,Al-Said 2023 Table 4
540,رفع,رفع | رَفع,N\CN | V\VP,Al-Said 2023 Table 4
541,لعب,َلعب | عَل | بِّ,N\CN | V\VP,Al-Said 2023 Table 4
542,خرجو,خرجو,N\CN,Al-Said 2023 Table 4
543,جةه,جةه,N\CN,Al-Said 2023 Table 4
544,رةلاس,رةلاس,N\CN,Al-Said 2023 Table 4
545,اسمادخت,اسمادخت,N\CN,Al-Said 2023 Table 4
546,سلةط,ُسلةط | سةطَل,N\CN,Al-Said 2023 Table 4
547,ضررو,ضررو | ة,N\CN,Al-Said 2023 Table 4
548,يدخل,َيْدخل,V\VI,Al-Said 2023 Table 4
549,خديل,ِّخْدُيل | ممكن,V\VI | ADJ,Al-Said 2023 Table 4
550,نجئات,َنجئات,N\CN,Al-Said 2023 Table 4
551,مدرب,مَدرب,N\CN,Al-Said 2023 Table 4
552,يترك,َيْترك,V\VI,Al-Said 2023 Table 4
553,فهم,فهم | َفهم,N\CN | V\VP,Al-Said 2023 Table 4
554,يساسأ,يساسأ,ADJ,Al-Said 2023 Table 4
555,أشاخ,أشاخ | ص,N\CN,Al-Said 2023 Table 4
556,جنبو,جُنبو,N\CN,Al-Said 2023 Table 4
557,يسمع,َيسمع,V\VI,Al-Said 2023 Table 4
558,سجن,سْجن | سنْج | سجَن,N\CN | V\VP,Al-Said 2023 Table 4
559,تحددي,تْحددي,N\CN,Al-Said 2023 Table 4
560,و,و | طن,N\CN,Al-Said 2023 Table 4
561,ظل,ِّظل | ظَّل,N\CN | V\VP,Al-Said 2023 Table 4
562,ولد,ولد | وَدَل,N\CN | V\VP,Al-Said 2023 Table 4
563,إعنلا,إعنلا,N\CN,Al-Said 2023 Table 4
564,عراش,عراش,N\CN,Al-Said 2023 Table 4
565,جوةل,جوةل,N\CN,Al-Said 2023 Table 4
566,ينيهت,َينيهت,V\VI,Al-Said 2023 Table 4
567,تغريي,تغريي,N\CN,Al-Said 2023 Table 4
568,مأني,ِّمأني | َقْدر,ADJ | N\CN,Al-Said 2023 Table 4
569,دقر,رَدَق | دَقرِّ | َدَقر,N\CN | V\VP,Al-Said 2023 Table 4
570,يحمل,دَقرَّ | يْحِّمل | ُيحمل,V\VP | V\VI,Al-Said 2023 Table 4
571,يلعب,يلعب,V\VI,Al-Said 2023 Table 4
572,ضع,ضع | ي,V\VI,Al-Said 2023 Table 4
573,ياسعد,ُياسعد,V\VI,Al-Said 2023 Table 4
574,يمتو,َيمتو,V\VI,Al-Said 2023 Table 4
575,خط,خط,N\CN,Al-Said 2023 Table 4
576,تاهف,ِّتاهف | فَ | تاه,N\CN | V\VP,Al-Said 2023 Table 4
577,عتاقلا,عتاقلا,N\CN,Al-Said 2023 Table 4
578,عرف,عرف | ف | عر,N\CN | V\VP,Al-Said 2023 Table 4
579,أخ,أخ,N\CN,Al-Said 2023 Table 4
580,ماوجةه,ماوجةه,N\CN,Al-Said 2023 Table 4
581,بنك,َبنك,N\CN,Al-Said 2023 Table 4
582,حرية,حرَّية,N\CN,Al-Said 2023 Table 4
583,خدةم,ِّخْدةم,N\CN,Al-Said 2023 Table 4
584,حددو,حددو,N\CN,Al-Said 2023 Table 4
585,مىد,مىد,N\CN,Al-Said 2023 Table 4
586,ليل,َليل,N\CN,Al-Said 2023 Table 4
587,يملك,َيملك,V\VI,Al-Said 2023 Table 4
588,إعملا,إعملا,N\CN,Al-Said 2023 Table 4
589,أية,أَّية,N\CN,Al-Said 2023 Table 4
590,ةرايز,ةرايز,N\CN,Al-Said 2023 Table 4
591,مرةأ,مرةأ,N\CN,Al-Said 2023 Table 4
592,صحة,صحة,N\CN,Al-Said 2023 Table 4
593,سةب,سةب | مان | مةبِّسان | قسم,N\CN | ADJ,Al-Said 2023 Table 4
594,ق,َق | سم,N\CN | V\VP,Al-Said 2023 Table 4
595,سقم,سَقمَّ | ِّئاقةم,N\CN | V\VP,Al-Said 2023 Table 4
596,ملكاش,ملكاش,N\CN,Al-Said 2023 Table 4
597,غبير,غبير,ADJ,Al-Said 2023 Table 4
598,حققو,حُققو,N\CN,Al-Said 2023 Table 4
599,جميعة,جمَّيعة,N\CN,Al-Said 2023 Table 4
600,بيع,بيع,N\CN,Al-Said 2023 Table 4
601,لاحيا,لاحيا,ADV,Al-Said 2023 Table 4
602,ءاجر,ءاجر,N\CN,Al-Said 2023 Table 4
603,ضر,ضر | ْحأ,V\VP,Al-Said 2023 Table 4
604,سيء,سيء,ADJ,Al-Said 2023 Table 4
605,سلاح,سلاح,N\CN,Al-Said 2023 Table 4
606,طلب,طُلب | ي,V\VI,Al-Said 2023 Table 4
607,طانمق,ِّطانمق,N\CN,Al-Said 2023 Table 4
608,ص,ص | شخ | َّية,N\CN,Al-Said 2023 Table 4
609,يضاير,يضاير,ADJ,Al-Said 2023 Table 4
610,يتذكر,َيتَذكر,V\VI,Al-Said 2023 Table 4
611,ءادأ,ءادأ,N\CN,Al-Said 2023 Table 4
612,مؤسةس,مؤَّسةس,N\CN,Al-Said 2023 Table 4
613,سعر,سعر | سَّعر,N\CN | V\VP,Al-Said 2023 Table 4
614,تارجع,تارجع | تارَجع,N\CN | V\VP,Al-Said 2023 Table 4
615,مهأية,مهأَّية,N\CN,Al-Said 2023 Table 4
616,ضاوح,ضاوح,ADJ,Al-Said 2023 Table 4
617,حأناي,ْحأناي,N\CN,Al-Said 2023 Table 4
618,جةمير,جةمير,N\CN,Al-Said 2023 Table 4
619,مؤكد,مؤكد | كؤاًد | م,ADJ | N\CN,Al-Said 2023 Table 4
620,تأى,تأى,V\VP,Al-Said 2023 Table 4
621,يلاح,يلاح,ADJ,Al-Said 2023 Table 4
622,يدفع,يْدَفع,V\VI,Al-Said 2023 Table 4
623,يلات,يلات,ADJ,Al-Said 2023 Table 4
624,ةماقإ,ةماقإ,N\CN,Al-Said 2023 Table 4
625,إنجات,إنجات,N\CN,Al-Said 2023 Table 4
626,عما,ًعما,N\CN,Al-Said 2023 Table 4
627,أ,َأ | طَلَق,V\VP,Al-Said 2023 Table 4
628,أنتم,أنتم,PRO,Al-Said 2023 Table 4
629,حةيام,ِّحةيام,N\CN,Al-Said 2023 Table 4
630,صور,صور,N\CN | V\VP,Al-Said 2023 Table 4
631,يتكلم,يتكلم,V\VI,Al-Said 2023 Table 4
632,حإىد,ْحإىد,N\CNU,Al-Said 2023 Table 4
633,فوق,َفوق,ADV,Al-Said 2023 Table 4
634,سىو,سىو,P\EX,Al-Said 2023 Table 4
635,سجل,سجل | سَلَّج,N\CN | V\VP,Al-Said 2023 Table 4
636,وحده,وْحَده,N\CN,Al-Said 2023 Table 4
637,نءاس,ِّنءاس,N\CN,Al-Said 2023 Table 4
638,صة,صة | ِّق,N\CN,Al-Said 2023 Table 4
639,خذ,خْذ,V\VR,Al-Said 2023 Table 4
640,طببي,طببي,N\CN,Al-Said 2023 Table 4
641,شةر,شةر | ماب | مةرِّشاب,N\CN | ADJ,Al-Said 2023 Table 4
642,جمهرو,جمهرو | َّية,N\CN,Al-Said 2023 Table 4
643,بأس,َبأس,N\CN,Al-Said 2023 Table 4
644,أشهر,أشهر | لِّمك,N\CN | V\VP,Al-Said 2023 Table 4
645,مكل,ملك | مكَل | مَكَل,N\CN | V\VP,Al-Said 2023 Table 4
646,مكل,مَكَّل | َقءاض,N\CN | V\VP,Al-Said 2023 Table 4
647,دةسار,دةسار,N\CN,Al-Said 2023 Table 4
648,كأتد,كأتد | م,ADJ,Al-Said 2023 Table 4
649,سةساي,سةساي,N\CN,Al-Said 2023 Table 4
650,صعب,صعب | ب | صع,ADJ | V\VP,Al-Said 2023 Table 4
651,دخل,َدخل | َلَخَد,N\CN | V\VP,Al-Said 2023 Table 4
652,يقتل,َيقتل,V\VI,Al-Said 2023 Table 4
653,يملاع,يملاع,ADJ,Al-Said 2023 Table 4
654,أمم,أمم,N\CN,Al-Said 2023 Table 4
655,أمل,أمل,N\CN,Al-Said 2023 Table 4
656,عاتراب,عاتراب,N\CN,Al-Said 2023 Table 4
657,نيئاه,ِّنيئاه,ADJ,Al-Said 2023 Table 4
658,مةئ,ِّمةئ,N\CNU,Al-Said 2023 Table 4
659,تنظمي,تنِّظمي,N\CN,Al-Said 2023 Table 4
660,نحاج,َنحاج,N\CN,Al-Said 2023 Table 4
661,دوةر,َدوةر,N\CN,Al-Said 2023 Table 4
662,لعةب,ُلعةب,N\CN,Al-Said 2023 Table 4
663,رد,رد | رَّد,N\CN | V\VP,Al-Said 2023 Table 4
664,تنمةي,تنِّمةي,N\CN,Al-Said 2023 Table 4
665,اهتمام,اهِّتمام,N\CN,Al-Said 2023 Table 4
666,راطإ,راطإ,N\CN,Al-Said 2023 Table 4
667,أمنةي,أمنةي,N\CN,Al-Said 2023 Table 4
668,مسؤلو,مسؤلو,N\CN,Al-Said 2023 Table 4
669,ئاقد,ِّئاقد,N\CN,Al-Said 2023 Table 4
670,ماصدر,ماصدر,N\CN,Al-Said 2023 Table 4
671,وقع,وقع | وَقع | وَّقع,N\CN | V\VP,Al-Said 2023 Table 4
672,راباي,راباي | م | ت,N\CN,Al-Said 2023 Table 4
673,حلاق,ِّحلاق | لاحَق,ADJ | V\VP,Al-Said 2023 Table 4
674,صل,صَل | تا | صل,V\VP | V\VR,Al-Said 2023 Table 4
675,واحةل,واحةل | م,N\CN,Al-Said 2023 Table 4
676,كون,كون | كوََن,N\CN | V\VP,Al-Said 2023 Table 4
677,دارأ,َدارأ,V\VP,Al-Said 2023 Table 4
678,ةباصإ,ةباصإ,N\CN,Al-Said 2023 Table 4
679,عشةر,عشةر,N\CNU | N\CN,Al-Said 2023 Table 4
680,مهام,مهام,P\PO,Al-Said 2023 Table 4
681,يمثل,ُيمثل,V\VI,Al-Said 2023 Table 4
682,تخاراي,ِّتخاراي,N\CN,Al-Said 2023 Table 4
683,شهد,شهد,V\VP,Al-Said 2023 Table 4
684,ءارجإ,ءارجإ,N\CN,Al-Said 2023 Table 4
685,صحةفي,صِّحةفي,N\CN,Al-Said 2023 Table 4
686,تساارم,ِّتساارم | ر,N\CN,Al-Said 2023 Table 4
687,شلام,شلام | لامَش,N\CN,Al-Said 2023 Table 4
688,فكر,فكر | َفكر,N\CN | V\VP,Al-Said 2023 Table 4
689,شءار,شءار,N\CN,Al-Said 2023 Table 4
690,نةباي,ِّنةباي,N\CN,Al-Said 2023 Table 4
691,موعد,موعد,N\CN,Al-Said 2023 Table 4
692,ءام,ءام,N\CN,Al-Said 2023 Table 4
693,يتعلق,َيتَعَّلق,V\VI,Al-Said 2023 Table 4
694,عامتجا,عامتجا | ي,ADJ,Al-Said 2023 Table 4
695,ماةأر,ماةأر,N\CN,Al-Said 2023 Table 4
696,أسهم,أسهم,N\CN | V\VP,Al-Said 2023 Table 4
697,جأهزة,ْجأهزة,N\CN,Al-Said 2023 Table 4
698,بدء,َبْدء,N\CN,Al-Said 2023 Table 4
699,جلةس,جلةس,N\CN,Al-Said 2023 Table 4
700,لايلاز,لايلاز,V\VI,Al-Said 2023 Table 4
701,رسمي,رسِّمي,ADJ,Al-Said 2023 Table 4
702,ريثأت,ريثأت,N\CN,Al-Said 2023 Table 4
703,لقب,َلَقب | َّقَل | ب,N\CN | V\VP,Al-Said 2023 Table 4
704,فرق,َفرق | فرِّق | َفرَق,N\CN | V\VP,Al-Said 2023 Table 4
705,هجمو,ُهجمو,N\CN,Al-Said 2023 Table 4
706,ابةن,ابةن,N\CN,Al-Said 2023 Table 4
707,يستمر,َيستِّمر,V\VI,Al-Said 2023 Table 4
708,لطفي,َلِّطفي,ADJ,Al-Said 2023 Table 4
709,يهتم,َيهتم,V\VI,Al-Said 2023 Table 4
710,ذإ,ْذإ,ADV,Al-Said 2023 Table 4
711,ءانبأ,ءانبأ,N\CN,Al-Said 2023 Table 4
712,غرب,غرب,N\CN,Al-Said 2023 Table 4
713,مأتني,ِّمأتني,N\CN,Al-Said 2023 Table 4
714,يعرض,يعرض | ُيعرض,V\VI,Al-Said 2023 Table 4
715,عرب,عرب,V\VI | N\CN,Al-Said 2023 Table 4
716,اصلح,اصلح,ADJ,Al-Said 2023 Table 4
717,مسبلا,مسبلا,N\CN,Al-Said 2023 Table 4
718,تحرك,تحرك | تحرَك,N\CN | V\VP,Al-Said 2023 Table 4
719,بدل,َبَدل | َلَّدَب,N\CN | V\VP,Al-Said 2023 Table 4
720,ئاطةر,ِّئاطةر,N\CN,Al-Said 2023 Table 4
721,جةعام,جةعام,N\CN,Al-Said 2023 Table 4
722,صدر,صَدر | م,N\CN,Al-Said 2023 Table 4
723,مع,مع | ظم,N\CN,Al-Said 2023 Table 4
724,لاهأ,لاهأ | ق | طع,N\CN,Al-Said 2023 Table 4
725,ق,ِّق | طع | َق,N\CN | V\VP,Al-Said 2023 Table 4
726,مفاوةق,مَفاوةق | مِّفاوقة,V\VP | N\CN | ADJ,Al-Said 2023 Table 4
727,خأراب,خأراب,N\CN,Al-Said 2023 Table 4
728,ماحفةظ,ماحفةظ | مةظِّفاح,N\CN | ADJ,Al-Said 2023 Table 4
729,خ,خ | طر,N\CN,Al-Said 2023 Table 4
730,صندقو,صندقو,N\CN,Al-Said 2023 Table 4
731,جةريز,جةريز,N\CN,Al-Said 2023 Table 4
732,صدق,صدق | َي,V\VI,Al-Said 2023 Table 4
733,قىو,ُقىو,N\CN,Al-Said 2023 Table 4
734,دم,َدم,N\CN,Al-Said 2023 Table 4
735,اجئةز,اجئةز,N\CN,Al-Said 2023 Table 4
736,حكموي,حُكِّموي,ADJ,Al-Said 2023 Table 4
737,ي,َي | ظهر | ي | ظُهر,V\VI,Al-Said 2023 Table 4
738,وءار,وءار,ADV,Al-Said 2023 Table 4
739,احدث,احدث | َثَداح,N\CN | V\VP,Al-Said 2023 Table 4
740,نطاق,نطاق,N\CN,Al-Said 2023 Table 4
741,انتراظ,انتراظ,N\CN,Al-Said 2023 Table 4
742,اقعةد,اقعةد,N\CN,Al-Said 2023 Table 4
743,حظ,حظ,N\CN,Al-Said 2023 Table 4
744,مهم,مهم,ADJ,Al-Said 2023 Table 4
745,تاعمل,تاعمل | تعامَل,N\CN | V\VP,Al-Said 2023 Table 4
746,ثةفاق,ثةفاق,N\CN,Al-Said 2023 Table 4
747,جإاءار,ْجإاءار | ت,N\CN,Al-Said 2023 Table 4
748,قاياض,َقاياض,N\CN,Al-Said 2023 Table 4
749,طماع,طماع,N\CN,Al-Said 2023 Table 4
750,سءاو,سءاو,N\CN,Al-Said 2023 Table 4
751,يسمح,َيسمح,V\VI,Al-Said 2023 Table 4
752,أهفاد,أهفاد,N\CN,Al-Said 2023 Table 4
753,يسلأ,َيسلأ,V\VI,Al-Said 2023 Table 4
754,ملعب,ملعب,N\CN,Al-Said 2023 Table 4
755,دئاقق,َدِّئاقق,N\CN,Al-Said 2023 Table 4
756,فعلا,ِّفعلا,N\CN,Al-Said 2023 Table 4
757,عسكر,عسكر | َّية,ADJ,Al-Said 2023 Table 4
758,معرض,معرض | مَعرض,N\CN | ADJ,Al-Said 2023 Table 4
759,بءاق,بءاق,N\CN,Al-Said 2023 Table 4
760,تالااص,تالااص | ت,N\CN,Al-Said 2023 Table 4
761,حفل,حفل,N\CN,Al-Said 2023 Table 4
762,شنوؤ,ُشنوؤ,N\CN,Al-Said 2023 Table 4
763,حجم,حْجم,N\CN,Al-Said 2023 Table 4
764,غب,غب | َير,V\VI,Al-Said 2023 Table 4
765,زمن,َزمن,N\CN,Al-Said 2023 Table 4
766,سةملا,سةملا,N\CN,Al-Said 2023 Table 4
767,حي,حي,N\CN,Al-Said 2023 Table 4
768,حلاوي,حَلاوي,ADV,Al-Said 2023 Table 4
769,طرق,ُطرق | طرَق,N\CN | V\VP,Al-Said 2023 Table 4
770,أسرع,أسرع | ع | سأرْ,N\CN | V\VP,Al-Said 2023 Table 4
771,توفير,توِّفير,N\CN,Al-Said 2023 Table 4
772,صاح,صاح | أ | ب,N\CN,Al-Said 2023 Table 4
773,استرامث,استرامث,N\CN,Al-Said 2023 Table 4
774,مسلوؤ,مسلوؤ | َّية,N\CN,Al-Said 2023 Table 4
775,اكفة,اكفة,N\CN,Al-Said 2023 Table 4
776,أدى,أَّدى,V\VP,Al-Said 2023 Table 4
777,مسلوم,مسلوم | ن,N\CN,Al-Said 2023 Table 4
778,سقاب,سقاب,N\CN,Al-Said 2023 Table 4
779,زجاو,َزجاو,N\CN,Al-Said 2023 Table 4
780,كؤد,كؤد | ُي,V\VI,Al-Said 2023 Table 4
781,ثةق,ِّثةق,N\CN,Al-Said 2023 Table 4
782,تجةبر,تْجةبر,N\CN,Al-Said 2023 Table 4
783,رحو,رحو,N\CN,Al-Said 2023 Table 4
784,اعتبر,اعتَبر | اعتبر,V\VP,Al-Said 2023 Table 4
785,نفط,َنفط,N\CN,Al-Said 2023 Table 4
786,تيرقبا,تيرقبا,N\CN,Al-Said 2023 Table 4
787,إنءاش,إنءاش,N\CN,Al-Said 2023 Table 4
788,يقلق,َيقَلق | ُيققِّل,V\VI,Al-Said 2023 Table 4
789,صل,صل | تي,V\VI,Al-Said 2023 Table 4
790,رحةل,رْحةل,N\CN,Al-Said 2023 Table 4
791,نآةس,ِّنآةس,N\CN,Al-Said 2023 Table 4
792,استمر,استمر | استرِّمَ,V\VP | V\VR,Al-Said 2023 Table 4
793,أسفل,أسَفل,N\CN,Al-Said 2023 Table 4
794,يتعلم,َيتَعَّلم,V\VI,Al-Said 2023 Table 4
795,جو,جو,N\CN,Al-Said 2023 Table 4
796,أسلةح,أسلةح,N\CN,Al-Said 2023 Table 4
797,صدر,صْدر | صَدر | صدرَّ,N\CN | V\VP,Al-Said 2023 Table 4
798,نوم,َنوم,N\CN,Al-Said 2023 Table 4
799,صةعان,صةعان,N\CN,Al-Said 2023 Table 4
800,تريرح,تريرح,N\CN,Al-Said 2023 Table 4
801,طلاب,ُطلاب,N\CN,Al-Said 2023 Table 4
802,يرقبا,يرقبا,ADV,Al-Said 2023 Table 4
803,تفى,تفى,N\CN,Al-Said 2023 Table 4
804,يوق,يوق,ADJ,Al-Said 2023 Table 4
805,ةياعر,ةياعر,N\CN,Al-Said 2023 Table 4
806,تبيرد,تبيرد,N\CN,Al-Said 2023 Table 4
807,وفد,وفد | وَدَف,N\CN | V\VP,Al-Said 2023 Table 4
808,تاهاج,تاهاج,N\CN,Al-Said 2023 Table 4
809,ت,َت | وانل | وانََل | ت,N\CN | V\VP,Al-Said 2023 Table 4
810,وقف,وقف | وَق | ف,N\CN | V\VP,Al-Said 2023 Table 4
811,سل,سَل | رأ,V\VP,Al-Said 2023 Table 4
812,ضم,ضم | َي,V\VI,Al-Said 2023 Table 4
813,مررو,مررو,N\CN,Al-Said 2023 Table 4
814,باش,باش,N\CN | V\VP,Al-Said 2023 Table 4
815,خرج,خرج,V\VP,Al-Said 2023 Table 4
816,يتوقع,َيتوَّقع,V\VI,Al-Said 2023 Table 4
817,يقدم,ُيَقدم,V\VI,Al-Said 2023 Table 4
818,نمو,ُنمو,N\CN,Al-Said 2023 Table 4
819,ثوةر,ثوةر,N\CN,Al-Said 2023 Table 4
820,مألاو,مألاو,N\CN,Al-Said 2023 Table 4
821,يفكي,يفكي,V\VI,Al-Said 2023 Table 4
