frequency,front,kaikki_meaning,reason
580870,عثور,verbal noun of عَثَرَ (ʕaṯara) (form I),no_calima_kaikki_semantic_agreement
579460,مضى,"to sign; to be sharp; to pass, be past",no_calima_kaikki_semantic_agreement
576387,أربع,,no_kaikki_semantic_entry
575055,مواصفة,,no_kaikki_semantic_entry
574421,هائل,"tremendous; enormous, gigantic; awe-inspiring, terrifying",no_calima_kaikki_semantic_agreement
573361,مشهور,famous,no_calima_kaikki_semantic_agreement
572291,بكالوريا,A bachelor's degree,no_calima_kaikki_semantic_agreement
571618,نسب,"parentage; noble descent; descent, birth",no_calima_kaikki_semantic_agreement
571551,أرضية,"floor (“lower part of a room”); feminine singular of أَرْضِيّ (ʔarḍiyy); female equivalent of أَرْضِيّ (ʔarḍiyy, “Terran, Earthling”)",no_calima_kaikki_semantic_agreement
569643,تأهيل,,no_kaikki_semantic_entry
569494,تعرف,"to recognize; to trace, to discover; to become acquainted, with, to meet",no_calima_kaikki_semantic_agreement
566370,تي,,no_kaikki_semantic_entry
565142,باسيل,,no_kaikki_semantic_entry
565014,متكامل,"integrated, holistic",no_calima_kaikki_semantic_agreement
563786,خفيف,"imbecile; weak, feeble; insignificant",no_calima_kaikki_semantic_agreement
563546,مزرع,"field, farmland",no_calima_kaikki_semantic_agreement
562290,قصد,purport; to aim at; to be fat,no_calima_kaikki_semantic_agreement
561123,خفض,humiliation; oblique case; to bend wood,no_calima_kaikki_semantic_agreement
560528,فرنك,,no_kaikki_semantic_entry
560514,خالي,,no_kaikki_semantic_entry
557978,منظومة,poem; system,no_calima_kaikki_semantic_agreement
555253,جل,bulky; great; outstanding,no_calima_kaikki_semantic_agreement
555097,قل,"to carry; to raise; to be few, to be little",no_calima_kaikki_semantic_agreement
554704,إعطاء,"giving, providing; verbal noun of أَعْطَى (ʔaʕṭā) (form IV)",no_calima_kaikki_semantic_agreement
551510,إيقاف,verbal noun of أَوْقَفَ (ʔawqafa) (form IV),no_calima_kaikki_semantic_agreement
550460,مجموع,"united; reconciled; sum, crowd",no_calima_kaikki_semantic_agreement
548632,فتنة,charm; craze; crime,no_calima_kaikki_semantic_agreement
548469,مستلزم,,no_kaikki_semantic_entry
548415,سلطان,sultan; authority; justification,no_calima_kaikki_semantic_agreement
547168,ضمانة,,no_kaikki_semantic_entry
545605,برى,,no_kaikki_semantic_entry
542933,إقرار,bond; sanction; confession,no_calima_kaikki_semantic_agreement
540159,تسرب,"to leak out, to flow off, to seep; verbal noun of تَسَرَّبَ (tasarraba) (form V)",no_calima_kaikki_semantic_agreement
539251,بوكس,,no_kaikki_semantic_entry
534909,صلب,loins; steel; to crucify,no_calima_kaikki_semantic_agreement
533953,رؤى,a female given name,no_calima_kaikki_semantic_agreement
533122,بخاري,,no_kaikki_semantic_entry
531697,خطورة,,no_kaikki_semantic_entry
529684,شاتي,,no_kaikki_semantic_entry
529321,معاناة,,no_kaikki_semantic_entry
527725,ظلم,"to become dark; to be in the least unjust; to wrong, to treat unjustly, to oppress",no_calima_kaikki_semantic_agreement
526883,سينمائي,cinematic,no_calima_kaikki_semantic_agreement
526022,سماك,fishmonger; a lower-tier provincial official assisting in tax-gathering,no_calima_kaikki_semantic_agreement
525759,مدخل,door; input; influence,no_calima_kaikki_semantic_agreement
523591,ناشط,,no_kaikki_semantic_entry
522708,جدل,"member, limb; argument, dispute; hard, strong, firm",no_calima_kaikki_semantic_agreement
521168,كلف,amorousness; amorously attracted; pains and care taken,no_calima_kaikki_semantic_agreement
520600,إثارة,verbal noun of أَثَارَ (ʔaṯāra) (form IV),no_calima_kaikki_semantic_agreement
518485,تخصص,"to specialize in, to get designated or allocated",no_calima_kaikki_semantic_agreement
514582,مشتري,Jovian,no_calima_kaikki_semantic_agreement
513373,فائز,lintel; victor; conqueror,no_calima_kaikki_semantic_agreement
511867,تفجير,explosion; verbal noun of فَجَّرَ (fajjara) (form II),no_calima_kaikki_semantic_agreement
510946,مكرم,"honoured, venerated, exalted",no_calima_kaikki_semantic_agreement
510869,لاس,,no_kaikki_semantic_entry
510598,مصرفي,,no_kaikki_semantic_entry
506519,والي,,no_kaikki_semantic_entry
505431,توسيع,"enlargement; extension, expanding; making (something) spacious",no_calima_kaikki_semantic_agreement
503452,صدور,verbal noun of صَدَرَ (ṣadara) (form I),no_calima_kaikki_semantic_agreement
502312,إحياء,"verbal noun of أَحْيَا (ʔaḥyā) (form IV); revival, vitalization, revivification, reanimation",no_calima_kaikki_semantic_agreement
502209,تسع,one ninth,no_calima_kaikki_semantic_agreement
501388,مؤكد,,no_kaikki_semantic_entry
499450,حقيبة,bag,no_calima_kaikki_semantic_agreement
498151,شعاع,"radius; ray, beam; crossbar, spoke etc",no_calima_kaikki_semantic_agreement
497025,معي,,no_kaikki_semantic_entry
495160,نادى,to call; to shout; to invite,no_calima_kaikki_semantic_agreement
490998,فك,jaw; to decipher; to disassemble,no_calima_kaikki_semantic_agreement
488737,ضغوط,,no_kaikki_semantic_entry
487953,ألخ,,no_kaikki_semantic_entry
487734,أشحن,,no_kaikki_semantic_entry
487646,جناح,"fin; side, edge; projecting roof",no_calima_kaikki_semantic_agreement
487305,مهاجم,a forward; active participle of هَاجَمَ (hājama),no_calima_kaikki_semantic_agreement
486276,كاد,"to plot, to scheme; to plan or intend to commit crime; as soon as (negated, with following non-past)",no_calima_kaikki_semantic_agreement
484323,خاض,"to wade into; to treat, to deal with, to take up, to tackle (a subject)",no_calima_kaikki_semantic_agreement
483983,مالكي,Maliki,no_calima_kaikki_semantic_agreement
482419,نداء,"vocative; a female given name; announcement, proclamation",no_calima_kaikki_semantic_agreement
481845,متطلبات,,no_kaikki_semantic_entry
480341,أقدم,senior; to dare; foremost,no_calima_kaikki_semantic_agreement
478989,أكل,food; fruit; to erode,no_calima_kaikki_semantic_agreement
477248,توالي,,no_kaikki_semantic_entry
475777,نقر,"literally; verbal noun of نَقَرَ (naqara) (form I); so as investigating, to dig into, to tap",no_calima_kaikki_semantic_agreement
475218,تواجد,to affect passion; verbal noun of تَوَاجَدَ (tawājada) (form VI),no_calima_kaikki_semantic_agreement
474932,إعلاني,,no_kaikki_semantic_entry
472813,تحتي,,no_kaikki_semantic_entry
469221,خاطئ,"active participle of خَطِئَ (ḵaṭiʔa): sinning, sinful",no_calima_kaikki_semantic_agreement
469208,مخابرات,,no_kaikki_semantic_entry
467940,سكن,"ashes; to feel at home; dwelling, abode, habitation",no_calima_kaikki_semantic_agreement
467892,ملح,oath; salt; scholar,no_calima_kaikki_semantic_agreement
467205,اتش,,no_kaikki_semantic_entry
466308,متظاهر,pretender; protester; protesting,no_calima_kaikki_semantic_agreement
465266,دوم,"verbal noun of دَامَ (dāma) (form I); Mediterranean fan palm (Chamaerops humilis); to turn in a circle, to rotate, to spin, to twirl",no_calima_kaikki_semantic_agreement
464439,شي,verbal noun of شَوَى (šawā) (form I),no_calima_kaikki_semantic_agreement
463057,صبر,ice; aloe; to ballast,no_calima_kaikki_semantic_agreement
461311,متبقي,,no_kaikki_semantic_entry
459175,متطور,,no_kaikki_semantic_entry
459027,معتبر,"legal, valid; credible, creditable, trustworthy; active participle of اِعْتَبَرَ (iʕtabara)",no_calima_kaikki_semantic_agreement
458388,صدد,,no_kaikki_semantic_entry
458019,شال,Silurus spp; certain fishes; Synodontis spp,no_calima_kaikki_semantic_agreement
457306,ماجستير,,no_kaikki_semantic_entry
456067,كاريكاتور,,no_kaikki_semantic_entry
455702,حاجز,buffer; septum; roadblock,no_calima_kaikki_semantic_agreement
455558,ون,"Creates single-digit multiples of ten: -ty; Forms third- and second-person plural masculine conjugations of non-past verbs; Suffix used to pluralize nouns and adjectives, generally masculine ones referring to people",no_calima_kaikki_semantic_agreement
455048,موديل,,no_kaikki_semantic_entry
454081,مستجد,,no_kaikki_semantic_entry
453099,كردي,Kurd,no_calima_kaikki_semantic_agreement
451910,شريحة,,no_kaikki_semantic_entry
451834,ميز,"to prefer; to characterize; to separate, to select",no_calima_kaikki_semantic_agreement
451305,بيد,"even though, but, except; for the sake of, because of",no_calima_kaikki_semantic_agreement
449924,ميداني,,no_kaikki_semantic_entry
449600,توصيل,"delivering; linking-up; conductivity, transmission",no_calima_kaikki_semantic_agreement
449196,إيا,particle attached to oblique pronoun forms when they are not attached to the verb or preposition governing them,no_calima_kaikki_semantic_agreement
448372,كيلو,,no_kaikki_semantic_entry
445618,هدي,verbal noun of هَدَى (hadā) (form I),no_calima_kaikki_semantic_agreement
445017,حضاري,,no_kaikki_semantic_entry
443538,دقيق,"fine, thin; flour, meal; subtle, puny",no_calima_kaikki_semantic_agreement
442683,كت,,no_kaikki_semantic_entry
440197,محلل,active participle of حَلَّلَ (ḥallala); passive participle of حَلَّلَ (ḥallala),no_calima_kaikki_semantic_agreement
437921,كادر,,no_kaikki_semantic_entry
437426,مؤسس,active participle of أَسَّسَ (ʔassasa); passive participle of أَسَّسَ (ʔassasa),no_calima_kaikki_semantic_agreement
436651,ممارس,practitioner,no_calima_kaikki_semantic_agreement
436387,طارئة,"unforeseen event, emergency, casus maior vel minor",no_calima_kaikki_semantic_agreement
436216,تسيير,,no_kaikki_semantic_entry
435440,أولائك,,no_kaikki_semantic_entry
435165,خلق,rags; people; bravery,no_calima_kaikki_semantic_agreement
434904,مصرع,"verbal noun of صَرَعَ (ṣaraʕa) (form I); verbal noun of صُرِعَ (ṣuriʕa) (form I, uncertain)",no_calima_kaikki_semantic_agreement
434813,بائع,seller,no_calima_kaikki_semantic_agreement
434123,أنهى,"to end, to terminate, to finish",no_calima_kaikki_semantic_agreement
433841,تنازل,"to refrain from; to cede [+عَنْ (object)] to; to alight, to fight each other",no_calima_kaikki_semantic_agreement
433544,فريد,"lonely; solitary; sole, only",no_calima_kaikki_semantic_agreement
433224,كيلومتر,kilometre,no_calima_kaikki_semantic_agreement
432830,بقر,"cattle, oxen; to dig up, to gut; to split, to rip, to rive",no_calima_kaikki_semantic_agreement
432146,ذاك,that (demonstrative pronoun),no_calima_kaikki_semantic_agreement
430775,جالية,,no_kaikki_semantic_entry
430109,نصح,"to wish well; to admonish, to exhort; good advice, counseling",no_calima_kaikki_semantic_agreement
429637,نمى,to rise; to develop(?); to reach (of news),no_calima_kaikki_semantic_agreement
428686,تسمية,"denomination; giving a name; name, nomenclature",no_calima_kaikki_semantic_agreement
427421,خصيص,,no_kaikki_semantic_entry
427211,إهداء,verbal noun of أَهْدَى (ʔahdā) (form IV); verbal noun of أَهْدَأَ (ʔahdaʔa) (form IV),no_calima_kaikki_semantic_agreement
426112,حرج,to prohibit; herds of camels; to be forbidden,no_calima_kaikki_semantic_agreement
426042,مثابة,"refuge, resort",no_calima_kaikki_semantic_agreement
425893,معلن,,no_kaikki_semantic_entry
425233,قتيل,"killed, murdered; slain, a killed person, casualty, fatality",no_calima_kaikki_semantic_agreement
423813,هاتفي,,no_kaikki_semantic_entry
423789,صريح,"obvious, clear; explicit, straightforward",no_calima_kaikki_semantic_agreement
423713,بذل,"to give willingly, to offer",no_calima_kaikki_semantic_agreement
423317,مشدد,,no_kaikki_semantic_entry
421894,أشبه,,no_kaikki_semantic_entry
421512,تأشير,,no_kaikki_semantic_entry
419815,معد,"infectious; active participle of أَعْدَى (ʔaʕdā); Ma'add (a semi-mythical figure, the son of Adnan)",no_calima_kaikki_semantic_agreement
419665,تكنولوجي,,no_kaikki_semantic_entry
419404,ساوى,to cost; to equal; to be worth,no_calima_kaikki_semantic_agreement
418874,آي,,no_kaikki_semantic_entry
415991,عنيف,blunt; harsh; rugged,no_calima_kaikki_semantic_agreement
415190,رضى,"Ruḍaw, a pre-Islamic Arabian god later misinterpreted as the name of a place of worship",no_calima_kaikki_semantic_agreement
414786,آباء,,no_kaikki_semantic_entry
413707,منتهي,,no_kaikki_semantic_entry
413148,تلبية,verbal noun of لَبَّى (labbā) (form II),no_calima_kaikki_semantic_agreement
410769,جلوكوما,,no_kaikki_semantic_entry
409590,تمكين,empowerment,no_calima_kaikki_semantic_agreement
409233,عائلي,,no_kaikki_semantic_entry
409045,مضاف,,no_kaikki_semantic_entry
408198,جزاء,"repayment; amends, reparation; recompense, return",no_calima_kaikki_semantic_agreement
407705,فرعي,"secondary; tributary; subsidiary, side, ancillary",no_calima_kaikki_semantic_agreement
407627,قبيل,tribe; surety; guarantor,no_calima_kaikki_semantic_agreement
407216,منفذ,port; vent; outlet,no_calima_kaikki_semantic_agreement
407085,طرد,eviction; to evict; to drive away,no_calima_kaikki_semantic_agreement
406137,إلقاء,verbal noun of أَلْقَى (ʔalqā) (form IV),no_calima_kaikki_semantic_agreement
404848,شيعة,"the Shi'a; cult, sect; faction, party",no_calima_kaikki_semantic_agreement
404798,ذكاء,"full age, maturity; burning, combustion; intelligence, mental acuteness",no_calima_kaikki_semantic_agreement
402559,إساءة,verbal noun of أَسَاءَ (ʔasāʔa) (form IV),no_calima_kaikki_semantic_agreement
402077,أوائل,the first part,no_calima_kaikki_semantic_agreement
399876,نفطي,,no_kaikki_semantic_entry
397371,نصرة,,no_kaikki_semantic_entry
395727,تأجيل,,no_kaikki_semantic_entry
395184,متضمن,,no_kaikki_semantic_entry
394885,دهن,"oily, greasy; to hit, to strike; to smear, to spread",no_calima_kaikki_semantic_agreement
393104,فلك,orb; ship; sphere,no_calima_kaikki_semantic_agreement
392639,برى,,no_kaikki_semantic_entry
392364,تعذيب,verbal noun of عَذَّبَ (ʕaḏḏaba) (form II),no_calima_kaikki_semantic_agreement
392047,مفضل,preferable,no_calima_kaikki_semantic_agreement
391982,قصيم,,no_kaikki_semantic_entry
391755,مبوب,,no_kaikki_semantic_entry
390895,ون,"Creates single-digit multiples of ten: -ty; Forms third- and second-person plural masculine conjugations of non-past verbs; Suffix used to pluralize nouns and adjectives, generally masculine ones referring to people",no_calima_kaikki_semantic_agreement
390618,إثبات,proof; affirmation; verbal noun of أَثْبَتَ (ʔaṯbata) (form IV),no_calima_kaikki_semantic_agreement
388911,باحة,,no_kaikki_semantic_entry
388635,رجيم,stoned; expelled; outcast; cursed,no_calima_kaikki_semantic_agreement
387751,صيفي,"summery, aestival",no_calima_kaikki_semantic_agreement
387137,متجدد,,no_kaikki_semantic_entry
385373,طلع,to occur; to become; to observe,no_calima_kaikki_semantic_agreement
384901,عصابة,"headcloth, headband; union, league, federation; bandage, dressing (on a wound)",no_calima_kaikki_semantic_agreement
384713,شبابي,,no_kaikki_semantic_entry
384240,تشكيلي,structural; morphogenic,no_calima_kaikki_semantic_agreement
384114,سائر,"going, walking; walker, wanderer; the rest, the remainder",no_calima_kaikki_semantic_agreement
383448,مزية,excellent trait,no_calima_kaikki_semantic_agreement
382998,طيبة,singular of طَيِّبَات (ṭayyibāt); feminine singular of طَيِّب (ṭayyib),no_calima_kaikki_semantic_agreement
382000,توسع,to expand,no_calima_kaikki_semantic_agreement
381949,نوى,kernels; to think; date pits,no_calima_kaikki_semantic_agreement
381594,جرام,,no_kaikki_semantic_entry
380574,إنكليزي,,no_kaikki_semantic_entry
380315,حائل,"becoming black; having become black; altered, changed, transmuted",no_calima_kaikki_semantic_agreement
379690,ودع,"to forsake; seashell, cowry; to be gentle, to be calm",no_calima_kaikki_semantic_agreement
378939,قيادي,,no_kaikki_semantic_entry
378885,زهور,,no_kaikki_semantic_entry
378765,جواز,passage; transit; passport,no_calima_kaikki_semantic_agreement
377975,إعمار,"cultivating, rendering habitable; verbal noun of أَعْمَرَ (ʔaʕmara) (form IV)",no_calima_kaikki_semantic_agreement
377045,رعب,"to be terrified; to terrify, to horrify, to frighten",no_calima_kaikki_semantic_agreement
376405,هادف,,no_kaikki_semantic_entry
375652,لفظ,to emit; to eject; to spit out,no_calima_kaikki_semantic_agreement
375534,مبحث,,no_kaikki_semantic_entry
375219,جهوي,,no_kaikki_semantic_entry
373730,قالب,"template; boilerplate; form, mould, last (for casting shapes by it)",no_calima_kaikki_semantic_agreement
373279,كلوة,,no_kaikki_semantic_entry
372954,جانبي,,no_kaikki_semantic_entry
372717,مغترب,,no_kaikki_semantic_entry
372661,أحل,"to declare lawful, to permit",no_calima_kaikki_semantic_agreement
371306,ميليشيا,,no_kaikki_semantic_entry
370486,إف,,no_kaikki_semantic_entry
369796,منتظر,active participle of اِنْتَظَرَ (intaẓara); passive participle of اِنْتَظَرَ (intaẓara),no_calima_kaikki_semantic_agreement
368626,تسريح,divorcing one's wife; loosing or combing out hair; Poet's correcting his verses,no_calima_kaikki_semantic_agreement
366767,سب,"to revile, to abuse",no_calima_kaikki_semantic_agreement
366570,محضر,,no_kaikki_semantic_entry
365612,متكرر,,no_kaikki_semantic_entry
363839,مرجعية,"reference, referentiality",no_calima_kaikki_semantic_agreement
362654,صادر,"to urge, to press, to oppress; to seize, to impound, to confiscate",no_calima_kaikki_semantic_agreement
362325,تأسس,,no_kaikki_semantic_entry
361920,تمهيد,"preface, introduction; verbal noun of مَهَّدَ (mahhada) (form II)",no_calima_kaikki_semantic_agreement
361457,غنى,to sing; richness; freedom from need,no_calima_kaikki_semantic_agreement
360674,دال,"dalet; dal, name of the eighth letter of the Arabic alphabet (د (d)), representing the sound /d/",no_calima_kaikki_semantic_agreement
360339,تولي,,no_kaikki_semantic_entry
358529,شابة,female equivalent of شَابّ (šābb),no_calima_kaikki_semantic_agreement
357546,مفوضية,,no_kaikki_semantic_entry
357506,تأخر,"to be late; to remain behind; to be last, come last",no_calima_kaikki_semantic_agreement
356418,مصنف,"author; taxonomist; a work of literature, music, or art",no_calima_kaikki_semantic_agreement
355085,سكة,"coin; plowshare; mattock, hoe",no_calima_kaikki_semantic_agreement
354894,تطرق,to penetrate; to have influence; to try to gain access,no_calima_kaikki_semantic_agreement
354357,خاضع,"submissive, subordinate, controlled (by)",no_calima_kaikki_semantic_agreement
354040,مرافق,"bodyguard, escort, warder; close friend (especially at school), associate, companion; accompanying, adjoint, associated, attendant (adjective), concomitant, concurrent",no_calima_kaikki_semantic_agreement
353899,خوض,,no_kaikki_semantic_entry
351683,تنموي,,no_kaikki_semantic_entry
349701,نقابي,,no_kaikki_semantic_entry
349519,صافي,,no_kaikki_semantic_entry
349430,نبع,to flow,no_calima_kaikki_semantic_agreement
349418,مرفق,crank; elbow; device,no_calima_kaikki_semantic_agreement
347310,مصلي,,no_kaikki_semantic_entry
347157,لوح,"to wave, gesticulate, insinuate; board, tablet, slab, plank, signboard, sign",no_calima_kaikki_semantic_agreement
345972,أجرة,"rent; reward, recompense; compensation, pay, wages",no_calima_kaikki_semantic_agreement
344576,فيلا,,no_kaikki_semantic_entry
343915,أصيل,"noble; purebred (horses, etc); a male given name, Asil",no_calima_kaikki_semantic_agreement
342605,وظيفي,,no_kaikki_semantic_entry
342537,خيل,"horses; to imagine, to fancy, to think; verbal noun of خَالَ (ḵāla) (form I)",no_calima_kaikki_semantic_agreement
341596,تمسك,"to keep (بِ (bi)); to rise, harden, firm up; to stick, cling, cleave (بِ (bi) to)",no_calima_kaikki_semantic_agreement
340724,لمسة,,no_kaikki_semantic_entry
340291,مطور,,no_kaikki_semantic_entry
338557,عائش,active participle of عَاشَ (ʕāša),no_calima_kaikki_semantic_agreement
336967,عطل,lack; to free; to empty,no_calima_kaikki_semantic_agreement
336921,تهريب,contraband; verbal noun of هَرَّبَ (harraba) (form II),no_calima_kaikki_semantic_agreement
336490,زفة,,no_kaikki_semantic_entry
336134,محتاج,"passive participle of اِحْتَاجَ (iḥtāja); active participle of اِحْتَاجَ (iḥtāja) the needy, the poor",no_calima_kaikki_semantic_agreement
335674,كسب,"revenue; to win (a struggle or war); to gather riches, knowledge",no_calima_kaikki_semantic_agreement
335270,عطية,a surname; a salary paid by the ruler to a scholar; what is given without expecting something in exchange,no_calima_kaikki_semantic_agreement
334761,سار,valid; gratifying; to conduct oneself,no_calima_kaikki_semantic_agreement
333967,بذل,"to give willingly, to offer",no_calima_kaikki_semantic_agreement
333881,روبل,,no_kaikki_semantic_entry
333002,نفوذ,"penetration; infiltrative; penetrating, pervasive",no_calima_kaikki_semantic_agreement
332341,طعن,appeal; penetration; to penetrate,no_calima_kaikki_semantic_agreement
331902,تعرض,exposure; proneness; opposition,no_calima_kaikki_semantic_agreement
331792,منظر,sight; object; spectacle,no_calima_kaikki_semantic_agreement
331365,مبيد,,no_kaikki_semantic_entry
331211,ترويج,making current; causing to be accepted; favoring or advocating a project,no_calima_kaikki_semantic_agreement
331161,نبض,"to make pulsate; agile, alacrious, bouncy; pulsating vein or artery, pulse",no_calima_kaikki_semantic_agreement
330813,مفاجئ,,no_kaikki_semantic_entry
330763,رتبة,step; order; ceremony,no_calima_kaikki_semantic_agreement
330294,تفضيل,verbal noun of فَضَّلَ (faḍḍala) (form II),no_calima_kaikki_semantic_agreement
329280,تصدي,,no_kaikki_semantic_entry
328442,حصر,"to restrain; to list, to enroll; strangury; constipation",no_calima_kaikki_semantic_agreement
328435,أرجنتيني,Argentinian,no_calima_kaikki_semantic_agreement
328419,داعم,,no_kaikki_semantic_entry
328184,تعزية,condolences; verbal noun of عَزَّى (ʕazzā) (form II),no_calima_kaikki_semantic_agreement
328136,سائل,"liquid; beggar, canter, mendicant; questioner, petitioner, asker",no_calima_kaikki_semantic_agreement
327530,مستعير,,no_kaikki_semantic_entry
327186,نزيل,"lodger, person who bides in a facility (e.g. a hospital, a prison, a hotel)",no_calima_kaikki_semantic_agreement
326541,مرء,,no_kaikki_semantic_entry
325090,صعود,"ascension; climbing, mounting; verbal noun of صَعِدَ (ṣaʕida) (form I)",no_calima_kaikki_semantic_agreement
324458,عزم,energy; moment; decision,no_calima_kaikki_semantic_agreement
323610,جنب,coast; boundary; reproach,no_calima_kaikki_semantic_agreement
322851,بضع,a few,no_calima_kaikki_semantic_agreement
322082,إضراب,verbal noun of أَضْرَبَ (ʔaḍraba) (form IV),no_calima_kaikki_semantic_agreement
321651,إعجاز,miracle; incapacitation; verbal noun of أَعْجَزَ (ʔaʕjaza) (form IV),no_calima_kaikki_semantic_agreement
321627,عدا,"to flow (of liquid); to run, to move quickly; to walk with wide steps",no_calima_kaikki_semantic_agreement
321449,رحبة,,no_kaikki_semantic_entry
320609,حاسم,"conclusive, final, crucial; active participle of حَسَمَ (ḥasama)",no_calima_kaikki_semantic_agreement
320466,حفظ,"to reserve; to retain, to uphold; observance, compliance",no_calima_kaikki_semantic_agreement
319851,معرب,,no_kaikki_semantic_entry
319506,ثبت,"proof; list, index; to withstand",no_calima_kaikki_semantic_agreement
318243,إعاقة,,no_kaikki_semantic_entry
317864,لجن,,no_kaikki_semantic_entry
316169,أدخل,"to enroll; to introduce; to move, to haul",no_calima_kaikki_semantic_agreement
316127,عفش,,no_kaikki_semantic_entry
315521,مطالب,,no_kaikki_semantic_entry
313689,حدودي,,no_kaikki_semantic_entry
313677,عقدة,"knot, tie; knot, nautical mile; node, gland, ganglion",no_calima_kaikki_semantic_agreement
313453,مد,"to help, to support; to supply, to provide; verbal noun of مَدَّ (madda) (form I)",no_calima_kaikki_semantic_agreement
313117,تجميع,verbal noun of جَمَّعَ (jammaʕa) (form II),no_calima_kaikki_semantic_agreement
312812,غازي,,no_kaikki_semantic_entry
312124,تجريبي,empirical,no_calima_kaikki_semantic_agreement
310874,إزاء,"forenenst, opposite to; verbal noun of آزَى (ʔāzā) (form III); with respect to, in relation to, about, on",no_calima_kaikki_semantic_agreement
310177,مساندة,verbal noun of سَانَدَ (sānada) (form III),no_calima_kaikki_semantic_agreement
310029,إصلاحات,,no_kaikki_semantic_entry
308867,صدارة,,no_kaikki_semantic_entry
308370,طلابي,,no_kaikki_semantic_entry
307854,قرآني,Qur'anic,no_calima_kaikki_semantic_agreement
307395,معطيات,,no_kaikki_semantic_entry
306923,مروري,,no_kaikki_semantic_entry
306437,ماركة,brand (of clothing etc.),no_calima_kaikki_semantic_agreement
305484,مخ,cerebrum,no_calima_kaikki_semantic_agreement
305453,موازي,,no_kaikki_semantic_entry
304717,نازح,displaced; distant; faraway; remote; migrant; expatriate; traveler,no_calima_kaikki_semantic_agreement
303347,تظاهرة,,no_kaikki_semantic_entry
303141,مدعي,,no_kaikki_semantic_entry
303075,مبدئي,,no_kaikki_semantic_entry
302647,كرية,,no_kaikki_semantic_entry
302394,عاصفة,storm,no_calima_kaikki_semantic_agreement
302191,مسكن,"analgesic; dormitory; soothing, calming",no_calima_kaikki_semantic_agreement
302016,ملامح,"countenance, feature",no_calima_kaikki_semantic_agreement
301189,ليف,a handheld sponge; to have much fibre; Luffa (genus and species),no_calima_kaikki_semantic_agreement
300939,مزود,"provider, supplier",no_calima_kaikki_semantic_agreement
300609,صادق,true; to befriend; Ja'far al-Sadiq,no_calima_kaikki_semantic_agreement
299999,زكاة,"in piety, in purity; purifying (of the soul); zakat, almsgiving (one of the five pillars of Islam)",no_calima_kaikki_semantic_agreement
299266,تساؤل,wondering; verbal noun of تَسَاءَلَ (tasāʔala) (form VI),no_calima_kaikki_semantic_agreement
298874,ميقات,,no_kaikki_semantic_entry
297909,وراثي,,no_kaikki_semantic_entry
297775,توب,verbal noun of تَابَ (tāba) (form I),no_calima_kaikki_semantic_agreement
296809,متبادل,,no_kaikki_semantic_entry
295393,كوميدي,,no_kaikki_semantic_entry
295244,ناتج,"resultant; output, product, yield, outcome",no_calima_kaikki_semantic_agreement
295101,متابع,active participle of تَابَعَ (tābaʕa),no_calima_kaikki_semantic_agreement
294569,سيناريو,,no_kaikki_semantic_entry
294323,إدراج,,no_kaikki_semantic_entry
293581,متمثل,,no_kaikki_semantic_entry
292353,مفتي,,no_kaikki_semantic_entry
291629,مستدام,,no_kaikki_semantic_entry
291459,مبني,passive participle of بَنَى (banā),no_calima_kaikki_semantic_agreement
291075,فوتوغرافي,,no_kaikki_semantic_entry
290220,شتى,"to rain; to hibernate; to winter, to spend the winter",no_calima_kaikki_semantic_agreement
289779,حصيلة,"outcome, yield, bottom line",no_calima_kaikki_semantic_agreement
289422,علمانية,secularism; feminine singular of عَلْمَانِيّ (ʕalmāniyy); feminine singular of عِلْمَانِيّ (ʕilmāniyy),no_calima_kaikki_semantic_agreement
289265,فاخر,"luxurious; proud, boasting; precious, costly",no_calima_kaikki_semantic_agreement
289232,حكى,to imitate; to resemble; to tie a knot firmly,no_calima_kaikki_semantic_agreement
288665,دعوي,,no_kaikki_semantic_entry
288643,واقعي,"realist; positivist; real, actual",no_calima_kaikki_semantic_agreement
288489,تأجير,verbal noun of أَجَّرَ (ʔajjara) (form II),no_calima_kaikki_semantic_agreement
288375,تجزئة,"dividing, fractionation, distribution; verbal noun of جَزَّأَ (jazzaʔa) (form II)",no_calima_kaikki_semantic_agreement
288244,مثبت,"proving; affirmative; fixed, attached",no_calima_kaikki_semantic_agreement
288220,تركيبة,,no_kaikki_semantic_entry
288048,أخفى,to shelter; to disguise; to keep secret,no_calima_kaikki_semantic_agreement
287760,حسم,"to cut; decisiveness; deduction, discount",no_calima_kaikki_semantic_agreement
287653,تراثي,,no_kaikki_semantic_entry
286311,أثيوبي,,no_kaikki_semantic_entry
286069,نير,"distinct; cane-roll; woof, weft",no_calima_kaikki_semantic_agreement
285443,كافي,,no_kaikki_semantic_entry
285390,هبوط,verbal noun of هَبَطَ (habaṭa) (form I),no_calima_kaikki_semantic_agreement
285373,نفقة,alimony; expense; cost; cost of living,no_calima_kaikki_semantic_agreement
285251,موريتاني,,no_kaikki_semantic_entry
284586,حزبي,,no_kaikki_semantic_entry
284375,وتر,chord; string; uneven,no_calima_kaikki_semantic_agreement
283975,صلح,peace; reconciliation; to be righteous,no_calima_kaikki_semantic_agreement
283731,صياغة,,no_kaikki_semantic_entry
283696,عشق,passion; to join; to connect,no_calima_kaikki_semantic_agreement
283526,توليد,verbal noun of وَلَّدَ (wallada) (form II),no_calima_kaikki_semantic_agreement
283473,تخلي,,no_kaikki_semantic_entry
