rank,target,english,part_of_speech
549,عظیم,great; grand; magnificent; vast; عظیم in the divine epithet العظیم (context-dependent),adjective
550,خوبصورت,beautiful,adj
551,سوچ,thought; thinking; think! (stem/imperative of سوچنا),noun / verb stem / imperative
552,دین,religion; faith,noun
553,سبب,"cause, reason",noun
554,برطانوی,British,adj
555,سکا,could; was able to (masculine singular form),verb form
556,ملی,got; received; met (feminine singular form of ملنا); national (different vocalization/context),verb form / adjective
557,برآمد,export; exported; recovered; retrieved,noun / adjective-participle
558,شکل,shape; form; appearance; look; face,noun
559,دباؤ,"pressure; stress; influence; press! (imperative, context-dependent)",noun / imperative verb form
560,رابطہ,contact; connection; link; relation,noun
561,تجارت,"trade, business, commerce",noun
562,حملہ,attack; invasion; assault,noun
563,احتجاج,protest,noun
564,ساری,all; whole (feminine),determiner
565,بلند,"loud; high, lofty",adj
566,والد,father,noun
567,منظور,"approved; accepted; granted; sanctioned; Manzoor (given name, context-dependent)",adjective / name
568,آدمی,"man; individual, person",noun
569,صوبہ,province; presidency,noun
570,قبول,acceptance; approval; assent; accepted (in compounds/context),noun / adjective element
571,نیچے,below; under; down; underneath,locative adverb / postpositional element
572,محکمہ,department; bureau; office,noun
573,محض,merely; only; purely,adverb / particle
574,روزہ,fast; religious fast; fasting observance,noun
575,مریض,patient; sick person; ill; sick; ailing,noun / adjective
576,الگ,"apart; separate; distinct, different",adj / adv
577,گھنٹے,"hours; hour (oblique/vocative singular, context-dependent)",noun
578,مسلسل,repeatedly; continuously,adv
579,رن,run (especially in cricket/sports),noun
580,عراقی,Iraqi,adj / noun
581,آنکھوں,eyes (oblique plural),noun
582,تحریر,writing; text; composition; written piece; correspondence,noun
583,معاملات,matters; affairs; dealings,noun
584,سچ,truth; true,noun / adjective
585,تباہ,"destroyed, ruined",adj
586,خبر,"news; message, notification; information, intelligence, knowledge",noun
587,مذہبی,faithful; religious; sectarian,adj
588,سا,"like, as; -ish, -esque; resembling, alike",particle
589,ماضی,past,adj / noun
590,اتحاد,"coalition; unification; unity, alliance",noun
591,مسجد,mosque; Muslim prayer hall/place of prayer,noun
592,بچہ,child; kid; young one; offspring,noun
593,اعتماد,trust; confidence; reliance; belief,noun
594,مناسب,"appropriate, fitting; suitable, proper (of a dress etc.); reasonable (of price, quality etc.)",adj
595,خواہش,want; wish; desire,noun
596,دفتر,"office, workplace",noun
597,اپ,up (English loan/transliteration); up-/upgrade-type compound element,loanword / prefix element
598,ماحول,"environment; ambience, atmosphere; circumstance, condition (surroundings in which one lives)",noun
599,اوپر,up; above; on top,adv
600,خواجہ,Khwaja; master; lord; dignitary; honorific/title,noun / title / name
601,سنگھ,Singh (surname/title/name element); lion (etymological/literary),name / noun
602,فتح,victory; conquest,noun
603,آٹھ,eight,numeral
604,کاروبار,"occupation; business, trade",noun
605,چونکہ,because; since,subordinating conjunction
606,امیر,rich; wealthy; nobleman,adj / noun
607,درد,pain; ache; sorrow,noun
608,سعودی,"Saudi, Saudi Arabian",adj / noun
609,غالب,"victorious; higher, superior; dominant, predominant",adj
610,ریاست,"a state; rule, control; a princely state",noun
611,ذہن,mind; intellect; mental faculty; understanding,noun
612,روشنی,light; brightness,noun
613,ڈرامہ,play; drama; acting,noun
614,واقعہ,event; incident; occurrence,noun
615,بجے,"o'clock; rings/sounds (form of بجنا, context-dependent)",time expression / verb form
616,تا,to; until; while,adv / conj / prep
617,دولت,wealth; fortune; prosperity,noun
618,عوامی,public; popular,adj
619,منٹ,minute,noun
620,قانونی,legal; lawful; legitimate,adj
621,زندہ,"alive, living",adj
622,نتیجہ,"result, consequence, end, outcome",noun
623,چہرے,"faces; face (oblique/vocative singular, context-dependent)",noun
624,انیس,nineteen,numeral
625,تحفظ,protection; safeguarding; preservation; security; conservation,noun
626,اوقات,"times; hours; periods; circumstances/status; means/capacity (idiomatic, context-dependent)",noun
627,قوت,"food; strength, power, force",noun
628,علاقہ,area; region; locality; territory; connection/association (context-dependent),noun
629,ممتاز,"distinguished, exalted; a unisex given name, Mumtaz, from Arabic",adj / name
630,جھوٹ,"lie, fib, falsehood, fabrication",noun
631,گاؤں,"hometown; village, hamlet",noun
632,نہایت,very; extremely; exceedingly; end; limit,adverb / noun
633,خوشی,happiness; pleasure; delight; joy,noun
634,لگ,"attach; seem; begin; be attached; cost (stem of لگنا, context-dependent)",verb stem
635,سمجھ,understanding; understand! (stem/imperative of سمجھنا),noun / verb stem / imperative
636,مشترکہ,shared; combined; joint,adj
637,شہروں,cities (oblique plural),noun
638,درخواست,"appeal, petition; application, proposal; desire, will, request",noun
639,شدت,"severity, sternness, rigour; intensity, harshness",noun
640,معیشت,economy,noun
641,اگرچہ,although; even though; though,conjunction
642,بال,hair; wing; child,noun
643,روانہ,departed; set off; dispatched; sent off,adjective / participle
644,کلام,word; speech; discourse,noun
645,میدان,"battleground; maidan, plains; ground, field, arena",noun
646,سرگرم,"active, working",adj
647,قدم,"foot; step; footstep; antiquity/oldness (different vocalization, learned use)",noun
648,شہری,citizen; urban; pertaining to the city,adj / noun
649,انتظامیہ,"administration, establishment",noun
650,شے,"object, thing; article, matter",noun
651,فکر,thought; concern; worry; anxiety,noun
652,کپ,"cup, glass",noun
653,حیات,life; lifetime; existence,noun
654,جیسا,like; as; such as; resembling,comparative/resemblance adjective / connector
655,جماعتوں,groups; parties; classes,noun
656,تفصیلات,details,noun
657,بیس,twenty,numeral
658,قوانین,laws; regulations,noun
659,آئین,constitution,noun
660,تشدد,"severity, hardship, rigour; violence, oppression, aggression",noun
661,خوش,happy; content,adj
662,عدم,absence; lack; nonexistence; negation; nothingness,noun
663,مال,goods; property; wealth; money; assets,noun
664,مجھ,"me (oblique form, used before postpositions)",pronoun
665,مشہور,"famous, reputed",adj
666,دعا,"prayer; supplication; wish; blessing; Dua (name, context-dependent)",noun / name
667,گل,"flower; rose; Gul (name element, context-dependent)",noun / name
668,اساتذہ,teachers,noun
669,مرض,"disease, illness, sickness, malady",noun
670,گیس,gas; gaseous fuel; gasoline/petrol (regional/context-dependent); bodily gas (colloquial),noun
671,تجارتی,"anything related to trade; mercantile, commercial, business",adj
672,اتفاق,agreement; accord; coincidence; chance; unity,noun
673,انجام,"end, finishing; result, conclusion",noun
674,گرم,hot; warm,adjective
675,ملزم,"accused, charged",adj / noun
676,ادبی,literary; related to literature; cultured/polite (context-dependent),adjective
677,گھروں,homes; houses (oblique plural),noun
678,گاڑی,"car; any railed vehicle (train, tram); any four-wheeled motor vehicle (bus, truck)",noun
679,مغربی,western,adj
680,ذہنی,mental; intellectual; psychological; subjective (specialized/context-dependent),adjective
681,زبانوں,languages; tongues (oblique plural),noun
682,مسئلے,"problems; issues; problem/issue (oblique/vocative singular, context-dependent)",noun
683,جمہوریت,democracy,noun
684,کہاں,where,adv
685,ذاتی,personal; private; individual; one's own; inherent (context-dependent),adjective
686,خوراک,food; diet; nourishment; dose,noun
687,اسپتال,hospital,noun
688,وزارت,ministry; vizierate; premiership,noun
689,خاتون,woman; lady; respected lady,noun / honorific
690,خراب,bad; spoiled; broken; out of order; poor; ruined,adjective
691,کمپیوٹر,computer,noun
692,ناکام,failed; unsuccessful,adj
693,نور,"light; radiance; divine/spiritual light; Noor (name, context-dependent)",noun / name
694,تحقیق,"research, investigation; truth, exactness, fact, verification",noun
695,مقصد,purpose (ie. intention; goal; aim),noun
696,افغان,Afghan (a person from Afghanistan); Pashtun (a person of Pashtun ethnicity),noun
697,حضور,presence; sir; respected/honored person; honorific form of address,noun / honorific
698,تسلیم,acceptance; acknowledgment; admission; recognition; surrender/submission,noun
699,منہ,face; mouth; bad mood,noun
700,ذریعہ,"source, resource; means, way, agency",noun
701,ادارہ,"academy, body, institute; institution, department, establishment, organisation",noun
702,انٹرنیشنل,international,adj
703,ادھر,here; this way; on this side; over there/that way (context-dependent),adverb
704,امر,"command, order; permission, allowance; point, fact, case, thing",noun
705,ابتدائی,"early; beginning, inchoate, incipient, initial, primary, primordial, abortive, elementary, fundamental, primal, rudimental",adj / adv
706,کہانی,"story, tale; lie, fiction; plot (to a book, movie or some play etc.)",noun
707,مرد,man,noun
708,لڑکا,boy; son,noun
709,کلو,Kallu/Kallo (nickname/name); dark/black-colored person or thing (can be derogatory when referring to skin),noun / name
710,بحث,"discussion; argument, debate",noun
711,الفاظ,words,noun
712,ٹھیک,okay; fine; correct; right; exactly; properly,adjective / adverb / interjection
713,اگلے,next (masculine plural/oblique),adj
714,بیٹے,sons; son (oblique/vocative singular),noun
715,مسترد,"revoked, refuted; rejected, refused",adj
716,مصروف,"busy, occupied, engaged",adj
717,آگ,fire; rage; anger,noun
718,عورتوں,women (oblique plural),noun
719,سالانہ,"yearly, annual",adj
720,چینی,sugar; Chinese,adj / noun
721,نقشہ,map; plan; layout; diagram; blueprint,noun
722,امور,affairs; matters,noun
723,کریم,"generous; noble; Kareem/Karim (name); cream (loanword, context-dependent)",adjective / name / noun
724,ابو,dad; father; Abu/father of (in Arabic-style names and kunyas),noun / name element
725,ترجمان,"spokesman; translator, interpreter",noun
726,گول,"round, circular, spherical",adj
727,دفعہ,time; occasion; section; article; clause (especially legal),noun
728,راستے,"roads; ways; routes; paths; road/way (oblique/vocative singular, context-dependent)",noun
729,دہلی,"threshold, doorstep; Delhi (a megacity and union territory of India, containing the national capital New Delhi)",name / noun
730,ظفر,"success; profit, gain; victory, triumph",noun
731,وسیع,wide; broad; extensive; spacious; vast,adjective
732,غیرت,honor; self-respect; dignity; sense of honor; modesty/shame (context-dependent),noun
733,متعدد,"several, many; numerous, multiple; various (ie. different)",adj
734,تنقید,criticism,noun
735,آسان,easy,adj
736,جیل,"jail, the slammer",noun
737,مہمان,guest,noun
738,مرکز,center; centre; hub; headquarters; central point,noun
739,معروف,well-known; famous; known,adj
740,تشکیل,"formation; foundation, establishment",noun
741,انکار,refusal; denial; rejection,noun
742,مطلب,"purpose, motive; topic (ie. subject, matter); meaning (of a word, sentence etc.)",noun
743,کھانا,food; meal; to eat,noun / verb
744,موضوع,topic; subject; theme; matter,noun
745,پیدائش,birth; origin; creation; genesis,noun
746,دینی,religious,adj
747,دار,"holder; possessor; having/-ful (suffix); gallows (noun, context-dependent)",suffix / noun
748,جنہیں,whom; which; to whom; to which (plural),relative pronoun
749,کرو,"do!; make! (imperative form of کرنا); Kuru (proper name, rare/context-dependent)",imperative verb form / proper name
750,اقتدار,power; control; authority,noun
751,منصوبہ,"plan, design, scheme, project",noun
752,کوٹ,"coat; barracks; citadel, stronghold",noun
753,توقع,expectation; anticipation; hope,noun
754,راستہ,"manner; path, way; route, street",noun
755,گیند,ball,noun
756,محور,axis,noun
757,مند,having; possessing; endowed with; -ful (suffix),suffix
758,لینا,"to take on; to take, get; to pick up (a person or an item to take somewhere)",verb
759,کاشت,"cultivation, agriculture",noun
760,انصاف,justice,noun
761,مالک,"God; owner, lord; boss, supervisor",noun
762,بدھ,Buddha; Wednesday,name / noun
763,بخش,"share; portion; gift; forgive!; spare!; grant/give (verb stem, context-dependent)",noun / verb stem / imperative
764,البتہ,"but, however; although, but; of course, surely, certainly",adv / conj
765,مخصوص,specific; particular; reserved,adj
766,روشن,bright; illuminated; clear,adjective
767,وفد,delegation; deputation,noun
768,عشق,love; passionate love; passion; devotion,noun
769,اختلاف,"dissent; discord, clash, difference, disagreement, misunderstanding, quarrel, schism, variance, variation, disparity, diversity",noun
770,بنگلہ,"bungalow; Bengali, of or relating to Bengal; Bengali language, Bengali ethnicity",adj / name / noun
771,قابو,control,noun
772,تعریف,praise; commendation; admiration; definition; description,noun
773,پندرہ,fifteen,numeral
774,تیاری,preparation; readiness,noun
775,حالیہ,recent; current; latest,adjective
776,قابل,"capable; worthy, deserving",adj
777,محروم,deprived; denied; excluded,adjective
778,اخبار,"newspaper; gazette, journal",noun
779,دعوت,invitation; feast; banquet; call/mission (context-dependent),noun
780,بری,bad (feminine of برا); free; acquitted; cleared/innocent of a charge (context-dependent),adjective
781,بیوی,wife,noun
782,اکثریت,majority,noun
783,فورا,"immediately, instantly, urgently, promptly, rapidly, instantaneously",adv
784,پچاس,fifty,numeral
785,عید,"Eid; festival, celebration",noun
786,منظر,view; scene; sight,noun
787,کمال,perfection; excellence; mastery; wonder; amazing! (exclamatory use),noun / interjection
788,منگل,"Tuesday; prosperity; auspicious, lucky",adj / noun
789,درجہ,degree; level; rank; class; status; extent,noun
790,معمولی,"common; ordinary; regular, usual",adj
791,مذہب,"religion; any school of thought; creed, sectarian belief",noun
792,بھاری,heavy,adj
793,خواب,"dream; sleep; vision, illusion",noun
794,خوف,fear,noun
795,تیسرے,third (masculine plural/oblique),adjective / determiner
796,وجود,existence,noun
797,بلوچ,Baloch,noun
798,حج,"hajj, pilgrimage to Mecca",noun
799,اقتصادی,economic,adj
800,واپسی,"return, coming-back; reimbursement, restoration",noun
801,یار,"beloved; companion; bro, mate, dude",noun
802,نظم,"order, arrangement, sequence; nazm (a genre of poem, poetry); discipline, order (of law and rule)",noun
803,تکلیف,"affliction, pain; trouble, difficulty; suffering, hardship, distress",noun
804,آس,"hope, expectation",noun
805,خاطر,"consideration, respect; attention to; hospitality",noun
806,مراد,"desire, will; wish, intention; meaning (ie. interpretation of text)",noun
807,صلاحیت,ability; capability; capacity; talent; aptitude,noun
808,خیر,goodness; well-being; welfare; well; anyway,noun / discourse marker
809,استاد,"expert, master; spiritual leader; professor; teacher, tutor",noun
810,مجبور,forced; helpless; compelled,adj
811,نزدیک,"near, nearby; close, closeby",adj / adv
812,بھوت,"ghost; spirit; demon; ghost-like/ghastly person (derogatory, context-dependent)",noun
813,باقاعدہ,"regular, standard, proper",adj
814,مارچ,March,name
815,روک,stop; prevention; restraint; stop! (stem/imperative of روکنا),noun / verb stem / imperative
816,زراعت,agriculture,noun
817,شہید,martyr; martyred person; one killed for a cause/faith (context-dependent),noun / adjective
818,بل,force; might; power,noun
819,آہستہ,slowly; gently; softly; slow,adj / adv
820,داخلہ,admission; entry; enrollment; entrance,noun
821,غدار,"traitor, backstabber; treacherous, disloyal, traitor",adj / noun
822,امراض,diseases; illnesses,noun
823,نسل,"generation; family, lineage; race, ethnic group",noun
824,ارشاد,"command, direction, order",noun
825,خطرہ,"risk, danger",noun
826,مخالفت,opposition (ie. hostility); opposition (ie. disagreement),noun
827,زمانے,"times; eras; ages; time/era (oblique/vocative singular, context-dependent)",noun
828,آمد,arrival,noun
829,غزل,"ghazal (a poetic form mostly used for love poetry in Middle Eastern, South, and Central Asian poetry)",noun
830,دفاع,defence (military); defence (of character against allegations),noun
831,واحد,one; single; sole; only; singular (grammar),adjective / numeral / noun
832,شاندار,splendid; magnificent; excellent,adj
833,شوق,interest; hobby; enthusiasm; desire; passion,noun
834,گیارہ,eleven,numeral
835,آگاہ,"knowledgeable, knowing; informed, aware, known to",adj
836,شیر,lion; milk; tiger,noun
837,گزر,passage; passing; pass/go by (verb stem); livelihood (in constructions/context-dependent),noun / verb stem
838,برداشت,patience; endurance; tolerance,noun
839,انٹرنیٹ,the Internet,noun
840,روزانہ,daily; every day,adverb / adjective
841,پا,"foot; leg; get; obtain; find (verb stem of پانا, context-dependent)",noun / verb stem
842,معاملہ,"matter, affair, issue",noun
843,رفتار,pace; speed; motion,noun
844,ملوث,"involved, implicated; tainted, polluted, befouled, contaminated",adj
845,قاضی,qazi; judge,noun
846,ایرانی,Iranian,adj / noun
847,سڑک,road,noun
848,نظریہ,theory; ideology; perspective,noun
849,حکمت,wisdom; sagacity; prudence; strategy; philosophy (context-dependent),noun
850,افسر,officer,noun
851,عمارت,building,noun
852,صحافیوں,journalists (oblique plural),noun
853,پیغام,message; communication; news; advice (context-dependent),noun
854,پناہ,asylum; refuge (ie. protection); shelter (ie. a place of security),noun
855,دیش,country; land,noun
856,حلقہ,"boundary; circle, ring, hoop; constituency, electoral district",noun
857,خاتمہ,"conclusion, end, termination",noun
858,انتظار,"wait, waiting; expectation; expectancy",noun
859,امام,imam,noun
860,جج,judge,noun
861,من,maund (unit of mass),noun
862,شب,night; evening,noun
863,دوستی,friendship,noun
864,فرض,duty; obligation; obligatory religious act/prayer; assumption/supposition,noun
865,ادائیگی,payment; fulfillment; performance,noun
866,مملکت,state; country; kingdom; realm,noun
867,کمزور,"ineffective; weak, feeble; incomplete, undone",adj
868,بارہ,twelve,numeral
869,پیار,"beloved, dear; love, romance; love, friendship",noun
870,لڑکی,girl; daughter,noun
871,لا,not,particle
872,اکبر,greater; greatest; Akbar (name),adjective / name
873,چاہے,"though, even if; either, whether, or; masculine plural perfect indicative",conj / verb
874,گوشت,meat,noun
875,باپ,father,noun
876,صفائی,cleanliness; cleaning; hygiene; explanation/defense/exoneration (context-dependent),noun
877,فضل,"beneficence; excellence, virtue; learning, knowledge",name / noun
878,بنانا,"to cause to be/become; to make, create, produce; to make to form/ turn into",verb
879,انتظام,"method, system; preparation, arrangement",noun
880,تیسری,third (feminine),adjective / determiner
881,حافظ,guardian; protector; keeper; person who has memorized the Qur'an; Hafiz (name/title),noun / title / name
882,کپڑے,clothes; clothing; cloth; garment(s),noun
883,تجربہ,"experience; experiment, test, trial",noun
884,خطرناک,dangerous,adj
885,گندم,wheat,noun
886,ریاض,Riaz/Riyaz (male name); Riyadh; gardens (Arabic-derived),name / proper noun / noun
887,دشمن,"opponent; enemy, foe",noun
888,ذات,self; being; essence; caste; community/background (context-dependent),noun
889,عطا,gift; grant; bestowal; giving,noun
890,موجودگی,"presence, attendance",noun
891,بازار,"market, souq (bazaar)",noun
892,بلا,without; calamity; disaster; affliction (depending on vocalization/context),preposition / noun
893,نواب,nawab; noble; ruler/governor (historical title),noun / title
894,نجی,"secretive, confidential; private, personal, unofficial, confidential",adj
895,روایت,"tradition; legend, narrative",noun
896,عزت,honor; respect; esteem,noun
897,رویہ,"attitude; rule, procedure; behavior, conduct, manner",noun
898,اعتبار,"credibility; reliability; trust, confidence",noun
899,کھڑے,standing; upright,adjective
900,سلطان,king; sultan,noun
901,اطلاع,information; notice; notification; news,noun
902,یقینا,"indeed, definitely, for sure, surely, undoubtedly",adv
903,نشانہ,"aim, target",noun
904,شعر,couplet (of Urdu poetry),noun
905,معطل,suspended,adj
906,حالانکہ,"although, however",conj
907,پیسے,"money; paise/coins; paisa (oblique/vocative singular, context-dependent)",noun
908,خصوصا,"mainly, primarily; especially, particularly",adv
909,رہنا,to stay; to remain; to live; to reside; progressive auxiliary use,verb
910,دکھ,"pain, hardship; sadness, grief; suffering, distress",noun
911,علیحدہ,"different, various; separately, apiece; separate, apart from, asunder, disconnected, distinct",adj / adv
912,ماہر,"expert, professional; skilled, masterful, proficient; scholar of a specific discipline",adj / noun
913,سرمایہ,"capital; materials, goods, stuff; wealth; financial means",noun
914,سلامتی,safety; security; well-being; welfare,noun
915,امکان,possibility; chance; likelihood; feasibility,noun
916,بحال,"reinstated, restored",adj
917,تصویر,picture; image; photograph; portrait; representation,noun
918,خالی,empty; vacant; free; bare; only/merely (context-dependent),adjective / adverb
919,مستقل,permanent; constant; stable; regular,adjective / adverb (context-dependent)
920,جمہوری,democratic,adj
921,پس,therefore; so; then; behind; after (context-dependent),adverb / conjunction / prepositional element
922,بادشاہ,"king; Badshah, Padishah",noun
923,جذبہ,emotion; feeling; sentiment; passion; drive,noun
924,مقامی,local; native; local resident,adjective / noun
925,مخالف,"opposer; contrary, opposite; opponent, adversary",adj / noun
926,سہولت,"ease, convenience; facility (ie. something provided)",noun
927,اچانک,suddenly; unexpectedly; all of a sudden,adverb
928,کرا,caused/made someone do; had done (causative form of کرنا),verb
929,انتقال,"death, passing; transfer, moving",noun
930,نقل,copy; imitation; transcription; quotation; transfer/transport (context-dependent),noun
931,آسانی,"ease, simplicity, convenience; an instance of above; an easy thing",noun
932,ورنہ,else; if not; otherwise,adv
933,سماعت,"attention; sense of hearing; hearing, proceeding",noun
934,خشک,dry; parched; withered,adj
935,موبائل,"phone, telephone, mobile",noun
936,پنجابی,Punjabi; Punjabi language; Punjabi person,adjective / noun
937,افسوس,"pity; sorrow; regret, remorse",noun
938,فصل,crop; harvest; season; chapter; section,noun
939,مغرب,west; the West; sunset/Maghrib time; Maghrib prayer,noun
940,عہد,"covenant; era, epoch; vow, pledge",noun
941,غم,grief; sorrow,noun
942,طبی,medical,adj
943,صدی,century,noun
944,مطالعہ,"study, reading, perusal; considering, inspecting, contemplation",noun
945,آنا,"to come; to arrive; to know how (in ability constructions, context-dependent)",verb
946,انسانیت,humanity,noun
947,رہائش,"residence, stay",noun
948,تاریخی,historical,adj
949,مبتلا,afflicted,adj
950,منظوری,"approval, consent, acceptance",noun
951,خواہ,whether; or; even if; whether...or,conjunction
952,حدود,limits; boundaries,noun
953,معاہدے,"agreements; treaties; agreement/treaty (oblique/vocative singular, context-dependent)",noun
954,رحیم,merciful; compassionate; Rahim (name),adjective / name
955,پریشان,"bothered, distressed, troubled, worried",adj
956,حفاظت,protection; safekeeping; guardianship,noun
957,دماغ,brain; mind; intellect,noun
958,خوب,very; well; good; beautiful,adj / adv / phrase
959,نوید,"good news; wedding invitation; a male given name, Navid, Naveed, or Naved, from Persian",name / noun
960,بیٹی,daughter,noun
961,غور,"close attention, care; deep thought, deliberation",noun
962,مبارک,"blessed; auspicious; congratulations!; happy (as in Happy Birthday/Eid, context-dependent)",adjective / interjection
963,ہار,"defeat; loss; necklace; garland; lose!/give up (verb stem, context-dependent)",noun / verb stem
964,مری,died (feminine singular); Murree (place name),verb form / proper noun
965,دعویٰ,claim; assertion; legal claim; lawsuit,noun
966,انگریزی,British; English (language); English; of or relating to the English language or English people,adj / noun
967,پہ,on; at; upon (variant/colloquial form of پر),postposition
968,ذرا,a little; slightly; just; please/just (politeness softener),adverb / particle
969,ہفتہ,week; Saturday; protection/extortion payment (slang/context-dependent),noun
970,عموما,"generally, usually",adv
971,خانہ,"compartment, drawer; box, small container; place, site, dwelling, house",noun
972,کلب,"club; dog (rare/literary Arabic-derived homograph, context-dependent)",noun
973,مدت,"period, duration",noun
974,جناح,Jinnah (surname/proper name); wing; flank,proper noun / noun
975,حملوں,attacks; assaults (oblique plural),noun
976,سود,interest (on money); profit; usury,noun
977,شکایت,complaint; grievance; objection; medical complaint/symptom (context-dependent),noun
978,جوہری,"jeweler; atomic, nuclear; pertaining to gems or jewels",adj / noun
979,کپاس,cotton (material and plant),noun
980,داد,praise; appreciation; applause; justice/redress (context-dependent),noun
981,پھول,flower; blossom,noun
982,کینسر,cancer,noun
983,بوجھ,"encumbrance; bundle, pack; burden, load (ie. weight)",noun
984,سائیکل,bicycle,noun
985,عدد,number; numeral,noun
986,فضا,"space; ambience; air, atmosphere",noun
987,بہن,sister; female cousin (context-dependent); respectful address for a woman (context-dependent),noun
988,سارا,"all; whole, entire",determiner
989,طرز,"mode, way; style; manner; style (ie. fashion)",noun
990,خام,raw; unripe; crude; unfinished; rough; approximate,adjective
991,دم,breath; moment; tail (different senses),noun
992,اختتام,ending; completion,noun
993,بارش,rain,noun
994,نگرانی,supervision; monitoring; oversight; watch; security (context-dependent),noun
995,جرم,crime; sin,noun
996,قید,imprisonment; confinement; captivity; restriction,noun
997,آفریدی,Afridi,noun
998,چلی,went; left; moved (feminine singular form of چلنا); Chile (country),verb form / proper noun
999,ساڑھے,and a half; half past (used with numbers),numeral / quantifier
1000,دوستوں,friends (oblique plural),noun
