rank,target,english,part_of_speech
677,virer,to fire/dismiss; turn; remove; transfer (informal senses vary),verb
678,personnel,"personal; staff, members of staff, personnel",adjective / noun
679,censé,supposed to; meant to,adjective
680,autour,around; surrounding,adverb / noun
681,règle,rule; regulation,noun
682,témoin,witness,noun
683,absolument,at all costs; absolutely; totally; completely,adverb
684,journal,log; newsbreak; newspaper,noun
685,prévoir,to plan; to stipulate; to forecast (weather),verb
686,tueur,killer; murderer,noun
687,hors,outside,preposition
688,dégager,"to get out of here; to release (funds); to give off, emit, radiate",verb
689,mission,mission,noun
690,souhaiter,hope; wish; desire,verb
691,surveiller,"to monitor, to survey, to watch",verb
692,colère,"wrath; anger, rage",noun
693,risquer,"to face, to incur; to risk, to put at risk; to run the risk of; to be likely to",verb
694,décision,decision,noun
695,signifier,"to signify, mean",verb
696,ennemi,enemy,adjective / noun
697,paix,peace,noun
698,soin,care,noun
699,proche,"close, near (a time); loved one, close relative; close, near, closeby, nearby (to a place)",adjective / noun
700,retirer,"to retire; to remove, to pull out; to take off; to remove (e.g. clothes)",verb
701,exact,exact; precise,adjective
702,faim,hunger,noun
703,manière,"manner, way; somewhat, kinda, sorta, a bit, a little",noun
704,papier,paper,noun
705,coin,"quack; corner; area, part, place, spot",noun
706,bois,"hull; wood (type of club); wooden engraving, woodcut",noun
707,camp,tented camp; camping site; camp of tents; camping ground,noun
708,arrière,rear; back; behind,adjective / adverb / noun
709,paraître,"appearance; to be published; to appear, to seem",verb
710,armée,army,noun
711,club,"club (an implement to hit the ball in certain ball games, such as golf); club (an association of members joining together for some common purpose, especially sports or recreation)",noun
712,dedans,inside,adverb / noun
713,boîte,box; tin,noun
714,information,an item of information,noun
715,professeur,professor,noun
716,jambe,leg,noun
717,vol,"flight; stealing, theft, robbery",noun
718,fond,back; base; bottom,noun
719,vaisseau,vessel,noun
720,tenter,to tempt; to attempt; to be desirable or interesting to; to be something one feels like doing,verb
721,gauche,left,adjective / noun
722,régler,"to regulate; to set, to adjust; to rule; to put lines on",verb
723,soldat,soldier,noun
724,tranquille,calm; quiet; tranquil,adjective
725,âme,soul,noun
726,gosse,kid; child (informal),noun
727,déjeuner,"breakfast; lunch, luncheon; to lunch, to eat lunch, to have lunch",noun / verb
728,diriger,"to aim, to direct; to direct (a film); to steer (vehicles)",verb
729,compris,included; understood; past participle of comprendre,adjective
730,échapper,"to go away, run away; to escape (from), evade; to drop an object unintentionally",verb
731,partager,to share; to divide,verb
732,ravir,"to kidnap or abduct; to plunder, rob or loot; to ravish (to seize by force)",verb
733,vue,view; sight,noun
734,avancer,"to progress; to advance, to go forward; to propose, to put forward",verb
735,marché,"market; deal, contract; past participle of marcher",noun
736,brûler,"to burn; to be boiling, to be very close to the answer; to pass an obstacle, to blow (through or past), to run",verb
737,visite,visit,noun
738,poste,"extension; job, post; post office",noun
739,crier,to creak; to shout; to cry out,verb
740,intérêt,"interest; benefit, advantage; point (purpose, objective)",noun
741,souffrir,to endure; to suffer,verb
742,sentiment,"an opinion; a sentiment, general thought, sense or feeling",noun
743,laquelle,which one; which (feminine singular),pronoun
744,drogue,drug,noun
745,couvrir,cover,verb
746,mur,wall,noun
747,trou,hole,noun
748,forme,form; shape,noun
749,responsable,"responsible; person in charge, manager",adjective / noun
750,dame,lady; queen,noun / interjection
751,capable,able; capable,adjective
752,allô,hello,interjection
753,anniversaire,birthday; anniversary,noun
754,obliger,"to help, to aid; (intransitive) to have to; to oblige, to require, to compel, to force",verb
755,contrôle,"test; control (all senses); verification, checking",noun
756,rêver,dream,verb
757,danger,danger,noun
758,bar,bass (fish); bar (counter); bar (establishment),noun
759,animal,animal,adjective / noun
760,selon,according to; depending on; in accordance with,preposition
761,remarquer,notice,verb
762,bleu,blue; bruise; billiard chalk,adjective / noun
763,traverser,"to cross, to go across",verb
764,triste,sad,adjective
765,entier,whole,adjective / noun
766,doucement,gently; softly; slowly; quietly,adverb
767,mignon,cute; pretty; charming; lovely,adjective / noun
768,charger,"to charge; to load (firearm); to overact, ham it up",verb
769,or,gold,conjunction / noun
770,blague,sly joke,noun
771,étrange,"foreign; strange (bizarre, odd, abnormal)",adjective
772,dépêcher,dispatch,verb
773,répéter,repeat,verb
774,appartenir,belong to,verb
775,chaud,warm,adjective / noun
776,parole,"Word; swear to God!; floor (the right to speak, as, for example, in a legislative assembly)",noun
777,parier,"to mate, couple; to bet (make a guess about the outcome of an event)",verb
778,opération,operation; surgical operation,noun
779,compagnie,company,noun
780,classe,class,noun
781,douter,doubt,verb
782,test,test; trial,noun
783,plusieurs,several,adjective
784,reposer,"to rest; to be based on; to put down, to place",verb
785,bord,"rim; side; shore, by",noun
786,contact,contact,noun
787,plaisanter,to joke (make a joke),verb
788,but,"aim; a surname, But; goal (in the place, act, or point sense)",noun
789,réunion,"meeting; reunion; Réunion (island, as a proper name)",noun
790,second,second,adjective / noun
791,signe,sign; gesture; indication,noun
792,deviner,guess,verb
793,travers,fault; defect; crosswise; through/across (in à travers),noun
794,projet,plan; project; draft constitution,noun
795,soleil,sun,noun
796,coupable,guilty,adjective / noun
797,moi-même,myself,pronoun
798,libérer,release,verb
799,pute,"whore, slut (prostitute); fucking (used for emphasis); bitch, slut (promiscuous woman)",noun
800,moitié,half,noun
801,rater,miss,verb
802,engager,to pawn; to enlist; to involve,verb
803,gueule,mouth/muzzle; face (informal); gob/mug (informal),noun
804,chat,cat,noun
805,appartement,flat; apartment,noun
806,excuse,excuse; second-person singular imperative; first/third-person singular present indicative/subjunctive,noun
807,surprise,surprise,noun
808,respirer,breathe,verb
809,naître,to be born,verb
810,survivre,to outlive; to survive,verb
811,debout,standing; upright; up; on one's feet,adverb
812,bière,beer; bier; coffin,noun
813,horrible,horrible; awful,adjective
814,doigt,finger,noun
815,intelligent,intelligent,adjective
816,riche,rich person; rich (vivid); rich (abundant),adjective / noun
817,télé,"TV, telly",noun
818,santé,health,noun
819,cerveau,brain,noun
820,pourtant,"however, yet",adverb
821,contrôler,to control; to check or examine,verb
822,sourire,smile,noun / verb
823,parfait,perfect,adjective / noun
824,fonctionner,"to function, to work",verb
825,enfer,Hell,noun
826,ciel,sky; heaven,noun
827,combat,fight; battle; combat,noun
828,course,"race; errand; run, running",noun
829,excellent,excellent; great,adjective
830,bête,beast; animal,adjective / noun
831,bruit,a noise; a rumor or report,noun
832,risque,risk; second-person singular imperative; first/third-person singular present indicative/subjunctive,noun
833,membre,limb; member,noun
834,enquête,inquiry; investigation,noun
835,parfaire,"to finish, to complete; to make a supplementary payment",verb
836,chacun,"each, each one; every, everyone",pronoun
837,bosser,to work (informal); emboss/dent,verb
838,dommage,pity; shame; damage,noun / interjection
839,lieutenant,lieutenant,noun
840,base,base,noun
841,héros,hero,noun
842,diable,devil,noun / interjection
843,officier,officer,noun / verb
844,expérience,experience; experiment,noun
845,attaque,attack; assault; aggression,noun
846,habiter,"to live (in); to live in, to occupy (to have as a home.)",verb
847,supporter,"to bear; to support; supporter, fan",noun / verb
848,bombe,bomb,noun
849,juge,judge,noun
850,vidéo,video,adjective / noun
851,directeur,"director; leading, guiding; school principal",adjective / noun
852,retenir,"to uphold; to remember; to retain, hold",verb
853,prince,prince,noun
854,dingue,"madman, maniac; mad, crazy, nuts; incredible, unbelievable",adjective / noun
855,connerie,bullshit; stupidity; stupid thing (vulgar),noun
856,caméra,movie camera,noun
857,méchant,"mean, unkind; bad, mediocre; jerk (cruel person)",adjective / noun
858,filer,to spin/thread; slip away; give/pass; tail/follow,verb
859,milieu,middle; environment / surroundings; social circle,noun
860,enfuir,to flee; run away; escape (usually s'enfuir),verb
861,cuisine,kitchen,noun
862,fenêtre,window,noun
863,construire,to build,verb
864,suspect,a suspect; suspicious; suspect,adjective / noun
865,bouche,mouth,noun
866,grandir,"to grow up; to magnify; to grow, get bigger",verb
867,image,image; picture,noun
868,là-dedans,in there; in that,adverb
869,société,society,noun
870,environ,"a surrounding area; about, close to, around",adverb / noun
871,doux,mild; soft; sweet,adjective / adverb
872,banque,bank,noun
873,proposer,"to propose (offer); to propose, suggest",verb
874,nettoyer,clean,verb
875,terrible,terrible; dreadful; awful; severe/intense,adjective
876,urgence,"emergency, urgency",noun
877,forcer,to force; compel; make,verb
878,atteindre,to reach; to affect; to attain,verb
879,gérer,"to manage; to rule, to rock (to excel)",verb
880,gouvernement,government,noun
881,honte,shame (feeling); shame (something shameful),noun
882,fleur,a female given name; the best of something; the virginity of a woman,noun
883,fuir,to flee; to escape; to leak; to have a leak,verb
884,poursuivre,"to sue; to continue; to pursue, to chase",verb
885,copain,"friend, chum, mate (UK), pal, buddy; ellipsis of petit copain: boyfriend (boy/man to whom one has a romantic attachment)",noun
886,étranger,foreign; stranger; unacquainted,adjective / noun
887,niveau,level,noun
888,anglais,English; Anglo-American or Anglophone,adjective / noun
889,position,position,noun
890,profiter,to benefit; take advantage of; enjoy; profit from,verb
891,machine,engine; machine,noun
892,action,"campaign; stock, share; a special offer",noun
893,hum,hmm; um,interjection
894,remonter,"to wind up; to turn back up; to go up, to ride up",verb
895,futur,future,adjective / noun
896,peuple,folk; nation; people,noun
897,époque,era; period; age,noun
898,bain,bath,noun
899,impliquer,imply,verb
900,merveilleux,wonderful; marvelous; marvellous,adjective
901,peau,fur; hide; skin,noun
902,magasin,"barn; shop, store; warehouse, storehouse",noun
903,tel,"such; like, as; one (impersonal pronoun)",adjective / pronoun
904,quartier,"quarter; impoverished neighbourhood, often suburban",noun
905,surprendre,surprise,verb
906,toilette,toilet,noun
907,silence,silence,noun
908,radio,"radio, tuner; short for radiographie; short for radiotélégramme",noun
909,recommencer,to restart; start again; begin again; do again,verb
910,exemple,example,noun
911,tort,"fault; wrong, error",noun
912,intéressant,interesting; present participle of intéresser,adjective
913,vin,wine,noun
914,trace,trace; track,noun
915,regretter,to regret; to miss; to wish something had not happened or occurred,verb
916,coincer,to jam; get stuck; trap; wedge,verb
917,demande,demand; request (act of requesting); second-person singular imperative,noun
918,nul,no; none; worthless/lousy; draw/tie,adjective / noun / pronoun
919,laisse,"laisse; foreshore; leash, lead",noun
920,lequel,which one; which (masculine singular),pronoun
921,code,code,noun
922,félicitation,congratulation,noun
923,convaincre,convince; persuade,verb
924,ennui,boredom,noun
925,résultat,bottom line; outcome; result,noun
926,monstre,monster,noun
927,la,the (feminine singular); her; it,article / determiner / noun / pronoun
928,enceinte,"interior; pregnant; speaker, amplifier",adjective / noun
929,réparer,fix; repair,verb
930,vide,gap; empty; space,adjective / noun
931,centre,"centre, center; cross, specifically one directed into the penalty area; Centre (a former administrative region of France, now named Centre-Val de Loire)",noun
932,rôle,role; character,noun
933,nulle,no; none (feminine); lousy/terrible (informal adjective),adjective / pronoun
934,zone,zone,noun
935,débarrasser,rid,verb
936,séparer,"to separate; to split up, to cause to come apart",verb
937,espoir,hope,noun
938,adresse,"direction; skill, adroitness; entry (in a dictionary)",noun
939,morceau,"gun, piece; piece, work; piece, slice, bit, morsel",noun
940,douleur,pain; distress,noun
941,causer,"to speak (a language); to cause (be the cause of); to speak, talk, chat; to be waffling on about",verb
942,honnête,"decent, acceptable; honest (scrupulous with regard to telling the truth)",adjective
943,ordinateur,computer,noun
944,copine,"female equivalent of copain: female friend, girl friend, chum, pal; ellipsis of petite copine: girlfriend (girl/woman to whom one has a romantic attachment)",noun
945,ridicule,ridiculous,adjective / noun
946,oser,to dare; to be allowed to,verb
947,match,"match, game",noun
948,admettre,"to admit, to accept, to recognize; to admit (into), to accept (into) (a hospital or a university)",verb
949,mer,sea,noun
950,briser,to break; snap; to become broken; snap,verb
951,rapide,fast; rapid; quick,adjective
952,camion,lorry; truck,noun
953,bande,band; group; strip; tape,noun
954,défendre,defend,verb
955,accompagner,accompany,verb
956,chaussure,shoe,noun
957,nourriture,food; nourishment,noun
958,sérieusement,seriously,adverb
959,coûter,cost,verb
960,sonner,to ring; to sound,verb
961,remplir,"to fulfil; to fill in; to fill, to fill up (make full)",verb
962,apparemment,seemingly; apparently,adverb
963,fumer,to smoke; to steam; to emit smoke,verb
964,liberté,freedom,noun
965,étudier,study,verb
966,attirer,"to attract; to lure, to entice",verb
967,art,art,noun
968,dent,tooth,noun
969,planète,planet,noun
970,nez,nose,noun
971,colonel,colonel,noun
972,exploser,explode,verb
973,départ,departure,noun
974,avance,"(romantic) advances; progression, advance; first-person singular present indicative of avancer",noun
975,vêtement,garment; item of clothing,noun
976,sexe,sexy; sex organ; pornographic,noun
977,couleur,suit; a flush; color/colour,noun
978,arbre,axle; drive shaft,noun
979,installer,install,verb
980,innocent,innocent; a naive person; a stupid or foolish person,adjective / noun
981,durer,to last (for),verb
982,respecter,"to respect; to meet (deadline); to comply with (rules, laws)",verb
983,lycée,high school; secondary school; lycée,noun
984,soit,either; be (subjunctive of être); namely/that is; okay/agreed,conjunction
985,détail,detail,noun
986,criminel,crime; criminal; criminal (against the law); criminal (similar to a criminal),adjective / noun
987,énorme,"enormous, huge",adjective
988,défense,fender; defence; tusk (of animal),noun
989,conversation,conversation,noun
990,traîner,"to drag on; to drag along; to pull, drag",verb
991,secours,first aid,noun
992,bonne,good; maid (dated noun),adjective / noun
993,inutile,"useless, unnecessary, pointless",adjective
994,politique,policy; politics,adjective / noun
995,thé,tea,noun
996,mensonge,lie,noun
997,été,summer,noun
998,procès,trial; lawsuit,noun
999,programme,program; programme; schedule; plan,noun
1000,baisser,"to fail; to lower; to go down, fall",verb
