rank,level,target,english,attribution
189,A,"Voilà, bois un coup !","Here, have a drink.",CC-BY 2.0 (France) Attribution: tatoeba.org #2648132 (CK) & #3645707 (sacredceltic)
190,A,J'admire votre travail.,I admire your work.,CC-BY 2.0 (France) Attribution: tatoeba.org #9162668 (CK) & #8698795 (Julien_PDC)
191,B,Je te suis reconnaissant pour ton temps.,I am grateful to you for your time.,CC-BY 2.0 (France) Attribution: tatoeba.org #1933565 (CK) & #2040929 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
192,B,Je te suis reconnaissant pour ton travail.,I am grateful to you for your work.,CC-BY 2.0 (France) Attribution: tatoeba.org #1933561 (CK) & #2040920 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
193,A,Je te connais à peine.,I barely know you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2293499 (CK) & #5291279 (Aiji)
194,A,Je peux en acheter un.,I can buy one.,CC-BY 2.0 (France) Attribution: tatoeba.org #2300635 (CK) & #4267808 (sacredceltic)
195,A,Je peux en acheter deux.,I can buy two.,CC-BY 2.0 (France) Attribution: tatoeba.org #2300636 (CK) & #7774335 (Rockaround)
196,A,Je peux le faire.,I can do it.,CC-BY 2.0 (France) Attribution: tatoeba.org #254742 (CK) & #998651 (sacredceltic)
197,A,Je peux faire plus.,I can do more.,CC-BY 2.0 (France) Attribution: tatoeba.org #2300666 (CK) & #7251081 (Rockaround)
198,A,Je peux faire ça !,I can do this.,CC-BY 2.0 (France) Attribution: tatoeba.org #1841706 (CK) & #1842777 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
199,A,Je peux te conduire.,I can drive you.,CC-BY 2.0 (France) Attribution: tatoeba.org #3728969 (CM) & #4247360 (mouche)
200,A,J'arrive à le sentir.,I can feel it.,CC-BY 2.0 (France) Attribution: tatoeba.org #1841705 (CK) & #1842779 (sacredceltic)
201,A,Je peux t'entendre.,I can hear you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2301250 (CK) & #5375581 (Aiji)
202,A,"Je peux me débrouiller, merci.","I can manage, thanks.",CC-BY 2.0 (France) Attribution: tatoeba.org #2771529 (sharptoothed) & #12656324 (lbdx)
203,A,Je peux payer d'avance.,I can pay upfront.,CC-BY 2.0 (France) Attribution: tatoeba.org #3581351 (bluwy) & #3698767 (Elliv)
204,A,Je peux te protéger.,I can protect you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2207241 (Hybrid) & #5545435 (sacredceltic)
205,A,Je parle anglais.,I speak English.,CC-BY 2.0 (France) Attribution: tatoeba.org #256187 (CK) & #14325 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
206,A,Je peux parler français.,I can speak French.,CC-BY 2.0 (France) Attribution: tatoeba.org #255548 (CK) & #6925 (sysko)
207,A,Je peux le comprendre.,I can understand it.,CC-BY 2.0 (France) Attribution: tatoeba.org #2301401 (CK) & #11563395 (Aiji)
208,A,Je peux comprendre ça.,I can understand that.,CC-BY 2.0 (France) Attribution: tatoeba.org #2301402 (CK) & #6716771 (Aiji)
209,A,Je ne peux pas rentrer chez moi.,I can't go home.,CC-BY 2.0 (France) Attribution: tatoeba.org #1951717 (CK) & #9798925 (Micsmithel)
210,A,Je ne peux vous aider.,I can't help you.,CC-BY 2.0 (France) Attribution: tatoeba.org #843310 (parheliu) & #1156989 (sacredceltic)
211,A,Je ne peux pas vous le dire.,I can't tell you.,CC-BY 2.0 (France) Attribution: tatoeba.org #1955048 (CK) & #10493679 (Julien_PDC)
212,A,Je ne peux pas travailler aujourd'hui.,I can't work today.,CC-BY 2.0 (France) Attribution: tatoeba.org #5829245 (CK) & #7967075 (Aiji)
213,A,Je reviens à la maison à 14 h 30.,I come home at 2:30.,CC-BY 2.0 (France) Attribution: tatoeba.org #2732501 (CK) & #5963214 (Aiji)
214,A,Je pouvais à peine parler.,I could barely speak.,CC-BY 2.0 (France) Attribution: tatoeba.org #2724665 (Hybrid) & #5549497 (sacredceltic)
215,A,Je pourrais le faire.,I could do it.,CC-BY 2.0 (France) Attribution: tatoeba.org #5840511 (CK) & #11733692 (Aiji)
216,A,Je ne pouvais rien faire.,I could do nothing.,CC-BY 2.0 (France) Attribution: tatoeba.org #1582126 (Spamster) & #1582128 (sacredceltic)
217,A,J'aurais pu aider.,I could have helped.,CC-BY 2.0 (France) Attribution: tatoeba.org #2308114 (CK) & #11563733 (Aiji)
218,A,Je pourrais t'embrasser.,I could kiss you.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887149 (CK) & #1998752 (sacredceltic)
219,A,Je pourrais ne rien dire.,I could say nothing.,CC-BY 2.0 (France) Attribution: tatoeba.org #5958461 (CK) & #6930061 (Rockaround)
220,A,Je pourrais vous enseigner.,I could teach you.,CC-BY 2.0 (France) Attribution: tatoeba.org #3729194 (CM) & #4196736 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
221,A,Je n'ai pas pu dire non.,I couldn't say no.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887157 (CK) & #11540348 (Aiji)
222,A,Je ne saurais te le dire.,I couldn't tell you.,CC-BY 2.0 (France) Attribution: tatoeba.org #11565250 (shekitten) & #11953338 (zogwarg)
223,A,J'ai fait de mon mieux.,I did my best.,CC-BY 2.0 (France) Attribution: tatoeba.org #1075109 (shanghainese) & #1075111 (sacredceltic)
224,A,J'ai fait mes devoirs.,I did my homework.,CC-BY 2.0 (France) Attribution: tatoeba.org #2314845 (CK) & #1646802 (belgavox)
225,A,J'ai fait mon travail.,I did my job.,CC-BY 2.0 (France) Attribution: tatoeba.org #2314846 (CK) & #2699768 (Anthaus)
226,A,J'ai fait ma part.,I did my part.,CC-BY 2.0 (France) Attribution: tatoeba.org #2314847 (CK) & #4223273 (sacredceltic)
227,A,J'ai fait ça aujourd'hui.,I did that today.,CC-BY 2.0 (France) Attribution: tatoeba.org #4498103 (CK) & #6525788 (Aiji)
228,A,Je t'avais prévenue.,I had warned you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2314861 (CK) & #4223281 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
229,A,Je ne suis pas allé là.,I didn't go there.,CC-BY 2.0 (France) Attribution: tatoeba.org #5263787 (CK) & #9087465 (Selenyt)
230,A,Je n'ai pas eu le temps.,I didn't have time.,CC-BY 2.0 (France) Attribution: tatoeba.org #2271731 (CK) & #8391252 (Aiji)
231,A,J'ignorais comment.,I didn't know how.,CC-BY 2.0 (France) Attribution: tatoeba.org #2271739 (CK) & #4115368 (sacredceltic)
232,A,Je te crois vraiment.,I do believe you.,CC-BY 2.0 (France) Attribution: tatoeba.org #2315126 (CK) & #2399047 (sacredceltic)
233,A,Je le sais bien.,I do know that.,CC-BY 2.0 (France) Attribution: tatoeba.org #2315131 (CK) & #2399062 (sacredceltic)
234,A,Je le veux vraiment.,I do want it.,CC-BY 2.0 (France) Attribution: tatoeba.org #43101 (CM) & #5116801 (gege_veggie)
235,A,Je ne sais pas comment.,I don't know how.,CC-BY 2.0 (France) Attribution: tatoeba.org #2271867 (CK) & #6965846 (Yemana)
236,A,Je ne sais pas où.,I don't know where.,CC-BY 2.0 (France) Attribution: tatoeba.org #2271869 (CK) & #3627912 (fleur74)
237,A,Je ne sais pas pourquoi.,I don't know why.,CC-BY 2.0 (France) Attribution: tatoeba.org #1784975 (Amastan) & #5427704 (pititnatole)
238,A,Je ne vous connais pas.,I don't know you.,CC-BY 2.0 (France) Attribution: tatoeba.org #252916 (CK) & #7411 (sacredceltic)
239,A,Je n'ai pas besoin d'aide.,I don't need help.,CC-BY 2.0 (France) Attribution: tatoeba.org #2271889 (CK) & #11558241 (Aiji)
240,A,Je ne vous comprends pas.,I don't understand you.,CC-BY 2.0 (France) Attribution: tatoeba.org #436555 (lukaszpp) & #7427 (Bruno)
241,A,Je ne travaille pas ici.,I don't work here.,CC-BY 2.0 (France) Attribution: tatoeba.org #2020707 (Spamster) & #2020723 (Aiji)
242,A,Je ne travaille pas demain.,I don't work tomorrow.,CC-BY 2.0 (France) Attribution: tatoeba.org #2306419 (sysko) & #2306414 (gillux)
243,B,Je compte sur votre aide.,I'm counting on your help.,CC-BY 2.0 (France) Attribution: tatoeba.org #17056 (CK) & #474284 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
244,A,Je me sens mal aujourd'hui.,I feel bad today.,CC-BY 2.0 (France) Attribution: tatoeba.org #662613 (bluepie88) & #6517 (Cocorico)
245,A,Je me sens mieux aujourd'hui.,I feel better today.,CC-BY 2.0 (France) Attribution: tatoeba.org #242822 (CK) & #337339 (sysko)
246,A,"Je me sens différent, aujourd'hui.",I feel different today.,CC-BY 2.0 (France) Attribution: tatoeba.org #3729592 (CM) & #4185758 (sacredceltic)
247,A,Je compatis avec toi.,I feel for you.,CC-BY 2.0 (France) Attribution: tatoeba.org #17448 (CK) & #477125 (sacredceltic)
248,A,"Je me sens bizarre, aujourd'hui.",I feel strange today.,CC-BY 2.0 (France) Attribution: tatoeba.org #3729593 (CM) & #4185826 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
249,A,Je me sens bien ici.,I feel good here.,CC-BY 2.0 (France) Attribution: tatoeba.org #6060903 (colwem) & #6059981 (christian63)
250,A,J'ai envie de faire la fête.,I feel like celebrating.,CC-BY 2.0 (France) Attribution: tatoeba.org #3619047 (CK) & #3637205 (sacredceltic)
251,B,Y en a-t-il d'autres comme toi ?,Are there others like you?,CC-BY 2.0 (France) Attribution: tatoeba.org #3126575 (CK) & #6473184 (Aiji)
252,B,Sommes-nous prêts à partir ?,Are we ready to go?,CC-BY 2.0 (France) Attribution: tatoeba.org #1839434 (CK) & #1849872 (sacredceltic)
253,B,C'est vous qui me reconduisez à la maison ?,Are you the one taking me home?,CC-BY 2.0 (France) Attribution: tatoeba.org #11900755 (CK) & #11900827 (zogwarg) Editorially corrected after complete row-by-row linguistic audit.
254,B,Es-tu prêt à partir ?,Are you ready to go?,CC-BY 2.0 (France) Attribution: tatoeba.org #241099 (CK) & #986809 (sacredceltic)
255,B,Es-tu prêt à travailler ?,Are you ready to work?,CC-BY 2.0 (France) Attribution: tatoeba.org #5008851 (CK) & #6083176 (Aiji)
256,B,Est-ce que je peux te demander pourquoi ?,Can I ask you why?,CC-BY 2.0 (France) Attribution: tatoeba.org #3327388 (CK) & #11603894 (Aiji)
257,B,Puis-je te rappeler ?,Can I call you back?,CC-BY 2.0 (France) Attribution: tatoeba.org #2483090 (Hybrid) & #2036177 (sacredceltic)
258,B,Puis-je vous appeler demain ?,Can I call you tomorrow?,CC-BY 2.0 (France) Attribution: tatoeba.org #3819213 (CK) & #3328426 (Aiji)
259,B,Est-ce que je peux aller avec vous ?,Can I go with you?,CC-BY 2.0 (France) Attribution: tatoeba.org #3327384 (CK) & #3655691 (THURET) Editorially corrected after complete row-by-row linguistic audit.
260,B,Est-ce que je peux faire ça ici ?,Can I do that here?,CC-BY 2.0 (France) Attribution: tatoeba.org #5757709 (CM) & #7862867 (Aiji)
261,B,Puis-je rentrer à la maison maintenant ?,Can I go home now?,CC-BY 2.0 (France) Attribution: tatoeba.org #31402 (CK) & #13599 (Archibald)
262,B,Puis-je y aller maintenant ?,Can I go there now?,CC-BY 2.0 (France) Attribution: tatoeba.org #3333302 (_undertoad) & #482623 (sacredceltic)
263,B,Puis-je me rendre au travail ?,Can I go to work?,CC-BY 2.0 (France) Attribution: tatoeba.org #268596 (CK) & #1579855 (sacredceltic)
264,B,Puis-je avoir votre autographe ?,Can I have your autograph?,CC-BY 2.0 (France) Attribution: tatoeba.org #3328542 (CK) & #13393301 (lbdx)
265,B,Puis-je vous rencontrer demain ?,Can I meet you tomorrow?,CC-BY 2.0 (France) Attribution: tatoeba.org #7347676 (Eccles17) & #7323996 (felix63)
266,B,Puis-je te voir demain ?,Can I see you tomorrow?,CC-BY 2.0 (France) Attribution: tatoeba.org #3819204 (CK) & #339455 (TRANG)
267,B,Puis-je te parler ?,Can I speak to you?,CC-BY 2.0 (France) Attribution: tatoeba.org #3183318 (CK) & #10238 (Petro1)
268,B,"Quelqu'un peut-il m'aider, je vous prie ?",Can somebody please help me?,CC-BY 2.0 (France) Attribution: tatoeba.org #2095433 (CK) & #2097403 (sacredceltic)
269,B,Pouvons-nous venir avec vous ?,Can we come with you?,CC-BY 2.0 (France) Attribution: tatoeba.org #3096319 (CK) & #8352848 (zarisi)
270,B,Pouvons-nous faire ça ici ?,Can we do that here?,CC-BY 2.0 (France) Attribution: tatoeba.org #6090842 (CK) & #6941564 (Aiji)
271,B,On peut rentrer à la maison ?,Can we go back home?,CC-BY 2.0 (France) Attribution: tatoeba.org #4788140 (mcelaj) & #8412088 (lbdx)
272,B,Pouvons-nous juste rentrer chez nous ?,Can we just go home?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886263 (CK) & #2025064 (sacredceltic)
273,B,Pouvez-vous venir avec moi ?,Can you come with me?,CC-BY 2.0 (France) Attribution: tatoeba.org #3096325 (CK) & #7290425 (Aiji)
274,B,Peux-tu le faire demain ?,Can you do it tomorrow?,CC-BY 2.0 (France) Attribution: tatoeba.org #1886257 (CK) & #5313901 (parisian01) Editorially corrected after complete row-by-row linguistic audit.
275,B,Est-ce que tu peux faire ça ici ?,Can you do that here?,CC-BY 2.0 (France) Attribution: tatoeba.org #3716022 (patgfisher) & #11624479 (Aiji)
276,B,Est-ce que tu peux faire ça aujourd'hui ?,Can you do that today?,CC-BY 2.0 (France) Attribution: tatoeba.org #6049333 (CK) & #7853306 (Aiji)
277,B,Pouvez-vous me conduire chez moi ?,Can you drive me home?,CC-BY 2.0 (France) Attribution: tatoeba.org #2326738 (Hybrid) & #2330143 (sacredceltic)
278,B,Peut-on y manger quelque chose ?,Can you eat something there?,CC-BY 2.0 (France) Attribution: tatoeba.org #1456823 (qana) & #1461370 (sacredceltic)
279,B,"Pouvez-vous m'aider, s'il vous plaît ?","Can you help me, please?",CC-BY 2.0 (France) Attribution: tatoeba.org #434408 (lukaszpp) & #453152 (mamat) Editorially corrected after complete row-by-row linguistic audit.
280,B,Peux-tu juste rentrer chez toi ?,Can you just go home?,CC-BY 2.0 (France) Attribution: tatoeba.org #2951575 (CK) & #5801723 (Toynop)
281,B,"Pouvez-vous parler plus lentement, s'il vous plaît ?","Can you speak more slowly, please?",CC-BY 2.0 (France) Attribution: tatoeba.org #6102376 (CK) & #11166624 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
282,B,Peux-tu me conduire chez moi ?,Can you take me home?,CC-BY 2.0 (France) Attribution: tatoeba.org #3327492 (CK) & #2330145 (sacredceltic)
283,B,Peux-tu me dire comment ?,Can you tell me how?,CC-BY 2.0 (France) Attribution: tatoeba.org #5182631 (CK) & #5186312 (Mag14)
284,B,"Pourrais-je dire quelque chose, s'il vous plaît ?","Could I say something, please?",CC-BY 2.0 (France) Attribution: tatoeba.org #3286958 (CK) & #5382933 (Aiji)
285,B,Pourrais-je travailler à temps partiel ?,Could I work part-time?,CC-BY 2.0 (France) Attribution: tatoeba.org #2048403 (CK) & #2048828 (sacredceltic)
286,B,Pourriez-vous m'appeler plus tard ?,Could you call me later?,CC-BY 2.0 (France) Attribution: tatoeba.org #749266 (Serhiy) & #1303312 (sacredceltic)
287,B,Pourriez-vous m'aider s'il vous plaît ?,Could you please help me?,CC-BY 2.0 (France) Attribution: tatoeba.org #40087 (CK) & #339608 (sysko)
288,A,"""Pouvez-vous signer ici","s'il vous plaît ?""",CC-BY 2.0 (France) Attribution: tatoeba.org #61518 (CK) & #11238 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
289,B,Vous ai-je dit cela ?,Did I tell you that?,CC-BY 2.0 (France) Attribution: tatoeba.org #3199865 (CK) & #4232418 (sacredceltic)
290,B,Est-ce que je t'ai bien compris ?,Did I understand you correctly?,CC-BY 2.0 (France) Attribution: tatoeba.org #3393978 (AlanF_US) & #3217859 (Dreamk33)
291,B,Tu l'as acheté ici ?,Did you buy it here?,CC-BY 2.0 (France) Attribution: tatoeba.org #8485568 (adamtrousers) & #13344359 (genes1s)
292,B,Êtes-vous venu seul ici ?,Did you come here alone?,CC-BY 2.0 (France) Attribution: tatoeba.org #27660 (CK) & #465713 (sacredceltic)
293,B,As-tu fait tes devoirs ?,Did you do your homework?,CC-BY 2.0 (France) Attribution: tatoeba.org #434484 (lukaszpp) & #895068 (sacredceltic)
294,B,As-tu fait ton travail ?,Did you do your work?,CC-BY 2.0 (France) Attribution: tatoeba.org #495125 (adjusting) & #487879 (franzmimm)
295,B,Connaissiez-vous mon père ?,Did you know my father?,CC-BY 2.0 (France) Attribution: tatoeba.org #4104408 (CK) & #8703664 (Julien_PDC)
296,B,Dois-je y aller ?,Do I have to go?,CC-BY 2.0 (France) Attribution: tatoeba.org #1454594 (CK) & #1461709 (sacredceltic)
297,B,Tu viens souvent ici ?,Do you come here often?,CC-BY 2.0 (France) Attribution: tatoeba.org #619636 (ulyssemc1) & #1317553 (Mutusen)
298,B,Te sens-tu mieux aujourd'hui ?,Do you feel better today?,CC-BY 2.0 (France) Attribution: tatoeba.org #866512 (papabear) & #8426 (Apex)
299,B,As-tu envie de manger ?,Do you feel like eating?,CC-BY 2.0 (France) Attribution: tatoeba.org #953187 (CK) & #1329208 (sacredceltic)
300,B,Veux-tu te reposer ?,Do you want to rest?,CC-BY 2.0 (France) Attribution: tatoeba.org #19837 (CK) & #575526 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
301,B,Y vas-tu souvent ?,Do you go there often?,CC-BY 2.0 (France) Attribution: tatoeba.org #1824782 (FiRez) & #2811798 (Rovo)
302,B,Vas-tu à l’école ?,Do you go to school?,CC-BY 2.0 (France) Attribution: tatoeba.org #2985719 (sharptoothed) & #3787583 (Danquebec)
303,B,Disposez-vous de suffisamment de temps ?,Do you have enough time?,CC-BY 2.0 (France) Attribution: tatoeba.org #1096508 (CK) & #1099549 (sacredceltic)
304,B,As-tu mon livre ?,Do you have my book?,CC-BY 2.0 (France) Attribution: tatoeba.org #5103500 (CK) & #5829830 (Aiji)
305,B,As-tu de la famille ici ?,Do you have relatives here?,CC-BY 2.0 (France) Attribution: tatoeba.org #7686613 (AlanF_US) & #8418525 (Aiji) | Editorially adapted for learner accuracy; original source attribution retained
306,B,Vous avez le temps maintenant ?,Do you have time now?,CC-BY 2.0 (France) Attribution: tatoeba.org #10547950 (AlanF_US) & #4884716 (Julien_PDC)
307,B,Est-ce que tu dois partir ?,Do you have to go?,CC-BY 2.0 (France) Attribution: tatoeba.org #2648549 (CK) & #8619845 (Micsmithel)
308,B,Avez-vous une expérience professionnelle ?,Do you have work experience?,CC-BY 2.0 (France) Attribution: tatoeba.org #508311 (CM) & #4062 (TRANG)
309,B,As-tu tes clefs ?,Do you have your keys?,CC-BY 2.0 (France) Attribution: tatoeba.org #2646625 (CK) & #3798575 (Scorpionvenin14) Editorially corrected after complete row-by-row linguistic audit.
310,B,Avez-vous votre passeport ?,Do you have your passport?,CC-BY 2.0 (France) Attribution: tatoeba.org #35279 (CK) & #13095 (sacredceltic)
311,B,"Connaissez-vous quiconque, ici ?",Do you know anyone here?,CC-BY 2.0 (France) Attribution: tatoeba.org #2092564 (CK) & #2099460 (sacredceltic)
312,B,Connaissez-vous mon mari ?,Do you know my husband?,CC-BY 2.0 (France) Attribution: tatoeba.org #7350459 (jimkillock) & #7349830 (felix63)
313,B,Connais-tu mon nom ?,Do you know my name?,CC-BY 2.0 (France) Attribution: tatoeba.org #1453949 (Spamster) & #1462313 (sacredceltic)
314,B,Connaissez-vous ma femme ?,Do you know my wife?,CC-BY 2.0 (France) Attribution: tatoeba.org #6716548 (Eccles17) & #6715377 (felix63)
315,B,Sais-tu ce qui est arrivé ?,Do you know what happened?,CC-BY 2.0 (France) Attribution: tatoeba.org #25167 (CK) & #352824 (Barbiche0)
316,B,Connaissez-vous vos droits ?,Do you know your rights?,CC-BY 2.0 (France) Attribution: tatoeba.org #8974774 (Nylez) & #11536378 (Rovo)
317,B,Connaissez-vous votre taille ?,Do you know your size?,CC-BY 2.0 (France) Attribution: tatoeba.org #54165 (Eldad) & #11623 (Lulantis)
318,B,M'apprécies-tu aussi ?,"Do you like me, too?",CC-BY 2.0 (France) Attribution: tatoeba.org #1460136 (piksea) & #1460618 (sacredceltic)
319,B,Est-ce que ma voiture vous plaît ?,Do you like my car?,CC-BY 2.0 (France) Attribution: tatoeba.org #6862514 (kaiperkins271) & #6712377 (felix63)
320,B,Aimes-tu mes cheveux ?,Do you like my hair?,CC-BY 2.0 (France) Attribution: tatoeba.org #3123320 (CK) & #8377920 (felix63)
321,B,Est-ce que tu aimes mes chaussures ?,Do you like my shoes?,CC-BY 2.0 (France) Attribution: tatoeba.org #3123325 (CK) & #8010303 (Aiji)
322,B,Aimes-tu tes camarades de classe ?,Do you like your classmates?,CC-BY 2.0 (France) Attribution: tatoeba.org #1098270 (cntrational) & #1099443 (sacredceltic)
323,B,Aimes-tu tes collègues ?,Do you like your coworkers?,CC-BY 2.0 (France) Attribution: tatoeba.org #1098280 (cntrational) & #1099440 (sacredceltic)
324,B,Aimes-tu ta soupe ?,Do you like your soup?,CC-BY 2.0 (France) Attribution: tatoeba.org #5790133 (Eccles17) & #5798345 (Toynop)
325,B,Aimez-vous votre travail ?,Do you like your work?,CC-BY 2.0 (France) Attribution: tatoeba.org #3815121 (Jenn) & #5998776 (Aiji)
326,B,Avez-vous besoin de plus de temps ?,Do you need more time?,CC-BY 2.0 (France) Attribution: tatoeba.org #2547421 (CK) & #12022022 (calypsow)
327,B,As-tu besoin de mon aide ?,Do you need my assistance?,CC-BY 2.0 (France) Attribution: tatoeba.org #2644576 (CK) & #8682439 (Julien_PDC)
328,B,As-tu besoin de notre aide ?,Do you need our help?,CC-BY 2.0 (France) Attribution: tatoeba.org #1541824 (JimBreen) & #8003 (sysko)
329,B,Est-ce que tu as toujours besoin de moi ?,Do you still need me?,CC-BY 2.0 (France) Attribution: tatoeba.org #3333954 (CK) & #4744039 (smonff)
330,B,Penses-tu que ça va marcher ?,Do you think that'll work?,CC-BY 2.0 (France) Attribution: tatoeba.org #3348176 (CK) & #6479959 (Aiji)
331,B,Pensez-vous que ceci va fonctionner ?,Do you think this'll work?,CC-BY 2.0 (France) Attribution: tatoeba.org #5506970 (CK) & #7862445 (Aiji)
332,B,Tu veux ma photo ?,Do you want my picture?,CC-BY 2.0 (France) Attribution: tatoeba.org #12084502 (zogwarg) & #484793 (sacredceltic)
333,B,Tu veux de l'aide ?,Do you want some help?,CC-BY 2.0 (France) Attribution: tatoeba.org #2011637 (CK) & #5311615 (Aiji)
334,B,Tu veux venir ?,Do you want to come?,CC-BY 2.0 (France) Attribution: tatoeba.org #2011464 (CK) & #1008672 (elgranjuego)
335,B,Veux-tu boire ?,Do you want to drink?,CC-BY 2.0 (France) Attribution: tatoeba.org #3825058 (CK) & #4259007 (Aiji)
336,B,Voulez-vous manger ?,Do you want to eat?,CC-BY 2.0 (France) Attribution: tatoeba.org #773323 (marloncori) & #1309243 (rene1596)
337,B,Veux-tu partir ?,Do you want to go?,CC-BY 2.0 (France) Attribution: tatoeba.org #379143 (robingaspi) & #8591 (sysko)
338,B,Tu veux aider ?,Do you want to help?,CC-BY 2.0 (France) Attribution: tatoeba.org #2011465 (CK) & #8666752 (Micsmithel)
339,B,Est-ce que tu veux savoir ?,Do you want to know?,CC-BY 2.0 (France) Attribution: tatoeba.org #2011466 (CK) & #7862627 (Aiji)
340,B,N'avez-vous pas de travail aujourd'hui ?,Don't you have work today?,CC-BY 2.0 (France) Attribution: tatoeba.org #2396030 (CK) & #2401893 (sacredceltic) | Editorially adapted for learner accuracy; original source attribution retained
341,B,Avez-vous fini votre travail ?,Have you finished your work?,CC-BY 2.0 (France) Attribution: tatoeba.org #69362 (CK) & #10399 (sacredceltic)
342,A,"Aide-moi, veux-tu ?","Help me, will you?",CC-BY 2.0 (France) Attribution: tatoeba.org #3636489 (CK) & #3639864 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
343,B,"Comment nous sentons-nous, aujourd'hui ?",How are we feeling today?,CC-BY 2.0 (France) Attribution: tatoeba.org #3732039 (CM) & #3797861 (sacredceltic)
344,B,Comment te sens-tu aujourd'hui ?,How are you feeling today?,CC-BY 2.0 (France) Attribution: tatoeba.org #242491 (CK) & #8475 (Archibald)
345,B,Quelle est la taille de ton école ?,How big is your school?,CC-BY 2.0 (France) Attribution: tatoeba.org #3315033 (CK) & #12195863 (Rovo)
346,B,Comment puis-je vous contacter ?,How can I contact you?,CC-BY 2.0 (France) Attribution: tatoeba.org #3192797 (CK) & #10649037 (lbdx)
347,B,Comment puis-je faire cela ?,How can I do that?,CC-BY 2.0 (France) Attribution: tatoeba.org #4667223 (CK) & #7554985 (Aiji)
348,B,Comment est-ce que je peux faire ça ?,How can I do this?,CC-BY 2.0 (France) Attribution: tatoeba.org #5182634 (CK) & #7982869 (Aiji)
349,B,En quoi puis-je vous aider ?,How can I help you?,CC-BY 2.0 (France) Attribution: tatoeba.org #436103 (lukaszpp) & #6757 (sacredceltic)
350,B,Comment puis-je vous joindre ?,How can I reach you?,CC-BY 2.0 (France) Attribution: tatoeba.org #38605 (CK) & #12786 (nimfeo)
351,B,Comment puis-je vous rembourser ?,How can I repay you?,CC-BY 2.0 (France) Attribution: tatoeba.org #3590843 (CK) & #3602608 (sacredceltic)
352,B,Comment pouvons-nous faire cela ?,How can we do that?,CC-BY 2.0 (France) Attribution: tatoeba.org #1885949 (CK) & #6474128 (Aiji)
353,B,Comment pouvons-nous vous aider ?,How can we help you?,CC-BY 2.0 (France) Attribution: tatoeba.org #3162159 (CK) & #8816056 (felix63)
354,B,Comment pouvons-nous te remercier ?,How can we thank you?,CC-BY 2.0 (France) Attribution: tatoeba.org #1885947 (CK) & #2036272 (sacredceltic)
355,B,Comment pouvez-vous manger cela ?,How can you eat that?,CC-BY 2.0 (France) Attribution: tatoeba.org #3154858 (CK) & #8168835 (Aiji)
356,B,Comment pouvez-vous savoir cela ?,How can you know that?,CC-BY 2.0 (France) Attribution: tatoeba.org #1885946 (CK) & #2069574 (sacredceltic)
357,B,Comment peux-tu ne pas le savoir ?,How can you not know?,CC-BY 2.0 (France) Attribution: tatoeba.org #1079083 (keira_n) & #1541012 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
358,B,Comment peux-tu dire ça ?,How can you say that?,CC-BY 2.0 (France) Attribution: tatoeba.org #17548 (CK) & #563274 (sacredceltic)
359,B,Comment pourrais-je vous oublier ?,How could I forget you?,CC-BY 2.0 (France) Attribution: tatoeba.org #3636506 (CK) & #3639808 (sacredceltic)
360,B,Comment aurais-je pu savoir ?,How could I have known?,CC-BY 2.0 (France) Attribution: tatoeba.org #4666831 (CK) & #11662444 (Aiji)
361,B,Comment pourrions-nous faire ça ?,How could we do that?,CC-BY 2.0 (France) Attribution: tatoeba.org #6108763 (CK) & #7554939 (Aiji)
362,B,Comment avez-vous pu faire ça ?,How could you do that?,CC-BY 2.0 (France) Attribution: tatoeba.org #1885941 (CK) & #2069598 (sacredceltic)
363,B,Comment pourrais-tu m'aider ?,How could you help me?,CC-BY 2.0 (France) Attribution: tatoeba.org #5760180 (CK) & #5760208 (Yemana)
364,B,Comment pouvez-vous le savoir ?,How can you know it?,CC-BY 2.0 (France) Attribution: tatoeba.org #2915210 (Hybrid) & #11577212 (Aiji) Editorially corrected after complete row-by-row linguistic audit.
365,B,Comment pouvais-tu l'ignorer ?,How could you ignore it?,CC-BY 2.0 (France) Attribution: tatoeba.org #3096824 (CK) & #4856860 (sacredceltic) Editorially corrected after complete row-by-row linguistic audit.
366,B,Comment pourrais-tu dire cela ?,How could you say that?,CC-BY 2.0 (France) Attribution: tatoeba.org #3731712 (CM) & #3885205 (sacredceltic)
