rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
174,شہر,town; city (urban area),noun,ʃˈɛhɛr,shayhayr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
175,خواتین,women; ladies,noun,xˌaʋaːtˈiːn,khaʋatayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
176,روز,day; every day; daily,noun / adverb,rˈoːz,rohz,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
177,ترقی,progress; development,noun,tarˈaqi,taraqayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
178,ہماری,our; ours (feminine form),possessive determiner / pronoun,həmˈaːri,hohohhmarayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
179,وہاں,there; over there,locative adverb,ʋˈʌhãː,ʋʌhã,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
180,جانب,"direction, side",noun,ɟˈaːnɪb,gyanayayb,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
181,کوشش,effort; attempt,noun,kˈoːʃɪʃ,kohshayaysh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
182,دوسری,second; other (feminine),adjective / determiner,dˈuːsri,dohohsrayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
183,مکمل,"entire, total; full, overflowing; finished (ie. to come to an end; concluded)",adj,mʊkˈammal,mohohkammal,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
184,عمر,"life; lifetime; a male given name, Umar or Omar; age (number of years one has lived)",name / noun,ʊmˈar,ohohmar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
185,بار,"time, turn, occasion, instance, occurrence",noun,bˈaːr,bar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
186,حصہ,"portion; part, share, piece; a share of a company",noun,hˈɪʂˌa,hayayʂa,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
187,انسان,human; person,noun,ɪnsˈaːn,ayaynsan,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
188,مزید,"greater, increased; increased, augmented, increase; more, additional, further, supplementary",adj / adv,məzˈiːd,mohohhzayayd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
189,نظام,"system, order; institution, foundation (network)",noun,nɪʐˈaːm,nayayʐam,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
190,بہتر,better; improved,adjective / adverb,bɛhtˈar,bayhtar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
191,کبھی,ever; sometime; sometimes; never (with negation),adverb,kˈʌbʰi,kʌbʰayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
192,مسلم,Muslim; Islamic; a Muslim (adherent of Islam),adj / noun,mˈʊslˌɪm,mohohslayaym,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
193,چار,four,numeral,cˈaːr,car,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
194,کردار,role; character; conduct / behaviour,noun,kɪrdˈaːr,kayayrdar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
195,میری,my; mine (feminine),pronoun,mˈeːri,mayrayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
196,فیصلہ,resolution; decision; judgment,noun,fˈeːʂəla,fayʂohohhla,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
197,سامنے,in front; in front of; facing; opposite,locative adverb / noun / postpositional expression,sˈaːmnˌeː,samnay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
198,ادا,style; manner; grace/charm; performed/paid/fulfilled (especially in ادا کرنا),noun / participial element,ˈadaː,ada,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
199,درمیان,between; middle; midst,adv / noun,dˌərmjˈaːn,dohohhrmyan,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
200,صورت,form; shape; appearance; face; situation; case; way,noun,ʂuːrˈat,ʂohohrat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
201,پارٹی,party; political party/group; social party/gathering,noun,pˈaːrʈi,partayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
202,نئی,new (feminine),adj,nˈʌi,nʌayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
203,بعض,"some, certain, few, several",adj,bˈaːz,baz,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
204,دل,heart; mind/feelings; desire/wish; attention (in expressions),noun,dˈɪl,dayayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
205,اجلاس,"the sitting of a court of justice; session, official meeting, assembly session",noun,ɪɟlˈaːs,ayaygylas,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
206,باہر,outside; outdoors; exterior/outside area,adverb / noun,bˈaːhər,bahohohhr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
207,قرار,"conclusion, confirmation; decision, promise, agreement; peace, tranquility, rest, calm",noun,qərˈaːr,qohohhrar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
208,عام,common; general; ordinary,adj,ˈaːm,am,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
209,ضروری,"important; necessary, required",adj,zarˈuːri,zarohohrayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
210,حضرت,honorific for a revered/respected person; His/Her Holiness; respected sir/lady (context-dependent),honorific noun / title,hˈazrat,hazrat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
211,بھارتی,Indian; an Indian person,adjective / noun,bʰˈaːrtˌiː,bʰartayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
212,تاہم,however; nevertheless; nonetheless; yet,conjunction / discourse adverb,taːhˈam,taham,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
213,مسائل,problems; issues,noun,məsˈaɪl,mohohhsaayayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
214,تاکہ,so that; in order that,subordinating conjunction,tˈaːkeːh,takayh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
215,جگہ,place; location; space; site; position/post (context-dependent),noun,ɟˈʌɡˌa,gyʌga,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
216,میرا,first-person singular possessive pronoun: mine; first-person singular possessive determiner: my,determiner / pronoun,mˈeːraː,mayra,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
217,بند,closed; shut; dam/barrier; band/stanza (context-dependent),adjective / noun,bˈʌnd,bʌnd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
218,جی,"used to show agreement - yes, correct; heart, mind (in the figurative, not anatomical, sense); the honorific particle, usually appended to names (of any gender) and titles",noun / particle,ɟˈiː,gyayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
219,فوجی,soldier; military; army-related,noun / adjective,fˈoːɟi,fohgyayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
220,تعداد,"quantity, amount, number",noun,tˈaːdaːd,tadad,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
221,تھیں,were (feminine plural past of ہونا),verb,tʰĩː,tʰĩ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
222,اظہار,"indication, declaration, disclosure, manifestation, proclamation, revelation, statement, testimony, vent",noun,ˌɪʐhˈaːr,ayayʐhar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
223,لاکھ,"myriad; lakh, lac (hundred thousand)",noun / numeral,lˈaːkʰ,lakʰ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
224,کمی,lack; shortage; deficiency; decrease; deficit,noun,kˈʌmi,kʌmayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
225,پہلی,first (feminine),adj,pˈɛhli,payhlayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
226,صاحب,sir; mister; gentleman,noun,ʂˈaːhɪb,ʂahayayb,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
227,یعنی,that is; namely; i.e.; meaning/in other words,conjunction / discourse marker,jˈaːni,yanayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
228,ہونا,to be; to exist; to become; to happen,verb,hˈoːnaː,hohna,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
229,یہی,this very; this same; exactly this,emphatic demonstrative pronoun / determiner,jˈɛhi,yayhayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
230,بغیر,without; except for,postposition / preposition,baɣˈɛːr,baghayr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
231,چند,"a few, some, several",adj / adv,cˈʌnd,cʌnd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
232,شکار,"hunt; prey, catch; victim",noun,ʃɪkˈaːr,shayaykar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
233,تیار,ready,adj,tˌaiˈaːr,taayayar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
234,وی,the letter V (especially in acronyms),letter name / noun,ʋˈiː,ʋayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
235,امداد,"support; aid, help, assistance",noun,ˌɪmdˈaːd,ayaymdad,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
236,بڑا,big; large; great; elder/older; very (intensifying use),adjective / intensifier,bˈʌr.aː,bʌr.a,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
237,تعلق,"relationship; relation, connection",noun,tˈaːlʊq,talohohq,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
238,شخص,"person, individual",noun,ʃˈaxʂ,shakhʂ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
239,ناظم,administrator; manager; organizer; coordinator; poet/composer (literary/older),noun,nˈaːʐɪm,naʐayaym,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
240,حل,"solution, resolution",noun,hˈʌl,hʌl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
241,متحدہ,"allied; united, unified",adj,mʊtˈahɪdˌa,mohohtahayayda,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
242,گزشتہ,"previous; past, elapsed",adj,ɡʊzˈaʃta,gohohzashta,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
243,باعث,"cause, reason; root, origin, basis",noun,bˈaːɪs,baayays,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
244,اشاعت,propagation; publication,noun,ˌɪʃaːˈaːt,ayayshaat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
245,فراہم,provided; supplied; available; furnished,adjective / participle,fərˈaːhəm,fohohhrahohohhm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
246,پانچ,five,numeral,pˈaːnc,panc,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
247,ابھی,"lately, recently, just, just now; currently, at present, at the moment, right now, just now; immediately, right away, shortly, at once, this instant, right now",adv,ˈabʰi,abʰayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
248,زلزلے,"earthquakes; earthquake (oblique/vocative singular, context-dependent)",noun,zˌalzˈaleː,zalzalay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
249,فوج,army (military; force); a horde (both in terms of items or people),noun,fˈoːɟ,fohgy,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
250,قبل,before; prior to; ago,adverb / postpositional expression,qˈabl,qabl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
251,جلد,soon; quickly; skin; hide; book volume; binding/cover (depending on pronunciation/context),adverb / noun,ɟˈald,gyald,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
252,آیا,"came; arrived (masculine singular perfect of آنا); ayah/nursemaid (noun, context-dependent)",verb form / noun,ˈaːjaː,aya,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
253,اسلامی,Islamic,adj,ˌɪslˈaːmi,ayayslamayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
254,مسئلہ,"matter, affair; problem, issue; proposition, question",noun,mˈʌsəla,mʌsohohhla,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
255,کل,yesterday; tomorrow; all; total; machine/device (context-dependent),adverb / noun / adjective-quantifier,kˈʌl,kʌl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
256,اعلی,high; superior; supreme,adjective,ˈaːli,alayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
257,او,O!; oh!; the letter O (context-dependent),interjection / letter name,ˈoː,oh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
258,اعظم,greatest; supreme; paramount,adj,ˈaːʐəm,aʐohohhm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
259,علاقے,"areas; regions; area/region (oblique/vocative singular, context-dependent)",noun,ɪlˈaːqeː,ayaylaqay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
260,خصوصی,"personal, private; special, peculiar, particular",adj,xʊʂˈuːʂi,khohohʂohohʂayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
261,صحت,health; soundness,noun,ʂeːhˈat,ʂayhat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
262,کس,"whom; which; whose/of whom (singular oblique interrogative, context-dependent)",interrogative pronoun,kɪs,kayays,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
263,بڑھ,increase; grow; advance (stem/imperative base of بڑھنا),verb stem,bˈar.h,bar.h,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
264,خاص,special; peculiar; extraordinary,adj,xˈaːʂ,khaʂ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
265,کار,"function, duty, use; work, occupation, action; denotes a doer or agent; -er",noun / suffix,kˈaːr,kar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
266,بیان,statement,noun,bajˈaːn,bayan,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
267,اختیار,authority; power; control; choice; discretion; option,noun,ˈaxtjaːr,akhtyar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
268,کیوں,why,adv,kjˈũː,kyũ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
269,علم,knowledge; science; flag (different vocalization/sense),noun,ˈɪlm,ayaylm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
270,انداز,"style, manner",noun,ˈandaːz,andaz,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
271,سطح,"level, surface",noun,sˌətˈah,sohohhtah,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
272,قانون,"law; rule, statute",noun,qˈaːnuːn,qanohohn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
273,سامان,"goods, chattels; luggage, baggage; equipment, apparatus",noun,saːmˈaːn,saman,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
274,حق,"portion, share; duty, obligation; the truth, righteousness",noun,hˈʌq,hʌq,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
275,پاک,"clean, pure; clipping of پاکستان (“Pakistan”)",adj / noun,pˈaːk,pak,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
276,جواب,"solution; answer, reply, response",noun,ɟˈaʋaːb,gyaʋab,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
277,کمیٹی,committee; a municipality; ROSCA; a money saving scheme,noun,kəmˈiːʈi,kohohhmayaytayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
278,ماہ,"month; moon (literary/Persian-derived); beloved (poetic, context-dependent)",noun,mˈaːh,mah,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
279,آخری,"final, last",adj,ˈaːxrˌiː,akhrayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
280,رائے,opinion; view; advice; vote,noun,rˈaːeː,raay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
281,قسم,"oath, swearing; kind, type, category, brand",noun,qˈʌsəm,qʌsohohhm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
282,معلوم,"known; evident, clear; obvious",adj,mˈaːluːm,malohohm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
283,زمین,land; earth; ground; soil,noun,zəmˈiːn,zohohhmayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
284,سابق,former; previous; ex-; past,adjective / noun (context-dependent),sˈaːbɪq,sabayayq,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
285,اچھی,good; nice; well (feminine form of اچھا),adjective,ˈacʰi,acʰayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
286,سوال,question,noun,saʋˈaːl,saʋal,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
287,ہاتھ,hand; contribution; help; access,noun,hˈaːtʰ,hatʰ,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
288,ثابت,fixed; established; proven; stable,adj,sˈaːbɪt,sabayayt,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
289,ضلع,district,noun,zˈɪla,zayayla,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
290,جان,life; soul; spirit; vitality; dear/beloved (affectionate use),noun,ɟˈaːn,gyan,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
291,بھائی,brother; bro; male cousin (context-dependent); male friend/fellow (informal),noun,bʰˈaːi,bʰaayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
292,اندر,inside; in; within; interior,adverb / noun / postpositional element,ˈandar,andar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
293,قریب,near; kinsman; relation,adj / adv / noun,qərˈiːb,qohohhrayayb,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
294,طلب,demand; request; desire; yearning; requirement,noun,tˈʌləb,tʌlohohhb,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
295,واپس,back; again; returned; restored,adverb / adjective-participle,ʋˈaːpəs,ʋapohohhs,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
296,قیمت,price; value; worth,noun,qimˈat,qayaymat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
297,کامیاب,"prosperous, successful",adj,kˈaːmjaːb,kamyab,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
298,سر,head; top; sir (honorific),noun / honorific,sˈʌr,sʌr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
299,انتخابات,elections,noun,ˌɪntɪxˌaːbˈaːt,ayayntayaykhabat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
300,قوم,nation; people; community; ethnic group,noun,qˈoːm,qohm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
301,تعلقات,relations; relationships; connections,noun,tˈaːlʊqˌaːt,talohohqat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
302,لہذا,therefore; thus; hence,conjunctive adverb / discourse connector,lɪhˈaːzaː,layayhaza,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
303,آزاد,free; independent; liberated; unrestricted,adjective,aːzˈaːd,azad,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
304,رات,"eve; darkness, dark; night, nighttime",noun,rˈaːt,rat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
305,حد,"boundary, limit",noun,hˈʌd,hʌd,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
306,شرکت,participation; involvement; association; company/partnership (context-dependent),noun,ʃˌɪrkˈat,shayayrkat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
307,تقریبا,"around, about, approximately, close to, almost, nearly",adv,tˌəqrˈiːbaː,tohohhqrayayba,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
308,چکی,"mill; millstone; has/had already completed (feminine completive form in verb constructions, context-dependent)",noun / auxiliary-verb form,cˈʌki,cʌkayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
309,رہ,remain; stay; live (stem/imperative base of رہنا),verb stem,rˈɛh,rayh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
310,جماعت,group; class; congregation; organized party/group,noun,ɟamˈaːt,gyamat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
311,آغاز,start; beginning; commencement,noun,aːɣˈaːz,aghaz,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
312,ملکی,national; domestic; of the country,adjective,mˈʊlkˌiː,mohohlkayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
313,نقصان,loss; harm; damage; disadvantage; drawback,noun,nʊqʂˈaːn,nohohqʂan,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
314,کافی,enough; sufficient; quite/fairly; coffee (context-dependent),adjective / adverb / noun,kˈaːfi,kafayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
315,اختر,"star; a surname, Akhtar, from Persian; a unisex given name, Akhtar, from Persian",name / noun,ˌaxtˈar,akhtar,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
316,وغیرہ,"et cetera, and so forth",phrase,ʋaɣˈɛːra,ʋaghayra,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
317,انسانی,human,adj,ɪnsˈaːni,ayaynsanayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
318,توجہ,"focus; regard; attention, care",noun,taʋˈaɟoː,taʋagyoh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
319,ظاہر,apparent; evident; clear; obvious; apparently/obviously (adverbial use),adjective / adverb,ʐˈaːhɪr,ʐahayayr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
320,مرتبہ,"occasion, time; degree, rank, standing",noun,mˌartˈabˌa,martaba,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
321,دس,ten,numeral,dˈʌs,dʌs,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
322,مشکل,hard; difficult; problematic,adj / noun,mˈʊʃkˌɪl,mohohshkayayl,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
323,تحریک,movement; campaign; motion; stimulation; proposal/motion,noun,tˌeːhrˈiːk,tayhrayayk,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
324,شریف,"meek, gentle, noble, upstanding",adj,ʃərˈiːf,shohohhrayayf,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
325,کامیابی,"success, achievement",noun,kˈaːmjaːbˌiː,kamyabayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
326,ممکن,possible,adj,mˈʊmkˌɪn,mohohmkayayn,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
327,شیخ,sheikh; elder; religious leader/cleric; title/name,noun / title / name,ʃˈeːx,shaykh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
328,تاریخ,date; history,noun,taːrˈiːx,tarayaykh,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
329,پور,town; city; settlement; -pur (place-name element),noun / suffix,pˈoːr,pohr,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
330,غلام,"slave; knave, jack; boy, young man",noun,ɣʊlˈaːm,ghohohlam,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
331,متعلق,related; connected; attached; concerning,adjective / participle,mʊtˈaːlɪq,mohohtalayayq,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
332,علاج,cure; remedy; medical treatment,noun,ɪlˈaːɟ,ayaylagy,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
333,حال,condition; state; situation; present/current state,noun,hˈaːl,hal,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
334,سات,seven (۷ (7)),numeral,sˈaːt,sat,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
335,بجائے,instead; instead of; in place of (especially in کے بجائے),adverb / postpositional expression,bəɟˈaːeː,bohohhgyaay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
336,بنیادی,"fundamental, primary, basic, principal",adj,bˌʊniˈaːdi,bohohnayayadayay,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
337,کروڑ,crore; ten million,numeral / noun,kərˈoːr.,kohohhrohr.,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
338,مضبوط,strong; sturdy; solid; firm; secure,adjective,mˌəzbˈuːt,mohohhzbohoht,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
339,برس,year,noun,bˈʌrəs,bʌrohohhs,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
340,تم,you (familiar / informal),pronoun,tʊm,tohohm,f6adda7e0c251276eb233728e09ebceab37b6db3e3e948bc32c3c353f3312918
