rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
178,truc,"trick; procedure, technique; thingamajig, thingy, thing",noun,tʁˈyk,tryk,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
179,désoler,to sadden; distress; upset,verb,dezolˈe,dayzohlay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
180,argent,money; silver,noun,aʁʒˈɑ̃,arzhan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
181,bonjour,hello; good morning; good day,interjection / noun,bɔ̃ʒˈuʁ,bohnzhohohr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
182,moins,less; fewer; minus; least (in constructions),adverb / noun,mwˈɛ̃,mwayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
183,plaire,to please; to be pleasing to; to appeal to,verb,plˈɛʁ,playr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
184,maman,"mummy, mommy, mom, mum",noun,mamˈɑ̃,maman,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
185,rentrer,to return; to go/come home; to go back in; to re-enter; to fit; to score (context-dependent),verb,ʁɑ̃tʁˈe,rantray,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
186,air,air; appearance; look; manner; tune; aria,noun,ˈɛʁ,ayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
187,mort,death; dead; dead person,noun / adjective / past participle,mˈɔʁ,mohr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
188,tenir,to hold; to keep; to maintain; to hold on; to care about/be attached to (tenir à),verb,tənˈiʁ,tohohhnayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
189,affaire,matter; business; affair; case; deal; thing (context-dependent),noun,afˈɛʁ,afayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
190,désolé,sorry; saddened; desolate,adjective,dezolˈe,dayzohlay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
191,gars,"lad, guy; guys (usually all male)",noun,ɡˈa,ga,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
192,famille,family,noun,famˈij,famayayy,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
193,ah,ah!,interjection,ˈa,a,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
194,vivre,to live; to experience,verb,vˈivʁ,vayayvr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
195,main,hand,noun,mˈɛ̃,mayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
196,mec,guy; man; dude; fellow; boyfriend (informal/context-dependent),noun,mˈɛk,mayk,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
197,peur,fear,noun,pˈœʁ,peur,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
198,question,question,noun,kɛstjˈɔ̃,kaystyohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
199,devenir,to become; future; development/fate (noun use),verb / noun,dəvnˈiʁ,dohohhvnayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
200,eh,eh; hey; huh (interjection),interjection,ˈɛ,ay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
201,changer,to change; to exchange (something),verb,ʃɑ̃ʒˈe,shanzhay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
202,idée,idea,noun,idˈe,ayayday,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
203,travail,work; labor; job,noun,tʁavˈaj,travay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
204,voiture,car; vehicle; motor car,noun,vwatˈyʁ,vwatyr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
205,tête,head,noun,tˈɛt,tayt,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
206,assez,to a sufficient or moderate degree; enough; sufficiently,adverb,asˈe,asay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
207,fils,son,noun,fˈil,fayayl,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
208,oublier,forget,verb,ubliˈe,ohohblayayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
209,coup,blow; hit; stroke; shot; move; sudden action/event; time/instance (in expressions),noun,kˈu,kohoh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
210,mère,mother,noun,mˈɛʁ,mayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
211,chance,luck; chance,noun,ʃˈɑ̃s,shans,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
212,minute,minute,noun,minˈyt,mayaynyt,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
213,manger,to eat,verb,mɑ̃ʒˈe,manzhay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
214,meilleur,better; best; the best (noun use),adjective / noun,mɛjˈœʁ,mayyeur,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
215,entre,among; between,preposition,ˈɑ̃tʁ,antr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
216,quelle,which; what (feminine singular),adjective,kˈɛl,kayl,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
217,envoyer,to send; to dispatch; to send off; to throw (context-dependent),verb,ɑ̃vwajˈe,anvwayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
218,prêt,ready; loan (noun),adjective / noun,pʁˈɛ,pray,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
219,hé,hey!; ho! (interjection),interjection,ˈe,ay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
220,souvenir,memory; souvenir; remembrance; to remember (se souvenir de),noun / pronominal verb component,suvnˈiʁ,sohohvnayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
221,merde,shit; damn!/shit! (vulgar),noun / interjection (vulgar),mˈɛʁd,mayrd,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
222,occuper,occupy,verb,ɔkypˈe,ohkypay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
223,entrer,to enter,verb,ɑ̃tʁˈe,antray,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
224,pendant,during; for (a duration); while (pendant que); hanging; pendant,preposition / adjective / noun,pɑ̃dˈɑ̃,pandan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
225,vite,quickly; quick; fast,adjective / adverb,vˈit,vayayt,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
226,tomber,"to fall; to come down; to become, to get",verb,tɔ̃bˈe,tohnbay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
227,aujourd'hui,today,adverb,oʒuʁdyˈi,ohzhohohrdyayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
228,elles,they (feminine),pronoun,ˈɛl,ayl,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
229,hein,huh?; right?; isn't it?,interjection,ˈɛ̃,ayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
230,garder,to keep; to guard; to look after,verb,ɡaʁdˈe,garday,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
231,année,year,noun,anˈe,anay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
232,payer,pay,verb,pɛjˈe,payyay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
233,excuser,excuse; pardon; forgive,verb,ɛkskyzˈe,aykskyzay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
234,combien,how many; how much,adverb,kɔ̃bjˈɛ̃,kohnbyayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
235,histoire,history; story; account,noun,istwˈaʁ,ayaystwar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
236,marcher,to walk; to work; to function; to go; to march,verb,maʁʃˈe,marshay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
237,tant,so much; so many; as much; as many,adverb,tˈɑ̃,tan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
238,tirer,"to pull; to draw; to shoot; to drag; to get away/leave (se tirer, informal)",verb,tiʁˈe,tayayray,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
239,puis,then; next; and then,adverb / conjunction,pyˈi,pyayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
240,vieux,old; elderly; old man (noun use),adjective / noun,vjˈø,vyeu,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
241,apprendre,learn; teach,verb,apʁˈɑ̃dʁ,aprandr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
242,espérer,hope,verb,ɛspeʁˈe,ayspayray,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
243,montrer,to show; to point to; to point out,verb,mɔ̃tʁˈe,mohntray,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
244,importer,to import; to matter; to be important (often impersonal),verb,ɛ̃pɔʁtˈe,ayaynpohrtay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
245,ensemble,together; set; ensemble,adverb / noun,ɑ̃sˈɑ̃bl,ansanbl,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
246,semaine,week,noun,səmˈɛn,sohohhmayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
247,frère,brother,noun,fʁˈɛʁ,frayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
248,tard,late,adverb,tˈaʁ,tar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
249,part,part; share; portion; side,noun,pˈaʁ,par,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
250,contre,against; versus; in exchange for,noun / preposition,kˈɔ̃tʁ,kohntr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
251,amour,love; affection; romantic love,noun,amˈuʁ,amohohr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
252,ouvrir,to open; to begin/start; to open up; to access,verb,uvʁˈiʁ,ohohvrayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
253,sang,blood,noun,sˈɑ̃,san,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
254,utiliser,"to use, to utilize",verb,ytilizˈe,ytayaylayayzay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
255,gros,big; large; thick; fat; coarse; major/important (context-dependent),adjective / noun,ɡʁˈo,groh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
256,cas,case,noun,kˈa,ka,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
257,rencontrer,to meet; to come across,verb,ʁɑ̃kɔ̃tʁˈe,rankohntray,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
258,porter,wear; carry,verb,pɔʁtˈe,pohrtay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
259,demain,tomorrow,adverb,dəmˈɛ̃,dohohhmayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
260,suivre,to follow; to take / attend (a course); to understand / follow,verb,syˈivʁ,syayayvr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
261,fou,"bishop; madman; mad, crazy",adjective / noun,fˈu,fohoh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
262,porte,"door; carries; wears (verb form of porter, context-dependent)",noun / finite verb form,pˈɔʁt,pohrt,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
263,genre,kind; genre; genus,noun,ʒˈɑ̃ʁ,zhanr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
264,seulement,only,adverb,sølmˈɑ̃,seulman,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
265,bébé,baby,noun,bebˈe,baybay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
266,gagner,to win; to earn; to gain; to obtain,verb,ɡanjˈe,ganyay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
267,sous,under; below; beneath,preposition,sˈu,sohoh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
268,mauvais,"bad; wrong, incorrect",adjective,movˈɛ,mohvay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
269,sembler,seem; appear; appear to be,verb,sɑ̃blˈe,sanblay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
270,mois,month,noun,mwˈa,mwa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
271,type,type; kind; guy; man/person (informal),noun,tˈip,tayayp,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
272,ville,city; town,noun,vˈil,vayayl,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
273,police,police,noun,polˈis,pohlayays,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
274,point,not; point; stitch pattern,adverb / noun,pwˈɛ̃,pwayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
275,foutre,"to fuck; to put/do/throw (vulgar, highly context-dependent); semen (dated/vulgar noun)",verb / noun (vulgar),fˈutʁ,fohohtr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
276,droit,right; straight; upright; straight ahead; right/entitlement; law,adjective / adverb / noun,dʁwˈa,drwa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
277,aucun,"none, no-one; no, none, not any",adjective / pronoun,okˈœ̃,ohkohohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
278,putain,prostitute; damn!/fuck!; fucking/bloody (vulgar intensifier),noun / interjection / intensifier (vulgar),pytˈɛ̃,pytayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
279,rappeler,to remind; recall; call back,verb,ʁaplˈe,raplay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
280,car,"as, since, because, for; a single-decked long-distance, or privately hired, bus, a coach",conjunction / noun,kaʁ,kar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
281,endroit,"place, spot (specified area)",noun,ɑ̃dʁwˈa,andrwa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
282,côté,side,noun,kotˈe,kohtay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
283,jeune,young; young person; youth,adjective / noun,ʒˈøn,zheun,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
284,chaque,each; every,adjective,ʃˈak,shak,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
285,retrouver,to find again; to meet up with; to regain / rediscover,verb,ʁətʁuvˈe,rohohhtrohohvay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
286,continuer,to continue,verb,kɔ̃tinyˈe,kohntayaynyay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
287,façon,way; manner; fashion,noun,fasˈɔ̃,fasohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
288,longtemps,long; a long time; for a long time,adverb,lɔ̃tˈɑ̃,lohntan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
289,place,"place, seat; place, space, room; place, square, plaza, piazza",noun,plˈas,plas,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
290,sauver,to save; to rescue; to escape/run away (se sauver),verb,sovˈe,sohvay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
291,train,train; pace/course; process (être en train de = to be in the process of),noun / fixed verbal construction component,tʁˈɛ̃,trayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
292,plein,full,adjective / adverb / noun / preposition,plˈɛ̃,playayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
293,retourner,to return / go back; to turn over; to flip,verb,ʁətuʁnˈe,rohohhtohohrnay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
294,asseoir,to seat; to set/establish; to sit down (s'asseoir),verb,aswˈaʁ,aswar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
295,boire,drink,verb,bwˈaʁ,bwar,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
296,dormir,to sleep,verb,dɔʁmˈiʁ,dohrmayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
297,acheter,to purchase; buy,verb,aʃtˈe,ashtay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
298,arme,weapon,noun,ˈaʁm,arm,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
299,dont,whose; of whom; of which; including,pronoun,dɔ̃,dohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
300,mot,word,noun,mˈo,moh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
301,corps,body,noun,kˈɔʁ,kohr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
302,attention,attention; vigilance; care; watch out!; careful!,noun / interjection,atɑ̃sjˈɔ̃,atansyohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
303,tellement,so; so much; so many,adverb,tɛlmˈɑ̃,taylman,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
304,écrire,to write,verb,ekʁˈiʁ,aykrayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
305,madame,Mrs; lady; madam,noun,madˈam,madam,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
306,ni,neither; nor,conjunction,ni,nayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
307,matin,morning,noun,matˈɛ̃,matayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
308,fort,strong; powerful; loud; strongly; very; fort; stronghold,adjective / adverb / noun,fˈɔʁ,fohr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
309,chéri,cherished; beloved; dear; darling; sweetheart,adjective / noun / past participle,ʃeʁˈi,shayrayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
310,important,"important; significant; considerable; importing (present participle of importer, context-dependent)",adjective / present participle,ɛ̃pɔʁtˈɑ̃,ayaynpohrtan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
311,aucune,no; none; not any (feminine),adjective / pronoun,okˈyn,ohkyn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
312,garçon,boy; young man; man; ellipsis of garçon de café,noun,ɡaʁsˈɔ̃,garsohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
313,chambre,a room; a bedroom; a hotel room,noun,ʃˈɑ̃bʁ,shanbr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
314,quitter,"to leave, to quit; to discharge somebody from an obligation; to part with somebody, to leave somebody",verb,kitˈe,kayaytay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
315,heureux,"glad; happy; good, excellent",adjective / noun,øʁˈø,eureu,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
316,voici,here is; here are; this is; these are,presentative / interjection-like expression,vwasˈi,vwasayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
317,partie,part; portion; game; match; round; party/group (formal/context-dependent),noun,paʁtˈi,partayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
318,lire,to read,verb,lˈiʁ,layayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
319,servir,serve,verb,sɛʁvˈiʁ,sayrvayayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
320,manquer,miss; be lacking; be missing,verb,mɑ̃kˈe,mankay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
321,terre,"earth; soil; the Earth (planet); land, property (delimited area)",noun,tˈɛʁ,tayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
322,emmener,take away; take (with one),verb,ɑ̃mnˈe,anmnay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
323,adorer,adore; worship,verb,adoʁˈe,adohray,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
324,eau,water; waters; liquid/fluid (context-dependent),noun,ˈo,oh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
325,là-bas,"yonder; down there; there, over there",adverb,lˈabˈa,laba,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
326,voler,fly; steal,verb,volˈe,vohlay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
327,inquiéter,to worry,verb,ɛ̃kjetˈe,ayaynkyaytay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
328,répondre,"to answer for; to reply, to answer",verb,ʁepˈɔ̃dʁ,raypohndr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
329,suite,continuation; sequence; sequel; following/rest; result; immediately (tout de suite),noun / fixed adverbial expression component,syˈit,syayayt,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
330,vers,"to; verse; around, circa (with a date or time)",noun / preposition,vˈɛʁ,vayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
331,battre,to beat; to hit; to fight; to defeat; to thresh,verb,bˈatʁ,batr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
332,euh,um; uh (hesitation),interjection,ˈœ,eu,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
333,fin,end; finish; fine; thin; refined; subtle,noun / adjective,fˈɛ̃,fayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
334,dur,"hard; harsh; firmness, solidity",adjective / adverb / noun,dˈyʁ,dyr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
335,enfin,finally; at last; in the end,adverb,ɑ̃fˈɛ̃,anfayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
336,aide,help; assistance; aide; helper,noun,ˈɛd,ayd,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
337,toucher,to touch; to affect; to reach; to receive/earn; touch (noun),verb / noun,tuʃˈe,tohohshay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
338,mari,husband,noun,maʁˈi,marayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
339,pardon,"sorry; excuse me; pardon, forgiveness",noun / interjection,paʁdˈɔ̃,pardohn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
340,super,great; super; fantastic,adjective,sypˈɛʁ,sypayr,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
341,photo,photo,noun,fotˈo,fohtoh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
342,devant,"in front of; before; front; owing/having to (present participle of devoir, rare/context-dependent)",preposition / adverb / noun / present participle,dəvˈɑ̃,dohohhvan,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
343,loin,"far, distant",adverb,lwˈɛ̃,lwayayn,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
344,prier,to pray; to beg; to request; to ask politely,verb,pʁiˈe,prayayay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
345,docteur,doctor; physician,noun,dɔktˈœʁ,dohkteur,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
346,papa,dad; father,noun,papˈa,papa,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
347,cause,"cause; reason; legal case; causes/talks (form of causer); talk! (imperative, context-dependent)",noun / finite verb form / imperative form,kˈoz,kohz,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
348,plutôt,"earlier, sooner; rather, instead (indicating preference); rather (introducing a correction or clarification)",adverb,plytˈoː,plytoh,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
349,compter,"to count; to matter; to intend, plan",verb,kɔ̃tˈe,kohntay,1e3ad312933d28cdf2f46353cf47ec42f94fb53c840430dbb0a7056d39ae1385
